,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCIDENT,DATA COLLECTION,REPORTED DATE,COUNTRY,COUNTRY CODE,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,GPS LONGITUDE,GPS LATITUDE,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,ORIGIN GPS LONGITUDE,ORIGIN GPS LATITUDE,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),VALIDATION,SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,VALIDATION2,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,#date+reported,#adm0+name,#adm0+pcode,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,,,,,
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Boys,Urban,Neighbourhood,14.716562,33.301966,80,16,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,80,0,80,TRUE,0,0,0,0,16,0,0,16,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Arkawet School For Girls,Urban,Neighbourhood,14.723702,33.307082,105,21,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,105,0,105,TRUE,0,0,0,0,21,0,0,21,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Arkawet/Technical School For Boys,Urban,Neighbourhood,14.722117,33.298981,80,16,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,80,0,80,TRUE,0,0,0,0,16,0,0,16,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hai Alrahmaniya/Alrahmaniya Housing For Students,Urban,Neighbourhood,14.751277,33.298038,480,96,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,480,0,480,TRUE,0,0,0,0,96,0,0,96,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Block 91,Urban,Neighbourhood,,,85,17,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,85,0,85,TRUE,0,0,0,0,17,0,0,17,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altaimab,Rural,Village,14.477227,33.307787,280,56,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,280,0,280,TRUE,0,56,0,0,0,0,0,56,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Altleeh Alkhwalda,Rural,Village,14.456495,33.28128,310,62,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,310,0,310,TRUE,0,62,0,0,0,0,0,62,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with new information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Alteboob,Rural,Village,14.499811,33.279637,210,42,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,210,0,210,TRUE,0,42,0,0,0,0,0,42,TRUE,Food,Remain in the same place
15/04/2023,28/06/2023,6/30/23,Sudan,SDN,Updated with same information,Aj Jazirah,SD15,SD15034,Al Hasahisa,Hazawe,Rural,Village,14.486111,33.301678,70,14,Khartoum,SD01,SD01001,Jebel Awlia,Jebel Awlia neighbourhoods,,,70,0,70,TRUE,0,14,0,0,0,0,0,14,TRUE,Food,Remain in the same place
