INCIDENT,DATA COLLECTION,STATUS,STATE OF DISPLACEMENT,STATE CODE,LOCALITY CODE,LOCALITY OF DISPLACEMENT,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,IDPs,HHs,STATE ORIGIN,STATE CODE ORIGIN,LOCALITY CODE ORIGIN,LOCALITY ORIGIN,LOCATION OF ORIGIN,NATIONALITY SUDANESE,NATIONALITY NON SUDANESE,TOTAL (=IDPs),SHELTER CATEGORY: Camp,SHELTER CATEGORY: WITH HOST COMMUNITY,SHELTER CATEGORY: IN RENTED ACCOMODATION,SHELTER CATEGORY: IN IMPROVISED SHELTERS,SHELTER CATEGORY: IN SCHOOLS OR OTHER PUBLIC BUILDINGS,SHELTER CATEGORY: OPEN AREA GATHERING SITES,SHELTER CATEGORY: UNKNOWN,TOTAL,PRIORITY NEED,RETURN INTENTIONS
,#date+survey,,#adm1+name,#adm1+pcode,#adm2+pcode,#adm2+name,,,,#affected+idps+ind,#affected+idps+hh,#adm1+origin+name,#adm1+origin+pcode,#adm2+origin+pcode,#adm2+origin+name,,,,,,,,,,,,,,
15/04/2023,12/07/2023,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Dar Elsalam Town,Urban,Neighbourhood,325,65,Aj Jazirah,SD15,SD15035,Al Kamlin,Arak Saah Village,325,0,325,0,65,0,0,0,0,0,65,Food,Remain in same place
15/04/2023,12/07/2023,Updated with same information,Aj Jazirah,SD15,SD15035,Al Kamlin,Habiba Village,Rural,Village,100,20,Aj Jazirah,SD15,SD15035,Al Kamlin,Arak Saah Village,100,0,100,0,20,0,0,0,0,0,20,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Abujaradil,Rural,Village,1000,200,Central Darfur,SD06,SD06135,Um Dukhun,Um Dukhun,1000,0,1000,0,200,0,0,0,0,0,200,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,Central Darfur,SD06,SD06135,Um Dukhun,Um Dukhun Town,Urban,Neighbourhood,12500,2500,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,12500,0,12500,0,2500,0,0,0,0,0,2500,Food,Remain in same place
4/15/23,7/12/23,Updated with same information,Central Darfur,SD06,SD06135,Um Dukhun,Mindi,Rural,Village,500,100,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,500,0,500,0,100,0,0,0,0,0,100,Food,Remain in same place
4/15/23,7/5/23,Location was not covered in this update,Central Darfur,SD06,SD06138,Zalingi,Hai Alwadi,Urban,Neighbourhood,15000,3000,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,15000,0,15000,0,3000,0,0,0,0,0,3000,Food,Move to another location
4/15/23,7/5/23,Location was not covered in this update,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,Urban,Neighbourhood,15000,3000,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,15000,0,15000,0,3000,0,0,0,0,0,3000,Food,Move to another location
4/15/23,7/5/23,Location was not covered in this update,Central Darfur,SD06,SD06138,Zalingi,Hai Al Sawra,Urban,Neighbourhood,40000,8000,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,40000,0,40000,0,8000,0,0,0,0,0,8000,Food,Move to another location
4/15/23,7/5/23,Location was not covered in this update,Central Darfur,SD06,SD06138,Zalingi,Hameedia,Urban,Neighbourhood,25000,5000,Central Darfur,SD06,SD06138,Zalingi,Hai El Estad,25000,0,25000,0,5000,0,0,0,0,0,5000,Food,Move to another location
4/15/23,7/12/23,Updated with new information,Central Darfur,SD06,SD06137,Wadi Salih,Al Amira IDP Camp,Rural,Camp,1530,306,Central Darfur,SD06,SD06137,Wadi Salih,Al Amira Camp,1530,0,1530,306,0,0,0,0,0,0,306,Food,Remain in same place
4/15/23,7/5/23,Location was not covered in this update,Central Darfur,SD06,SD06138,Zalingi,Al Hasahisa,Rural,Village,2500,500,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,2500,0,2500,0,500,0,0,0,0,0,500,Non-Food Items,Remain in same place
4/15/23,7/12/23,Updated with same information,Central Darfur,SD06,SD06131,Gharb Jabal Marrah,Nertiti,Urban,Neighbourhood,1750,350,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,1750,0,1750,0,350,0,0,0,0,0,350,Non-Food Items,Remain in same place
4/15/23,7/12/23,Updated with new information,North Darfur,SD02,SD02118,As Serief,As Serief Town,Urban,Neighbourhood,225,45,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,225,0,225,0,45,0,0,0,0,0,45,WASH,Remain in same place
4/15/23,7/12/23,Updated with new information,West Darfur,SD04,SD04121,Foro Baranga,Foro Baranga Town,Urban,Neighbourhood,700,140,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,700,0,700,0,140,0,0,0,0,0,140,Non-Food Items,Move to another location
4/15/23,7/12/23,Updated with same information,Central Darfur,SD06,SD06139,Wasat Jabal Marrah,Golo,Urban,Neighbourhood,4000,800,Central Darfur,SD06,SD06138,Zalingi,Zalingi Town,4000,0,4000,0,800,0,0,0,0,0,800,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,East Darfur,SD05,SD05142,Ad Du'ayn,Ad Du'Ayn Town,Urban,Neighbourhood,1890,378,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,1890,0,1890,0,378,0,0,0,0,0,378,Food,Move to another location
4/15/23,7/12/23,Updated with new information,East Darfur,SD05,SD05142,Ad Du'ayn,El Neem IDP Camp,Urban,Camp,840,168,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,840,0,840,168,0,0,0,0,0,0,168,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,North Darfur,SD02,SD02124,Kebkabiya,Kebkabiy Town,Urban,Neighbourhood,485,97,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,485,0,485,0,97,0,0,0,0,0,97,Food,Return to location of origin
4/15/23,7/12/23,Updated with same information,North Darfur,SD02,SD02126,Kelemando,Wada Shamal,Rural,Village,75,15,Khartoum,SD01,SD01006,Um Durman,Um Durman neighbourhoods,75,0,75,0,15,0,0,0,0,0,15,Emergency Shelter,Remain in same place
4/15/23,7/12/23,Updated with same information,North Darfur,SD02,SD02169,Al lait,Al Lait Town,Urban,Neighbourhood,2345,469,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,2345,0,2345,0,469,0,0,0,0,0,469,Food,Remain in same place
4/15/23,7/12/23,Updated with new information,West Darfur,SD04,SD04121,Foro Baranga,Foro Baranga Town,Urban,Neighbourhood,350,70,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,350,0,350,0,70,0,0,0,0,0,70,Non-Food Items,Move to another location
4/15/23,7/12/23,Updated with new information,North Kordofan,SD13,SD13030,Ar Rahad,Tandalti,Rural,Village,205,38,Khartoum,SD01,SD01007,Khartoum,Khartoum neighbourhoods,205,0,205,0,38,0,0,0,0,0,38,Food,Remain in same place
