Date,STATE OF AFFECTED POPULATION,STATE PCODE OF AFFECTED POPULATION,LOCALITY OF AFFECTED POPULATION,LOCALITY PCODE OF AFFECTED POPULATION,LOCATION OF DISPALCEMENT,LOCATION TYPE,LOCATION CLASSIFICATION,# IDP INDIVIDUALS,STATE OF ORIGIN,STATE PCODE OF ORIGIN,LOCALITY OF ORIGIN,LOCALITY PCODE OF ORIGIN
4/28/2023,North Kordofan,SD13,Sheikan,SD13024,,,,4000,North Kordofan,SD13,Sheikan,SD13024
4/28/2023,North Kordofan,SD13,Sheikan,SD13024,,,,1500,North Kordofan,SD13,Sheikan,SD13024
4/28/2023,North Kordofan,SD13,Sheikan,SD13024,,,,2000,North Kordofan,SD13,Sheikan,SD13024
4/28/2023,North Kordofan,SD13,Taiba North,N/A,,,,130,North Kordofan,SD13,Sheikan,SD13024
4/28/2023,North Kordofan,SD13,Ar Rahad,SD13030,,,,190,North Kordofan,SD13,Sheikan,SD13024
4/28/2023,North Kordofan,SD13,Um Rawaba,SD13023,,,,1000,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Ar Rahad,SD13030,,,,1150,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Bara,SD13026,,,,1150,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Gharb Bara,SD13029,,,,500,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Gebrat Al Sheikh,SD13027,,,,600,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Um Dam Haj Ahmed,SD13028,,,,300,Khartoum,SD01,Khartoum,SD01007
4/28/2023,North Kordofan,SD13,Soudari,SD13025,,,,750,Khartoum,SD01,Khartoum,SD01007
4/28/2023,South Darfur,SD03,As Salam - SD,SD03166,,,,7000,South Darfur,SD03,Nyala Janoub,SD03167
4/28/2023,South Darfur,SD03,Kas,SD03144,,,,1000,South Darfur,SD03,Nyala Janoub,SD03167
4/28/2023,South Darfur,SD03,Beliel,SD03162,,,,10000,South Darfur,SD03,Nyala Janoub,SD03167
4/28/2023,South Darfur,SD03,Nyala Janoub,SD03167,,,,12000,South Darfur,SD03,Nyala Janoub,SD03167
4/28/2023,South Darfur,SD03,Mershing,SD03145,,,,2000,South Darfur,SD03,Nyala Shamal,SD03164
4/28/2023,South Darfur,SD03,Beliel,SD03162,,,,3000,South Darfur,SD03,Nyala Shamal,SD03164
4/28/2023,South Darfur,SD03,Nyala Shimal,SD03164,,,,10000,South Darfur,SD03,Nyala Shamal,SD03164
4/28/2023,North Darfur,SD02,Al Fasher,SD02114,,,,3500,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Dar As Salam,SD02113,,,,2750,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Al Koma,SD02116,,,,700,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Melit,SD02129,,,,250,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Kebkabiya,SD02124,,,,1000,North Darfur,SD02,Kebkabiya,SD02124
4/28/2023,North Darfur,SD02,Tawila,SD02170,,,,2135,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Kutum,SD02128,,,,40,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Um Kadadah,SD02136,,,,300,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,As Serief,SD02118,,,,750,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,North Darfur,SD02,Al Malha,SD02117,,,,250,North Darfur,SD02,Al Fasher,SD02114
4/28/2023,Central Darfur,SD06,Zalingi,SD06138,,,,250,Central Darfur,SD06,Zalingei,SD06138
4/28/2023,Central Darfur,SD06,Zalingi,SD06138,,,,400,Central Darfur,SD06,Zalingei,SD06138
4/28/2023,Central Darfur,SD06,Zalingi,SD06138,,,,400,Central Darfur,SD06,Zalingei,SD06138
4/28/2023,Central Darfur,SD06,Zalingi,SD06138,,,,450,Central Darfur,SD06,Zalingei,SD06138
4/28/2023,Central Darfur,SD06,Wadi Salih,SD06137,,,,280,Central Darfur,SD06,Wadi Saleh,SD06137
4/28/2023,Red Sea,SD10,Sawakin,SD10068,,,,60,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Red Sea,SD10,Sinkat,SD10071,,,,135,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Blue Nile,SD08,Ar Rusayris,SD08107,,,,155,West Darfur,SD04,Foro Boronga,SD04121
4/28/2023,Blue Nile,SD08,At Tadamon - BN,SD08108,,,,105,West Darfur,SD04,Foro Boronga,SD04121
4/28/2023,Red Sea,SD10,Port Sudan,SD10064,,,,1010,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Kassala,SD11,Reifi Kassla,SD11056,,,,95,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,185,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,125,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,525,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,600,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,225,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,385,Khartoum,SD01,Khartoum,SD01007
4/28/2023,Khartoum,SD01,Jebel Awlia,SD01001,,,,175,Khartoum,SD01,Khartoum,SD01007
