location,Y,X(s),covariate num.,r^2,offset
aj jazirah,arriving_IDP,fatalities,1,0.0,-4
aj jazirah,arriving_IDP,event_count,1,0.0,-4
aj jazirah,leaving_IDP,fatalities,1,0.0,-4
aj jazirah,leaving_IDP,event_count,1,0.0,-4
aj jazirah,arriving_IDP,fatalities,1,0.0,-3
aj jazirah,arriving_IDP,event_count,1,0.0,-3
aj jazirah,leaving_IDP,fatalities,1,0.0,-3
aj jazirah,leaving_IDP,event_count,1,0.0,-3
aj jazirah,arriving_IDP,fatalities,1,0.0,-2
aj jazirah,arriving_IDP,event_count,1,0.0,-2
aj jazirah,leaving_IDP,fatalities,1,0.0,-2
aj jazirah,leaving_IDP,event_count,1,0.0,-2
aj jazirah,arriving_IDP,fatalities,1,0.0,-1
aj jazirah,arriving_IDP,event_count,1,0.0,-1
aj jazirah,leaving_IDP,fatalities,1,0.0,-1
aj jazirah,leaving_IDP,event_count,1,0.0,-1
aj jazirah,arriving_IDP,fatalities,1,0.0,0
aj jazirah,arriving_IDP,event_count,1,0.0,0
aj jazirah,leaving_IDP,fatalities,1,0.0,0
aj jazirah,leaving_IDP,event_count,1,0.0,0
aj jazirah,arriving_IDP,fatalities,1,0.0,1
aj jazirah,arriving_IDP,event_count,1,0.0,1
aj jazirah,leaving_IDP,fatalities,1,0.0,1
aj jazirah,leaving_IDP,event_count,1,0.0,1
aj jazirah,arriving_IDP,fatalities,1,0.0,2
aj jazirah,arriving_IDP,event_count,1,0.0,2
aj jazirah,leaving_IDP,fatalities,1,0.0,2
aj jazirah,leaving_IDP,event_count,1,0.0,2
aj jazirah,arriving_IDP,fatalities,1,0.0,3
aj jazirah,arriving_IDP,event_count,1,0.0,3
aj jazirah,leaving_IDP,fatalities,1,0.0,3
aj jazirah,leaving_IDP,event_count,1,0.0,3
blue nile,arriving_IDP,fatalities,1,0.07166328667943889,-4
blue nile,arriving_IDP,event_count,1,0.15944617842919828,-4
blue nile,leaving_IDP,fatalities,1,,-4
blue nile,leaving_IDP,event_count,1,,-4
blue nile,arriving_IDP,fatalities,1,0.2545407286303766,-3
blue nile,arriving_IDP,event_count,1,0.23300977299111492,-3
blue nile,leaving_IDP,fatalities,1,,-3
blue nile,leaving_IDP,event_count,1,,-3
blue nile,arriving_IDP,fatalities,1,0.20920154040343897,-2
blue nile,arriving_IDP,event_count,1,0.18917072185560235,-2
blue nile,leaving_IDP,fatalities,1,,-2
blue nile,leaving_IDP,event_count,1,,-2
blue nile,arriving_IDP,fatalities,1,0.4586466934243878,-1
blue nile,arriving_IDP,event_count,1,0.25724592286216863,-1
blue nile,leaving_IDP,fatalities,1,,-1
blue nile,leaving_IDP,event_count,1,,-1
blue nile,arriving_IDP,fatalities,1,0.4586466934243878,0
blue nile,arriving_IDP,event_count,1,0.25724592286216863,0
blue nile,leaving_IDP,fatalities,1,,0
blue nile,leaving_IDP,event_count,1,,0
blue nile,arriving_IDP,fatalities,1,0.20920154040343897,1
blue nile,arriving_IDP,event_count,1,0.18917072185560235,1
blue nile,leaving_IDP,fatalities,1,,1
blue nile,leaving_IDP,event_count,1,,1
blue nile,arriving_IDP,fatalities,1,0.2545407286303766,2
blue nile,arriving_IDP,event_count,1,0.23300977299111492,2
blue nile,leaving_IDP,fatalities,1,,2
blue nile,leaving_IDP,event_count,1,,2
blue nile,arriving_IDP,fatalities,1,0.07166328667943889,3
blue nile,arriving_IDP,event_count,1,0.15944617842919828,3
blue nile,leaving_IDP,fatalities,1,,3
blue nile,leaving_IDP,event_count,1,,3
central darfur,arriving_IDP,fatalities,1,0.6100687754895586,-4
central darfur,arriving_IDP,event_count,1,0.47093712134641263,-4
central darfur,leaving_IDP,fatalities,1,0.6217410454905146,-4
central darfur,leaving_IDP,event_count,1,0.4763085550236451,-4
central darfur,arriving_IDP,fatalities,1,0.8609227616029308,-3
central darfur,arriving_IDP,event_count,1,0.41680731680035443,-3
central darfur,leaving_IDP,fatalities,1,0.8609227616029308,-3
central darfur,leaving_IDP,event_count,1,0.41680731680035443,-3
central darfur,arriving_IDP,fatalities,1,0.41334070594792405,-2
central darfur,arriving_IDP,event_count,1,0.3419381423076654,-2
central darfur,leaving_IDP,fatalities,1,0.41334070594792405,-2
central darfur,leaving_IDP,event_count,1,0.3419381423076654,-2
central darfur,arriving_IDP,fatalities,1,0.2716664614053158,-1
central darfur,arriving_IDP,event_count,1,0.2568559773969642,-1
central darfur,leaving_IDP,fatalities,1,0.2716664614053158,-1
central darfur,leaving_IDP,event_count,1,0.2568559773969642,-1
central darfur,arriving_IDP,fatalities,1,0.2716664614053158,0
central darfur,arriving_IDP,event_count,1,0.2568559773969642,0
central darfur,leaving_IDP,fatalities,1,0.2716664614053158,0
central darfur,leaving_IDP,event_count,1,0.2568559773969642,0
central darfur,arriving_IDP,fatalities,1,0.41334070594792405,1
central darfur,arriving_IDP,event_count,1,0.3419381423076654,1
central darfur,leaving_IDP,fatalities,1,0.41334070594792405,1
central darfur,leaving_IDP,event_count,1,0.3419381423076654,1
central darfur,arriving_IDP,fatalities,1,0.8609227616029308,2
central darfur,arriving_IDP,event_count,1,0.41680731680035443,2
central darfur,leaving_IDP,fatalities,1,0.8609227616029308,2
central darfur,leaving_IDP,event_count,1,0.41680731680035443,2
central darfur,arriving_IDP,fatalities,1,0.6100687754895586,3
central darfur,arriving_IDP,event_count,1,0.47093712134641263,3
central darfur,leaving_IDP,fatalities,1,0.6217410454905146,3
central darfur,leaving_IDP,event_count,1,0.4763085550236451,3
kassala,arriving_IDP,fatalities,1,0.13214551079944792,-4
kassala,arriving_IDP,event_count,1,0.13575172214655817,-4
kassala,leaving_IDP,fatalities,1,,-4
kassala,leaving_IDP,event_count,1,,-4
kassala,arriving_IDP,fatalities,1,0.10151404018220433,-3
kassala,arriving_IDP,event_count,1,0.10985916919653582,-3
kassala,leaving_IDP,fatalities,1,,-3
kassala,leaving_IDP,event_count,1,,-3
kassala,arriving_IDP,fatalities,1,0.09916086116229228,-2
kassala,arriving_IDP,event_count,1,0.09068569060158804,-2
kassala,leaving_IDP,fatalities,1,,-2
kassala,leaving_IDP,event_count,1,,-2
kassala,arriving_IDP,fatalities,1,0.1300627356392604,-1
kassala,arriving_IDP,event_count,1,0.12420801858159614,-1
kassala,leaving_IDP,fatalities,1,,-1
kassala,leaving_IDP,event_count,1,,-1
kassala,arriving_IDP,fatalities,1,0.1300627356392604,0
kassala,arriving_IDP,event_count,1,0.12420801858159614,0
kassala,leaving_IDP,fatalities,1,,0
kassala,leaving_IDP,event_count,1,,0
kassala,arriving_IDP,fatalities,1,0.09916086116229228,1
kassala,arriving_IDP,event_count,1,0.09068569060158804,1
kassala,leaving_IDP,fatalities,1,,1
kassala,leaving_IDP,event_count,1,,1
kassala,arriving_IDP,fatalities,1,0.10151404018220433,2
kassala,arriving_IDP,event_count,1,0.10985916919653582,2
kassala,leaving_IDP,fatalities,1,,2
kassala,leaving_IDP,event_count,1,,2
kassala,arriving_IDP,fatalities,1,0.13214551079944792,3
kassala,arriving_IDP,event_count,1,0.13575172214655817,3
kassala,leaving_IDP,fatalities,1,,3
kassala,leaving_IDP,event_count,1,,3
khartoum,arriving_IDP,fatalities,1,0.55423127940687,-4
khartoum,arriving_IDP,event_count,1,0.7615389460426256,-4
