location,Y,X(s),covariate num.,r^2,offset
blue nile,arriving_IDP,search_count,1,0.2364513931211547,-28
blue nile,arriving_IDP,search_count,1,0.014980131305098787,-27
blue nile,arriving_IDP,search_count,1,1.0,-26
blue nile,arriving_IDP,search_count,1,1.0,25
blue nile,arriving_IDP,search_count,1,0.014980131305098787,26
blue nile,arriving_IDP,search_count,1,0.2364513931211547,27
central darfur,arriving_IDP,search_count,1,0.16394264198725772,-28
central darfur,leaving_IDP,search_count,1,0.17628362156771193,-28
central darfur,arriving_IDP,search_count,1,0.23521853337624443,-27
central darfur,leaving_IDP,search_count,1,0.23521853337624443,-27
central darfur,arriving_IDP,search_count,1,1.0,-26
central darfur,leaving_IDP,search_count,1,1.0,-26
central darfur,arriving_IDP,search_count,1,1.0,25
central darfur,leaving_IDP,search_count,1,1.0,25
central darfur,arriving_IDP,search_count,1,0.23521853337624443,26
central darfur,leaving_IDP,search_count,1,0.23521853337624443,26
central darfur,arriving_IDP,search_count,1,0.16394264198725772,27
central darfur,leaving_IDP,search_count,1,0.17628362156771193,27
kassala,arriving_IDP,search_count,1,0.037741823412175135,-28
kassala,arriving_IDP,search_count,1,0.1175279400111352,-27
kassala,arriving_IDP,search_count,1,1.0,-26
kassala,arriving_IDP,search_count,1,1.0,25
kassala,arriving_IDP,search_count,1,0.1175279400111352,26
kassala,arriving_IDP,search_count,1,0.037741823412175135,27
khartoum,arriving_IDP,search_count,1,0.06749122111820505,-28
khartoum,leaving_IDP,search_count,1,0.3485051204149997,-28
khartoum,arriving_IDP,search_count,1,0.015481315573056542,-27
khartoum,leaving_IDP,search_count,1,0.1433468010914397,-27
khartoum,arriving_IDP,search_count,1,1.0,-26
khartoum,leaving_IDP,search_count,1,1.0,-26
khartoum,arriving_IDP,search_count,1,1.0,25
khartoum,leaving_IDP,search_count,1,1.0,25
khartoum,arriving_IDP,search_count,1,0.015481315573056542,26
khartoum,leaving_IDP,search_count,1,0.1433468010914397,26
khartoum,arriving_IDP,search_count,1,0.06749122111820505,27
khartoum,leaving_IDP,search_count,1,0.3485051204149997,27
north darfur,arriving_IDP,search_count,1,0.0024492587429572055,-28
north darfur,leaving_IDP,search_count,1,0.004727666698591371,-28
north darfur,arriving_IDP,search_count,1,0.09416759307713807,-27
north darfur,leaving_IDP,search_count,1,0.12819484945019655,-27
north darfur,arriving_IDP,search_count,1,1.0,-26
north darfur,leaving_IDP,search_count,1,1.0,-26
north darfur,arriving_IDP,search_count,1,1.0,25
north darfur,leaving_IDP,search_count,1,1.0,25
north darfur,arriving_IDP,search_count,1,0.09416759307713807,26
