location,Y,X(s),covariate num.,r^2,offset
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,-4
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-2
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-1
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,0
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,1
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,2
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
south sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,3
south sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,-4
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-2
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-1
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,0
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,1
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,2
sudan,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
sudan,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,3
aj jazirah,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-4
aj jazirah,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-4
aj jazirah,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
aj jazirah,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.220446049250313e-16,-3
aj jazirah,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-2
