date,location,anger,fear,sadness,disgust,joy,anger-disgust
2023-04-05,adet,48,1,59,1,442,54
2023-04-05,akon,40,11,99,0,173,26
2023-04-05,el suki,1,0,0,0,1,2
2023-04-05,itang,0,1,0,0,0,0
2023-04-05,khartoum,89,0,3,13,6,104
2023-04-05,nyala,0,0,0,0,0,1
2023-04-05,raja,8,0,2,2,4,11
2023-04-05,yuai,1,0,0,0,1,2
2023-04-06,adet,37,0,44,0,325,43
2023-04-06,akon,50,7,116,0,96,57
2023-04-06,el suki,0,0,0,0,0,0
2023-04-06,itang,0,0,0,0,0,0
2023-04-06,khartoum,104,0,1,18,13,122
2023-04-06,leer,0,0,1,0,0,0
2023-04-06,nyala,11,0,0,1,3,12
2023-04-06,raja,11,0,3,4,7,17
2023-04-06,yuai,1,1,0,0,1,1
2023-04-07,adet,11,0,17,1,128,13
2023-04-07,akon,31,6,55,1,100,30
2023-04-07,botor,0,1,0,0,1,0
2023-04-07,khartoum,17,0,1,6,2,19
2023-04-07,leer,0,0,0,0,0,0
2023-04-07,nyala,1,0,1,0,0,1
2023-04-07,raja,1,0,2,3,0,3
2023-04-07,yuai,0,0,0,1,0,1
2023-04-08,adet,94,1,35,1,522,72
2023-04-08,akon,30,14,66,1,110,23
2023-04-08,itang,0,1,0,0,1,0
2023-04-08,jidad,2,0,0,1,0,2
2023-04-08,khartoum,19,0,2,3,3,21
2023-04-08,nekemte,0,0,1,1,0,1
2023-04-08,nyala,2,0,0,0,0,2
2023-04-08,raja,25,1,7,4,1,27
2023-04-08,yuai,0,0,0,0,0,1
2023-04-09,adet,89,1,92,0,564,108
2023-04-09,akon,35,15,71,0,80,34
2023-04-09,botor,0,0,0,0,1,0
2023-04-09,el suki,0,0,0,0,1,0
2023-04-09,itang,0,0,0,0,2,0
2023-04-09,jidad,0,0,0,0,0,0
2023-04-09,khartoum,44,0,1,5,17,43
2023-04-09,nyala,3,0,0,0,0,3
2023-04-09,raja,40,0,15,1,2,42
2023-04-09,yuai,0,0,0,0,1,0
2023-04-10,adet,49,1,60,1,424,57
2023-04-10,adigrat,0,0,1,0,0,0
2023-04-10,akon,43,13,93,1,159,41
