date,location,search_count
2023-01-01,Al Jazirah,0.0
2023-01-02,Al Jazirah,0.0
2023-01-03,Al Jazirah,0.0
2023-01-04,Al Jazirah,0.0
2023-01-05,Al Jazirah,0.0
2023-01-06,Al Jazirah,0.0
2023-01-07,Al Jazirah,0.0
2023-01-08,Al Jazirah,0.0
2023-01-09,Al Jazirah,0.0
2023-01-10,Al Jazirah,0.0
2023-01-11,Al Jazirah,0.0
2023-01-12,Al Jazirah,0.0
2023-01-13,Al Jazirah,0.0
2023-01-14,Al Jazirah,0.0
2023-01-15,Al Jazirah,0.0
2023-01-16,Al Jazirah,0.0
2023-01-17,Al Jazirah,0.0
2023-01-18,Al Jazirah,0.0
2023-01-19,Al Jazirah,0.0
2023-01-20,Al Jazirah,0.0
2023-01-21,Al Jazirah,0.0
2023-01-22,Al Jazirah,0.0
2023-01-23,Al Jazirah,0.0
2023-01-24,Al Jazirah,0.0
2023-01-25,Al Jazirah,0.0
2023-01-26,Al Jazirah,0.0
2023-01-27,Al Jazirah,0.0
2023-01-28,Al Jazirah,0.0
2023-01-29,Al Jazirah,0.0
2023-01-30,Al Jazirah,0.0
2023-01-31,Al Jazirah,0.0
2023-02-01,Al Jazirah,0.0
2023-02-02,Al Jazirah,0.0
2023-02-03,Al Jazirah,0.0
2023-02-04,Al Jazirah,0.0
2023-02-05,Al Jazirah,0.0
2023-02-06,Al Jazirah,0.0
2023-02-07,Al Jazirah,0.0
2023-02-08,Al Jazirah,0.0
2023-02-09,Al Jazirah,0.0
2023-02-10,Al Jazirah,0.0
2023-02-11,Al Jazirah,0.0
2023-02-12,Al Jazirah,0.0
2023-02-13,Al Jazirah,0.0
2023-02-14,Al Jazirah,0.0
2023-02-15,Al Jazirah,0.0
2023-02-16,Al Jazirah,0.0
2023-02-17,Al Jazirah,0.0
2023-02-18,Al Jazirah,0.0
2023-02-19,Al Jazirah,0.0
2023-02-20,Al Jazirah,0.0
2023-02-21,Al Jazirah,0.0
2023-02-22,Al Jazirah,0.0
2023-02-23,Al Jazirah,0.0
2023-02-24,Al Jazirah,0.0
2023-02-25,Al Jazirah,0.0
2023-02-26,Al Jazirah,0.0
2023-02-27,Al Jazirah,0.0
2023-02-28,Al Jazirah,0.0
2023-03-01,Al Jazirah,0.0
2023-03-02,Al Jazirah,0.0
2023-03-03,Al Jazirah,0.0
2023-03-04,Al Jazirah,0.0
2023-03-05,Al Jazirah,0.0
2023-03-06,Al Jazirah,0.0
2023-03-07,Al Jazirah,0.0
2023-03-08,Al Jazirah,0.0
2023-03-09,Al Jazirah,0.0
2023-03-10,Al Jazirah,0.0
2023-03-11,Al Jazirah,0.0
2023-03-12,Al Jazirah,0.0
2023-03-13,Al Jazirah,0.0
2023-03-14,Al Jazirah,0.0
2023-03-15,Al Jazirah,0.0
2023-03-16,Al Jazirah,0.0
2023-03-17,Al Jazirah,0.0
2023-03-18,Al Jazirah,0.0
2023-03-19,Al Jazirah,0.0
2023-03-20,Al Jazirah,0.0
2023-03-21,Al Jazirah,0.0
2023-03-22,Al Jazirah,0.0
2023-03-23,Al Jazirah,0.0
2023-03-24,Al Jazirah,0.0
2023-03-25,Al Jazirah,0.0
2023-03-26,Al Jazirah,0.0
2023-03-27,Al Jazirah,0.0
2023-03-28,Al Jazirah,0.0
2023-03-29,Al Jazirah,0.0
2023-03-30,Al Jazirah,0.0
2023-03-31,Al Jazirah,0.0
2023-04-01,Al Jazirah,0.0
2023-04-02,Al Jazirah,0.0
2023-04-03,Al Jazirah,0.0
2023-04-04,Al Jazirah,0.0
2023-04-05,Al Jazirah,0.0
2023-04-06,Al Jazirah,0.0
2023-04-07,Al Jazirah,0.0
2023-04-08,Al Jazirah,0.0
2023-04-09,Al Jazirah,0.0
2023-04-10,Al Jazirah,0.0
2023-04-11,Al Jazirah,0.0
2023-04-12,Al Jazirah,0.0
2023-04-13,Al Jazirah,0.0
2023-04-14,Al Jazirah,0.0
2023-04-15,Al Jazirah,0.0
2023-04-16,Al Jazirah,0.0
2023-04-17,Al Jazirah,0.0
2023-04-18,Al Jazirah,0.0
2023-04-19,Al Jazirah,0.0
2023-04-20,Al Jazirah,0.0
2023-04-21,Al Jazirah,0.0
2023-04-22,Al Jazirah,0.0
2023-04-23,Al Jazirah,0.0
2023-04-24,Al Jazirah,0.0
2023-04-25,Al Jazirah,0.0
2023-04-26,Al Jazirah,0.0
2023-04-27,Al Jazirah,0.0
2023-04-28,Al Jazirah,0.0
2023-04-29,Al Jazirah,0.0
2023-04-30,Al Jazirah,0.0
2023-05-01,Al Jazirah,0.0
2023-05-02,Al Jazirah,0.0
2023-05-03,Al Jazirah,0.0
2023-05-04,Al Jazirah,0.0
2023-05-05,Al Jazirah,0.0
2023-05-06,Al Jazirah,0.0
2023-05-07,Al Jazirah,0.0
2023-05-08,Al Jazirah,0.0
2023-05-09,Al Jazirah,0.0
2023-05-10,Al Jazirah,0.0
2023-05-11,Al Jazirah,0.0
2023-05-12,Al Jazirah,0.0
2023-05-13,Al Jazirah,0.0
2023-05-14,Al Jazirah,0.0
2023-05-15,Al Jazirah,0.0
2023-05-16,Al Jazirah,0.0
2023-05-17,Al Jazirah,0.0
2023-05-18,Al Jazirah,0.0
2023-05-19,Al Jazirah,0.0
2023-05-20,Al Jazirah,0.0
2023-05-21,Al Jazirah,0.0
2023-05-22,Al Jazirah,0.0
2023-05-23,Al Jazirah,0.0
2023-05-24,Al Jazirah,0.0
2023-05-25,Al Jazirah,0.0
2023-05-26,Al Jazirah,0.0
2023-05-27,Al Jazirah,0.0
2023-05-28,Al Jazirah,0.0
2023-05-29,Al Jazirah,0.0
2023-05-30,Al Jazirah,0.0
2023-05-31,Al Jazirah,0.0
2023-06-01,Al Jazirah,0.0
2023-06-02,Al Jazirah,0.0
2023-06-03,Al Jazirah,0.0
2023-06-04,Al Jazirah,0.0
2023-06-05,Al Jazirah,0.0
2023-06-06,Al Jazirah,0.0
2023-06-07,Al Jazirah,0.0
2023-06-08,Al Jazirah,0.0
2023-06-09,Al Jazirah,0.0
2023-06-10,Al Jazirah,0.0
2023-06-11,Al Jazirah,0.0
2023-06-12,Al Jazirah,0.0
2023-06-13,Al Jazirah,0.0
2023-06-14,Al Jazirah,0.0
2023-06-15,Al Jazirah,0.0
2023-06-16,Al Jazirah,0.0
2023-06-17,Al Jazirah,0.0
2023-06-18,Al Jazirah,0.0
2023-06-19,Al Jazirah,0.0
2023-06-20,Al Jazirah,0.0
2023-06-21,Al Jazirah,0.0
2023-06-22,Al Jazirah,0.0
2023-06-23,Al Jazirah,0.0
2023-06-24,Al Jazirah,0.0
2023-06-25,Al Jazirah,0.0
2023-06-26,Al Jazirah,0.0
2023-06-27,Al Jazirah,0.0
2023-06-28,Al Jazirah,0.0
2023-06-29,Al Jazirah,0.0
2023-06-30,Al Jazirah,0.0
2023-07-01,Al Jazirah,0.0
2023-07-02,Al Jazirah,0.0
2023-07-03,Al Jazirah,0.0
2023-07-04,Al Jazirah,0.0
2023-07-05,Al Jazirah,0.0
2023-07-06,Al Jazirah,0.0
2023-07-07,Al Jazirah,0.0
2023-07-08,Al Jazirah,0.0
2023-07-09,Al Jazirah,0.0
2023-07-10,Al Jazirah,0.0
2023-07-11,Al Jazirah,0.0
2023-07-12,Al Jazirah,0.0
2023-07-13,Al Jazirah,0.0
2023-07-14,Al Jazirah,0.0
2023-07-15,Al Jazirah,0.0
2023-07-16,Al Jazirah,0.0
2023-07-17,Al Jazirah,0.0
2023-07-18,Al Jazirah,0.0
2023-07-19,Al Jazirah,0.0
2023-07-20,Al Jazirah,61.0
2023-07-21,Al Jazirah,0.0
2023-07-22,Al Jazirah,58.0
2023-07-23,Al Jazirah,80.0
2023-01-01,Blue Nile,0.0
2023-01-02,Blue Nile,0.0
