,country,name_en,name_translated,name_dbpedia,population
0,Chad,Abéché,أبيشي,أبشي,427637.96
1,Chad,أدري Adré,دريري أدري,,314794.3833
2,Chad,Guereda,Guereda,,252214.4219
3,Chad,Umm Hajar,أم هجار,,208528.7257
4,Chad,Am Timan,أنا تيمان,أم تيمان,184757.437
5,Chad,Tina,تينا,,176283.3142
6,Chad,Biltine,بيلتين,,149561.8818
7,Chad,Goz Beïda,جوز بيس,قوز بيدا,132308.9873
8,Chad,Mangalmé,مانجالم,,115920.9111
9,Chad,Karyari,كاراري,,105539.3667
10,Chad,Iriba,إريبا,إريبا,62493.69238
11,Eritrea,Massawa,ماساوا,مصوع,1014460.158
12,Eritrea,Asmara,أسمارا,أسمرة,643257.2689
13,Eritrea,Teseney,تيسيني,تسني,261925.9885
14,Eritrea,دقمحري Dekemhare,دحميري ديكيمهير,,259795.3939
15,Eritrea,Barentu,بارنتو,,209849.2754
16,Eritrea,Mendefera,منديفيرا,منديفيرا,183902.5198
17,Eritrea,Adi Keyh,ADI Keyh,عدي قيح,153454.7773
18,Eritrea,Keren,كيرين,,115984.3738
19,Eritrea,Adi Quala,عدي QUALA,,115387.1917
20,Eritrea,Senafe,سينافي,صنعفي,109737.4102
21,Eritrea,Adi Guadad,عدي غواداد,,81562.31274
22,Eritrea,Debarwa,Debarwa,,78317.43066
23,Eritrea,Golij,جوليج,,73184.62573
24,Ethiopia,Bahir Dar,بهير دار,بحر دار,492270.9863
25,Ethiopia,Merawi,ميروي,,275955.5273
26,Ethiopia,Gonder,غوندر,,274618.9895
27,Ethiopia,Darechera,دارشيرا,,270098.4824
28,Ethiopia,Wereta,فيريتا,,265972.2603
29,Ethiopia,Mota,موتا,,240549.5776
30,Ethiopia,Seka,سيكا,,227707.0394
31,Ethiopia,Debre Markos,Debre Markos,,225513.9904
32,Ethiopia,Adet,adet,,219112.1143
33,Ethiopia,Gut'O,gut'o,,218622.5703
34,Ethiopia,Nekemte,Nekemte,,203922.3688
35,Ethiopia,Debark,ديبارك,,202143.2771
36,Ethiopia,Quiha,Quiha,,202092.6958
37,Ethiopia,Jimma,جيما,جيما,201970.2333
38,Ethiopia,Ebbenat,ابرينات,,200940.9678
39,Ethiopia,Nefas Meewcha,Nefas Mewcha,,195191.5293
40,Ethiopia,Chagni,شاني,,190904.5283
41,Ethiopia,Digna,digna,,186006.9961
42,Ethiopia,Inticho,inticho,,183453.0122
43,Ethiopia,Adigrat,adigrat,آديغرات,182843.3924
44,Ethiopia,Feres Bet,رهان فيريس,,182352.4387
45,Ethiopia,Dambidollo,Dambidollo,,180934.3594
46,Ethiopia,Dangla,دانغلا,,177149.7876
47,Ethiopia,Aykel,أيكل,,174675.7922
48,Ethiopia,Debre Tabor,Debre Tabor,ديبري تابور,169727.8892
49,Ethiopia,Durbete,ديربريت,,166514.3677
50,Ethiopia,Anbesame,Anbesame,,164299.4641
51,Ethiopia,Bechena,بيشينا,,164257.7114
52,Ethiopia,Gende Woin,جيندي وين,,153985.1765
53,Ethiopia,Delgi,دلهي,,152238.0005
54,Ethiopia,Adi Gudom,عدي جودوم,,151324.5212
55,Ethiopia,Gish Abay,جيش أباي,جش أباي,148757.6743
56,Ethiopia,Hagere Selam,هاجر سيلام,,147058.3921
57,Ethiopia,Addis Kidan,أديس كيدان,,145890.4521
58,Ethiopia,Kon,كون,,144272.6196
59,Ethiopia,Tepi,تيبي,,144115.6283
60,Ethiopia,Yejube,يجيوب,,143480.8906
61,Ethiopia,Bako,باكو,,142337.6818
62,Ethiopia,Mekanebirhan,ميكانبيرهان,,142246.2539
63,Ethiopia,Ch'Iri,شنيري,,141597.8877
64,Ethiopia,Filakit Gereger,Filakit Gereger,,140972.6902
65,Ethiopia,Nefnafe,Nefnafe,,139807.7415
66,Ethiopia,Aszimew,أسيميو,,139101.293
67,Ethiopia,እንዳባጉና/Inda Aba Guna,እንዳባጉና/inda أبا غونا,,137633.8467
68,Ethiopia,Enjebara,enjebara,,137540.6321
69,Ethiopia,Asosa,أسوسا,,137210.7893
70,Ethiopia,Adis Zemen,أديس زيمن,,137074.0439
71,Ethiopia,Duba,دوبا,,136163.1578
72,Ethiopia,Mariam Debre Cuorie,ماريام دير كوري,,135007.3281
73,Ethiopia,serbo,الصربي,,134066.4187
74,Ethiopia,Debre Work,عمل ديبري,,133324.0789
75,Ethiopia,Dembea,ديمبيا,,130925.9204
76,Ethiopia,Mendi,مندي,,128672.2908
77,Ethiopia,Washira,واشرا,,128510.0723
78,Ethiopia,Mek'elē,mek'elē,,127962.1252
79,Ethiopia,Uykro,uykro,,127512.2734
80,Ethiopia,Lalibela,لاليبيلا,لاليبيلا,126294.9541
81,Ethiopia,Mertule Mariam,مريم مريم,,125162.1285
82,Ethiopia,Anda,أندا,,124312.5435
83,Ethiopia,Jiga,جيغا,,123936.248
84,Ethiopia,Etana,إيتانا,إيتانا,123032.0898
85,Ethiopia,Katab,كاتاب,,121858.7363
86,Ethiopia,Ts'Erba,ts'erba,,121672.7568
87,Ethiopia,Amdework,amdework,,118889.6726
88,Ethiopia,Chena,شينا,,118742.4038
89,Ethiopia,Amanuel,أمانويل,,118564.8281
90,Ethiopia,Mekane Yesus,ميكان ييسيوس,,117470.6809
91,Ethiopia,Nedjo,نيدجو,,117029.1765
92,Ethiopia,Samre,سام,,116953.7949
93,Ethiopia,Lumame,لومامي,,115015.9048
94,Ethiopia,Dejen,ديجين,,114128.0354
95,Ethiopia,Shahura (Alefa),شاهورا (أليفا),,113467.1406
96,Ethiopia,Chwahit,chwahit,,113090.0991
97,Ethiopia,West Belesa,ويست بيبيسا,,110265.1855
98,Ethiopia,Gedo,جدو,جدو,110242.126
99,Ethiopia,Passo Di Senafe,باسو دي سينافي,,109790.9297
100,Ethiopia,Medale,ميدال,,109319.8599
101,Ethiopia,Shewa Ghimira,شيوا غميرا,,108577.0258
102,Ethiopia,Sigmo,Sigmo,,106944.875
103,Ethiopia,Enda Mariam Sion,إندا مريم سيون,,105187.9209
104,Ethiopia,Beigi,البيجي,,104100.9058
105,Ethiopia,Ekda Gaber,ekda gaber,,103680.6973
106,Ethiopia,Shire,شاير,,102622.8084
107,Ethiopia,Sherer,شرير,,99754.65479
108,Ethiopia,Burie,بوري,,97914.45654
109,Ethiopia,Metu,ميتو,,97251.36499
110,Ethiopia,North Gondar,شمال جوندار,,97200.98486
111,Ethiopia,Guyi,جوي,,96938.53906
112,Ethiopia,Cima,سيما,,96727.25891
113,Ethiopia,Shenen,شين,,96043.44629
114,Ethiopia,Adwa,Adwa,,95908.40796
115,Ethiopia,Kakie,كاكي,,95314.68872
116,Ethiopia,Shebe,هي تكون,,95277.80957
117,Ethiopia,Densa,دينسا,دينسا,94077.42969
118,Ethiopia,Kuyi,كوي,,93838.47119
119,Ethiopia,Gube Guto,جوب غوتو,,93201.7627
120,Ethiopia,Hawzien,هاوزين,,92923.26367
121,Ethiopia,Axum,محور,أكسوم,92804.69775
122,Ethiopia,Sire,مولى,,92728.54956
123,Ethiopia,Limmu,limmu,لمو,92506.94189
124,Ethiopia,Edaga Aby,edaga aby,,91005.58203
125,Ethiopia,Malek Sanca,Malek Sanca,,89742.04297
126,Ethiopia,Gulisso,جوليسو,,89599.58154
127,Ethiopia,The State Of Tigray,دولة تيغراي,,89383.58887
128,Ethiopia,Shira,شيرا,,89379.55896
129,Ethiopia,Senan Rob Gebeya,سينان روب جبيا,,88874.92261
130,Ethiopia,Balemi,بالمي,,88850.07617
131,Ethiopia,Shendie Gebreal,شيندي جوبالي,,86692.55664
132,Ethiopia,Alem Teferi,علم تيفيري,,86683.2085
133,Ethiopia,Kaka,كاكا,كاكا (توضيح),86355.98242
134,Ethiopia,Seyo,سيو,,86337.47461
135,Ethiopia,Maksegnit,Maksegnit,,84453.03625
136,Ethiopia,Lieca,لايكا,,84417.27972
137,Ethiopia,Ashenat,أشينات,,83739.8186
138,Ethiopia,Metema መተማ,Metema መተማ,,83381.34131
139,Ethiopia,Tokud Emni,Tokud Emni,,82742.14844
140,Ethiopia,K'Umbabe,كومبابي,,82364.25586
141,Ethiopia,Kimir Dingay,كمير دينغاي,,80249.3479
142,Ethiopia,Fint'Al Feres,fint'al feres,,80177.0752
143,Ethiopia,Yegodena Mikael,Yegodena Mikael,,79936.25684
144,Ethiopia,Rio Arno,ريو أرنو,,79826.06885
145,Ethiopia,Bedele,بيدل,,79657.0592
146,Ethiopia,Teh Gabr,غابي,,79424.20361
147,Ethiopia,Ejaji,إيجاجي,,79116.29004
148,Ethiopia,Agaro,Agaro,,79074.35828
149,Ethiopia,Rama,راما,راما (هندوسية),75966.03125
150,Ethiopia,Kombolcha,كومبولشا,كومبولشا,75828.13477
151,Ethiopia,Yanfa,يانفا,,75553.85352
152,Ethiopia,Getema,getema,,74712.97681
153,Ethiopia,Kile,كيل,كايل,74445.85278
154,Ethiopia,Digo Tsion,Digo tsion,,74273.82813
155,Ethiopia,Dembi,ديمبي,,74128.17676
156,Ethiopia,Tis Abay,تيس أباي,,73947.00391
157,Ethiopia,K'Idame Gebeya,K'idame gebeya,,73349.89673
158,Ethiopia,Daka,داكا,,72105.56274
159,Ethiopia,Liben Medhane `Alem Bete Kristiyan,ليبين ميدان,,71910.67383
160,Ethiopia,Kunzila,كونزيلا,,71050.375
161,Ethiopia,Aadi Noia,Aadiايا,,70897.75586
162,Ethiopia,Manasebo,ماناسبو,,70743.3335
163,Ethiopia,Bitilta Zebraro,Bitilta Zebraro,,70432.03357
164,Ethiopia,Chelena,تشلينا,,70234.4519
165,Ethiopia,Jawi,جاوي,جاوي (توضيح),70223.64209
166,Ethiopia,Gebeze Mariam,Gebeze مريم,,69823.81787
167,Ethiopia,Hareto,هاريتو,,69685.87939
168,Ethiopia,Guie,رسواضة نقدية,,69654.20532
169,Ethiopia,Berciuma,berciuma,,67664.51343
170,Ethiopia,Sekela,سيكيلا,,65628.75635
171,Ethiopia,Kuch,كوش,كوتش (باقران),64966.98535
172,Ethiopia,Gechi,جيشي,,64343.44458
173,Ethiopia,Gambela,غامبيلا,,64318.14197
174,Ethiopia,Yebu,ييبو,,63775.88965
175,Ethiopia,Bambasi,بامباسي,,63623.19922
176,Ethiopia,Gore,جور,,63382.83704
177,Ethiopia,May Cader,قد كادر,,62783.59082
178,Ethiopia,Jarso Tower,برج جارسو,,62717.35205
179,Ethiopia,Uallaga,uallaga,,62561.33594
180,Ethiopia,Wukro,ووكرو,,62434.30225
181,Ethiopia,Haro,هارو,,61954.97974
182,Ethiopia,Asketama Village,قرية Asketama,,61769.84277
183,Ethiopia,Aira,Aira,خرطالية,61682.82239
184,Ethiopia,Adi Da`Iro,عدي دافيرو,,61619.9751
185,Ethiopia,Fatsi,فاتسي,,61561.96094
186,Ethiopia,Estayish,estayish,,60720.08789
187,Ethiopia,Hamusit,هاموسيت,,60461.82227
188,Ethiopia,Feres Midir,فيريس ميدير,,60065.52734
189,Ethiopia,Semoy,Semoy,,59227.27246
190,Ethiopia,Wad,ود,,59081.36401
191,Ethiopia,Ghimbi,غيمبي,,58817.68677
192,Ethiopia,Zarema,زاريما,,58663.76318
193,Ethiopia,Jemu,جيمو,,58375.36206
194,Ethiopia,Tulu Wayo,تولو ويو,,58222.44214
195,Ethiopia,Welensu,Welensu,,57672.8042
196,Ethiopia,Itang,itang,,57662.74219
197,Ethiopia,Botor,botor,,57117.56348
198,Ethiopia,Adisicia,adisicia,,57078.80957
199,Ethiopia,Gida Ayana,جيدا أيانا,,56231.19238
200,Ethiopia,Gengi,جينجي,,55018.71094
201,Ethiopia,Inango,Inango,,54893.96765
202,Ethiopia,Gutin,غوتن,,54573.03809
203,Ethiopia,Dil Yibza,ديل ييبزا,,54482.92578
204,Ethiopia,Meti Chafi / Tilk u Meti,Meti Chafi / Tilk U Meti,,54470.98267
205,Ethiopia,Shehibi,شيبي,,54284.53906
206,Ethiopia,Tongo,تونغو,,54281.81836
207,Ethiopia,Shambu,شامبو,,53486.12598
208,Ethiopia,Achefer,آلام,,53397.58301
209,Ethiopia,Safiya,Safiya,صفية (اسم),53393.73022
210,Ethiopia,Bila,بيلا,,52593.63086
211,Ethiopia,Alibo,ألبو,,52387.53613
212,Ethiopia,Geba,جبا,,52326.87646
213,Ethiopia,Yechillay,Yechillay,,52281.28027
214,Ethiopia,Gembe,gembe,,51872.10864
215,Ethiopia,Arjo,أرجو,,51674.77051
216,Ethiopia,Adi Tuoldemedhin,عدي تيوولدميدهين,,51622.22949
217,Saudi Arabia,Jeddah,جدة,نافورة الملك فهد,3517161.719
218,Saudi Arabia,Mecca,مكة المكرمة,مكة,1312910.665
219,Saudi Arabia,At Taif,في شيف,,693623.5267
220,Saudi Arabia,Ash Sharai,آش شاراي,,253100.6734
221,Saudi Arabia,Al Hawiyah,الهينيه,الحوية (الطائف),163063.5673
222,Saudi Arabia,Al Lith,آل ليث,محافظة الليث,110402.0309
223,Saudi Arabia,Qunfudhah,Qunfudhah,,96487.30762
224,Saudi Arabia,Bahrah,البحرة,محافظة بحرة,63339.37537
225,Saudi Arabia,قلوة,قloة,,52384.95801
226,South Sudan,Naseer,ناسير,,285372.5345
227,South Sudan,Wau,واو,,235262.1815
228,South Sudan,Kuajok,كوجوك,,217565.8964
229,South Sudan,Pibor,بيبور,بيبور,186551.1094
230,South Sudan,Renk,رينك,,181894.6423
231,South Sudan,Malakal,مالاكال,ملكال,165469.6677
232,South Sudan,Walgak,والجاك,,164291.0508
233,South Sudan,Aweil,روييل,,162030.4336
234,South Sudan,Malualkon,malualkon,,153874.7988
235,South Sudan,Mayom,مايوم,,142915.3672
236,South Sudan,Lankien,لانكين,,126528.0313
237,South Sudan,Pieri,بيري,,119162.0469
238,South Sudan,Ulang,أولانغ,,115566.6094
239,South Sudan,Bentiu,Bentiu,بانتيو,92649.24463
240,South Sudan,Poktap,بوكتاب,,84201.625
241,South Sudan,Turalei,تورالي,,76934.6875
242,South Sudan,Leer,لير,,74451.59277
243,South Sudan,Warrap,واراب,واراب (توضيح),69175.94531
244,South Sudan,Rier Market,سوق ريير,,60221.35059
245,South Sudan,Yuai,يوي,,60157.50391
246,South Sudan,Raja,رجا,راجا,56470.86853
247,South Sudan,New Fangak,نيو فانغاك,,54991.53906
248,South Sudan,Akon,أكون,إيكون,52897.41406
249,Sudan,Khartoum,الخرطوم,الخرطوم,5824720.873
250,Sudan,Nyala,نيالا,نيالا (ظبي),820683.9922
251,Sudan,Al-Ubayyid,ubayyid,,680618.161
252,Sudan,Buram,بورام,,642447.4072
255,Sudan,Al-Jazirah,الجزيرة,,123078
253,Sudan,Al-Fashir,الفاشير,,632597.4121
254,Sudan,Kebkabiya,kebkabiya,,580839.5359
255,Sudan,Ad Da'ein,AD Da'ein,,560072.6333
256,Sudan,Al Managil,آل مانغيل,,558879.1005
257,Sudan,Port Sudan,ميناء السودان,بورتسودان,551714.3267
258,Sudan,Wad Madanī,واد ماداني,,549310.1449
259,Sudan,Kosti,كوستي,,485519.2368
260,Sudan,Umm Ruwaba,أم روابا,أم روابة (مدينة),470698.3313
261,Sudan,Al Hasahisa,حليا,,370732.6813
262,Sudan,Kas,كاس,,359347.0352
263,Sudan,Kassala,كاسالا,كسلا,335979.2154
264,Sudan,Um Danga,أم دانغا,,332277.7188
265,Sudan,Abu Matarig,أبو ماتاريج,,304626.8071
266,Sudan,Ed Al Fursan,إد آن فورسان,,303882.3413
267,Sudan,Al-Qadarif,القنا,,296606.0704
268,Sudan,En Nahud,en nohud,النهود,290619.464
269,Sudan,Hayya,هايا,,278501.0938
270,Sudan,Saraf `Umrah,سراف `umrah,,259856.9253
271,Sudan,Barah,باره,,241905.1851
272,Sudan,Geneina,جينينا,الجنينة (السودان),239331.9101
273,Sudan,Gnalida,Gnalida,,232950.9976
274,Sudan,Al Rahad,الرهاب,,219084.8895
275,Sudan,Rabak,راباك,ربك,208331.7797
276,Sudan,Shearia,شيريا,,199148.7843
277,Sudan,Shendi,شيندي,شندي,195831.4615
278,Sudan,Ghubaysh,غوبايش,,195735.9435
279,Sudan,Ad-Damazin,ad-damazin,,192740.6097
280,Sudan,Sennar,سنار,سنار,182063.8958
281,Sudan,Jebel Aulia,جبل أوليا,,177717.0293
282,Sudan,Atbara,Atbara,عطبرة,176031.6195
283,Sudan,Abu Jibeha,أبو جيبها,,168700.0179
284,Sudan,Tandalti,Tandalti,تندلتي,168064.6758
285,Sudan,Mellit,ميليت,,162580.3977
286,Sudan,Al Hilaliyah,الهيلاليه,,154960.0273
287,Sudan,Al Quwaysi,Quaysi,,152890.3905
288,Sudan,Ed Dueim,إد دي,الدويم,152170.3145
289,Sudan,ad-Damer,إعلان,,147173.8995
290,Sudan,Abu Zabad,أبو زاباد,,146383.2461
291,Sudan,Dilling,الشجر,,145564.9237
292,Sudan,New Halfa,نهر جديد,حلفا الجديدة,144376.0526
293,Sudan,Umm Siado??,أم سيادو ؟؟,,140607.8733
294,Sudan,Muglad,موغلاد,المجلد,135271.0791
295,Sudan,Giad Industrial Complex,مجمع جياد الصناعي,,134395.3253
296,Sudan,Al Fao,الفاو,,133794.5012
297,Sudan,Um Dukhan,أم دوخان,,125323.3127
298,Sudan,Sinkāt,بالوعة,,116210.6335
299,Sudan,Khashm El Girba,خشم الجيربا,,114137.2358
300,Sudan,Er Roseires,إيه روزاير,الروصيرص,113728.1821
301,Sudan,Hamrat El Sheikh,هامرات الشيخ,,112403.9756
302,Sudan,Singa,سينغا,بوق,109657.1262
303,Sudan,Mazrub,Mazrub,,103449.1504
304,Sudan,For Baranga,لبارانجا,,102712.3394
305,Sudan,Al Kurumuk,كوروموك,,102063.4708
306,Sudan,Ghaliya,الغالية,,99563.17725
307,Sudan,Ermil Post,Ermil Post,,98259.03418
308,Sudan,Doka,دوكا,,97808.60938
309,Sudan,Umm Kadadah,أم كادا,,96772.10449
310,Sudan,Baqayr al Quddami,Baqayr القدومي,,94400.53555
311,Sudan,Kaduqli,Kaduqli,كادوقلي,89542.57214
312,Sudan,Al ‘Abbāsiyya,آل عبسيا,,89333.85938
