date,location,search_count
2023-01-01,al jazirah,0.0
2023-01-02,al jazirah,0.0
2023-01-03,al jazirah,0.0
2023-01-04,al jazirah,0.0
2023-01-05,al jazirah,0.0
2023-01-06,al jazirah,0.0
2023-01-07,al jazirah,0.0
2023-01-08,al jazirah,0.0
2023-01-09,al jazirah,0.0
2023-01-10,al jazirah,0.0
2023-01-11,al jazirah,0.0
2023-01-12,al jazirah,0.0
2023-01-13,al jazirah,0.0
2023-01-14,al jazirah,0.0
2023-01-15,al jazirah,0.0
2023-01-16,al jazirah,0.0
2023-01-17,al jazirah,0.0
2023-01-18,al jazirah,0.0
2023-01-19,al jazirah,0.0
2023-01-20,al jazirah,0.0
2023-01-21,al jazirah,0.0
2023-01-22,al jazirah,0.0
2023-01-23,al jazirah,0.0
2023-01-24,al jazirah,0.0
2023-01-25,al jazirah,0.0
2023-01-26,al jazirah,0.0
2023-01-27,al jazirah,0.0
2023-01-28,al jazirah,0.0
2023-01-29,al jazirah,0.0
2023-01-30,al jazirah,0.0
2023-01-31,al jazirah,0.0
2023-02-01,al jazirah,0.0
2023-02-02,al jazirah,0.0
2023-02-03,al jazirah,0.0
2023-02-04,al jazirah,0.0
2023-02-05,al jazirah,0.0
2023-02-06,al jazirah,0.0
2023-02-07,al jazirah,0.0
2023-02-08,al jazirah,0.0
2023-02-09,al jazirah,0.0
2023-02-10,al jazirah,0.0
2023-02-11,al jazirah,0.0
2023-02-12,al jazirah,0.0
2023-02-13,al jazirah,0.0
2023-02-14,al jazirah,0.0
2023-02-15,al jazirah,0.0
2023-02-16,al jazirah,0.0
2023-02-17,al jazirah,0.0
2023-02-18,al jazirah,0.0
2023-02-19,al jazirah,0.0
2023-02-20,al jazirah,0.0
2023-02-21,al jazirah,0.0
2023-02-22,al jazirah,0.0
2023-02-23,al jazirah,0.0
2023-02-24,al jazirah,0.0
2023-02-25,al jazirah,0.0
2023-02-26,al jazirah,0.0
2023-02-27,al jazirah,0.0
2023-02-28,al jazirah,0.0
2023-03-01,al jazirah,0.0
2023-03-02,al jazirah,0.0
2023-03-03,al jazirah,0.0
2023-03-04,al jazirah,0.0
2023-03-05,al jazirah,0.0
2023-03-06,al jazirah,0.0
2023-03-07,al jazirah,0.0
2023-03-08,al jazirah,0.0
2023-03-09,al jazirah,0.0
2023-03-10,al jazirah,0.0
2023-03-11,al jazirah,0.0
2023-03-12,al jazirah,0.0
2023-03-13,al jazirah,0.0
2023-03-14,al jazirah,0.0
2023-03-15,al jazirah,0.0
2023-03-16,al jazirah,0.0
2023-03-17,al jazirah,0.0
2023-03-18,al jazirah,0.0
2023-03-19,al jazirah,0.0
2023-03-20,al jazirah,0.0
2023-03-21,al jazirah,0.0
2023-03-22,al jazirah,0.0
2023-03-23,al jazirah,0.0
2023-03-24,al jazirah,0.0
2023-03-25,al jazirah,0.0
2023-03-26,al jazirah,0.0
2023-03-27,al jazirah,0.0
2023-03-28,al jazirah,0.0
2023-03-29,al jazirah,0.0
2023-03-30,al jazirah,0.0
2023-03-31,al jazirah,0.0
2023-04-01,al jazirah,0.0
2023-04-02,al jazirah,0.0
2023-04-03,al jazirah,0.0
2023-04-04,al jazirah,0.0
2023-04-05,al jazirah,0.0
2023-04-06,al jazirah,0.0
2023-04-07,al jazirah,0.0
2023-04-08,al jazirah,0.0
2023-04-09,al jazirah,0.0
2023-04-10,al jazirah,0.0
2023-04-11,al jazirah,0.0
2023-04-12,al jazirah,0.0
2023-04-13,al jazirah,0.0
2023-04-14,al jazirah,0.0
2023-04-15,al jazirah,0.0
2023-04-16,al jazirah,0.0
2023-04-17,al jazirah,0.0
2023-04-18,al jazirah,0.0
2023-04-19,al jazirah,0.0
2023-04-20,al jazirah,0.0
2023-04-21,al jazirah,0.0
2023-04-22,al jazirah,0.0
2023-04-23,al jazirah,0.0
2023-04-24,al jazirah,0.0
2023-04-25,al jazirah,0.0
2023-04-26,al jazirah,0.0
2023-04-27,al jazirah,0.0
2023-04-28,al jazirah,0.0
2023-04-29,al jazirah,0.0
2023-04-30,al jazirah,0.0
2023-05-01,al jazirah,0.0
2023-05-02,al jazirah,0.0
2023-05-03,al jazirah,0.0
2023-05-04,al jazirah,0.0
2023-05-05,al jazirah,0.0
2023-05-06,al jazirah,0.0
2023-05-07,al jazirah,0.0
2023-05-08,al jazirah,0.0
2023-05-09,al jazirah,0.0
2023-05-10,al jazirah,0.0
2023-05-11,al jazirah,0.0
2023-05-12,al jazirah,0.0
2023-05-13,al jazirah,0.0
2023-05-14,al jazirah,0.0
2023-05-15,al jazirah,0.0
2023-05-16,al jazirah,0.0
2023-05-17,al jazirah,0.0
2023-05-18,al jazirah,0.0
2023-05-19,al jazirah,0.0
2023-05-20,al jazirah,0.0
2023-05-21,al jazirah,0.0
2023-05-22,al jazirah,0.0
2023-05-23,al jazirah,0.0
2023-05-24,al jazirah,0.0
2023-05-25,al jazirah,0.0
2023-05-26,al jazirah,0.0
2023-05-27,al jazirah,0.0
2023-05-28,al jazirah,0.0
2023-05-29,al jazirah,0.0
2023-05-30,al jazirah,0.0
2023-05-31,al jazirah,0.0
2023-06-01,al jazirah,0.0
2023-06-02,al jazirah,0.0
2023-06-03,al jazirah,0.0
2023-06-04,al jazirah,0.0
2023-06-05,al jazirah,0.0
2023-06-06,al jazirah,0.0
2023-06-07,al jazirah,0.0
2023-06-08,al jazirah,0.0
2023-06-09,al jazirah,0.0
2023-06-10,al jazirah,0.0
2023-06-11,al jazirah,0.0
2023-06-12,al jazirah,0.0
2023-06-13,al jazirah,0.0
2023-06-14,al jazirah,0.0
2023-06-15,al jazirah,0.0
2023-06-16,al jazirah,0.0
2023-06-17,al jazirah,0.0
2023-06-18,al jazirah,0.0
2023-06-19,al jazirah,0.0
2023-06-20,al jazirah,0.0
2023-06-21,al jazirah,0.0
2023-06-22,al jazirah,0.0
2023-06-23,al jazirah,0.0
2023-06-24,al jazirah,0.0
2023-06-25,al jazirah,0.0
2023-06-26,al jazirah,0.0
2023-06-27,al jazirah,0.0
2023-06-28,al jazirah,0.0
2023-06-29,al jazirah,0.0
2023-06-30,al jazirah,0.0
2023-07-01,al jazirah,0.0
2023-07-02,al jazirah,0.0
2023-07-03,al jazirah,0.0
2023-07-04,al jazirah,0.0
2023-07-05,al jazirah,0.0
2023-07-06,al jazirah,0.0
2023-07-07,al jazirah,0.0
2023-07-08,al jazirah,0.0
2023-07-09,al jazirah,0.0
2023-07-10,al jazirah,0.0
2023-07-11,al jazirah,0.0
2023-07-12,al jazirah,0.0
2023-07-13,al jazirah,0.0
2023-07-14,al jazirah,0.0
2023-07-15,al jazirah,0.0
2023-07-16,al jazirah,0.0
2023-07-17,al jazirah,0.0
2023-07-18,al jazirah,0.0
2023-07-19,al jazirah,0.0
2023-07-20,al jazirah,61.0
2023-07-21,al jazirah,0.0
2023-07-22,al jazirah,58.0
2023-07-23,al jazirah,80.0
2023-01-01,blue nile,0.0
2023-01-02,blue nile,0.0
2023-01-03,blue nile,0.0
2023-01-04,blue nile,0.0
2023-01-05,blue nile,0.0
2023-01-06,blue nile,0.0
2023-01-07,blue nile,0.0
2023-01-08,blue nile,0.0
2023-01-09,blue nile,0.0
2023-01-10,blue nile,0.0
2023-01-11,blue nile,0.0
2023-01-12,blue nile,0.0
2023-01-13,blue nile,0.0
2023-01-14,blue nile,0.0
2023-01-15,blue nile,0.0
2023-01-16,blue nile,0.0
2023-01-17,blue nile,0.0
2023-01-18,blue nile,0.0
2023-01-19,blue nile,0.0
2023-01-20,blue nile,0.0
2023-01-21,blue nile,0.0
2023-01-22,blue nile,0.0
2023-01-23,blue nile,0.0
2023-01-24,blue nile,0.0
2023-01-25,blue nile,0.0
2023-01-26,blue nile,0.0
2023-01-27,blue nile,0.0
2023-01-28,blue nile,0.0
