date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,"شقة مستأجرة,ايربنب",حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة
2018-01-01,0,0,0,0,46,0,0,20,0,0,0,11,8,0,0,0,16,0,21,0,0,44,9
2018-02-01,0,0,0,0,54,0,0,19,10,0,2,12,11,0,0,14,30,0,35,0,6,49,7
2018-03-01,0,0,0,0,66,0,0,22,6,0,1,11,9,0,0,8,25,0,41,0,4,55,6
2018-04-01,0,44,0,0,45,0,0,31,7,0,1,15,12,0,0,9,27,0,38,0,4,55,3
2018-05-01,0,29,0,0,30,0,0,55,11,0,2,10,15,0,0,14,40,0,29,0,7,54,10
2018-06-01,0,0,0,0,61,0,0,66,4,0,1,12,12,0,0,6,47,0,19,0,3,33,6
2018-07-01,0,0,0,0,60,0,0,43,0,0,0,9,9,0,0,0,40,0,28,0,0,37,9
2018-08-01,0,0,0,0,78,0,0,30,9,0,2,12,11,0,0,12,36,0,27,0,6,39,10
2018-09-01,0,0,0,0,97,0,0,33,4,0,1,11,9,0,0,5,32,0,24,0,2,51,9
2018-10-01,0,0,0,0,60,0,0,53,4,0,1,12,8,0,0,6,34,0,39,0,3,59,7
2018-11-01,0,0,0,0,59,0,0,68,6,0,1,11,10,0,0,8,25,0,24,0,4,54,6
2018-12-01,0,18,0,0,40,0,0,48,0,0,0,10,12,0,0,0,29,0,19,0,0,67,4
2019-01-01,0,0,0,0,55,0,0,37,6,0,1,10,11,0,0,7,22,0,28,0,3,62,9
2019-02-01,0,0,0,0,61,0,0,55,4,0,1,9,9,0,0,6,24,0,26,0,3,54,10
2019-03-01,0,0,0,0,46,0,0,37,9,0,2,9,9,0,0,12,27,0,30,0,5,59,4
2019-04-01,0,57,0,0,56,0,0,46,11,0,2,10,12,0,0,14,32,0,29,0,6,52,8
2019-05-01,0,0,0,0,64,0,0,28,6,0,1,100,16,0,0,8,35,0,30,0,4,64,6
2019-06-01,0,31,0,0,93,0,0,37,0,0,0,30,11,0,0,0,36,0,26,0,0,26,4
2019-07-01,0,0,0,0,60,0,0,31,8,0,2,23,13,0,0,11,32,0,24,0,5,35,9
2019-08-01,0,0,0,0,0,0,0,42,21,0,4,20,11,0,0,28,57,0,33,0,13,27,6
2019-09-01,0,0,0,0,58,0,0,31,11,0,2,15,13,0,0,15,35,0,27,0,7,37,8
2019-10-01,0,47,0,0,30,0,0,25,5,0,1,17,8,0,0,7,20,0,29,0,3,77,5
2019-11-01,0,36,0,0,0,0,0,22,4,0,1,13,10,0,0,6,25,0,25,0,3,59,8
2019-12-01,0,0,0,0,43,0,0,24,4,0,1,13,10,0,0,6,22,0,40,0,3,59,5
2020-01-01,0,0,0,0,55,0,0,37,5,0,1,15,10,0,0,6,34,0,24,0,3,61,7
2020-02-01,0,0,0,0,42,0,0,18,8,0,2,15,11,0,0,11,24,0,36,0,5,60,8
2020-03-01,0,0,0,0,0,0,0,27,2,0,0,18,12,0,0,2,18,0,25,0,1,71,10
2020-04-01,0,31,0,0,26,0,0,33,4,0,1,15,16,0,0,5,15,0,35,0,2,100,6
2020-05-01,0,0,0,0,50,0,0,36,6,0,1,14,20,0,0,8,21,0,23,0,4,65,8
2020-06-01,0,76,0,0,40,0,0,40,9,0,2,16,12,0,0,12,13,0,71,0,5,84,6
2020-07-01,0,0,0,0,40,0,0,35,7,0,1,15,14,0,0,10,17,0,41,0,4,85,11
2020-08-01,0,21,0,0,64,0,0,25,10,0,2,16,13,0,0,14,28,0,27,0,6,76,12
2020-09-01,0,46,0,0,42,0,0,28,4,0,1,13,14,0,0,5,11,0,43,0,2,67,11
2020-10-01,0,28,0,0,18,0,0,41,9,0,2,15,13,0,0,11,17,0,32,0,5,76,7
2020-11-01,0,0,0,0,52,0,0,31,4,0,1,14,16,0,0,5,26,0,35,0,2,73,11
2020-12-01,0,52,0,0,20,0,0,34,5,0,1,13,14,0,0,7,18,0,26,0,3,74,10
2021-01-01,0,15,0,0,51,0,0,24,3,0,0,13,17,0,0,3,17,0,32,0,2,75,8
2021-02-01,0,36,0,0,21,0,0,25,0,0,0,13,22,0,0,0,27,0,38,0,0,84,4
2021-03-01,0,30,0,0,21,0,0,100,5,0,1,13,31,0,0,7,33,0,26,0,3,86,9
2021-04-01,0,21,0,0,41,0,0,51,5,0,1,11,29,0,0,7,28,0,34,0,3,69,10
2021-05-01,0,30,0,0,60,0,0,39,4,0,1,14,22,0,0,5,40,0,39,0,2,70,5
2021-06-01,0,58,0,0,63,0,0,27,0,0,0,14,19,0,0,0,29,0,47,0,0,67,11
2021-07-01,0,60,0,0,60,0,0,37,6,0,1,12,20,0,0,8,53,0,28,0,4,46,12
2021-08-01,0,31,0,0,71,0,0,37,0,0,0,11,22,0,0,0,43,0,31,0,0,45,10
2021-09-01,0,22,0,0,77,0,0,38,2,0,0,10,19,0,0,3,44,0,29,0,1,47,13
2021-10-01,0,59,0,0,49,0,0,47,4,0,1,13,16,0,0,6,45,0,22,0,3,47,9
2021-11-01,0,0,0,0,46,0,0,35,5,0,1,12,16,0,0,7,31,0,41,0,3,56,10
2021-12-01,0,22,0,0,48,0,0,36,4,0,1,12,14,0,0,6,29,0,38,0,3,53,8
2022-01-01,0,53,0,0,48,0,0,36,0,0,0,8,18,0,0,0,25,0,37,0,0,46,9
2022-02-01,0,46,0,0,37,0,0,50,2,0,0,11,22,0,0,3,15,0,45,0,1,49,11
2022-03-01,0,14,0,0,99,0,0,54,6,0,1,11,19,0,0,8,33,0,47,0,4,43,8
2022-04-01,0,49,0,0,81,0,0,49,1,0,0,8,28,0,0,2,34,0,41,0,1,39,8
2022-05-01,0,22,0,0,72,0,0,39,5,0,1,11,23,0,0,6,56,0,34,0,3,40,6
2022-06-01,0,35,0,0,100,0,0,57,4,0,1,12,20,0,0,5,53,0,48,0,2,44,11
2022-07-01,0,14,0,0,56,0,0,54,10,0,2,11,22,0,0,13,60,0,34,0,6,35,11
2022-08-01,0,19,0,0,53,0,0,49,7,0,1,8,24,0,0,9,49,0,29,0,4,41,15
2022-09-01,0,30,0,0,75,0,0,42,0,0,0,7,21,0,0,0,47,0,30,0,0,52,10
2022-10-01,0,24,0,0,57,0,0,40,6,0,1,9,17,0,0,8,32,0,33,0,4,43,10
2022-11-01,0,12,0,0,46,0,0,31,0,0,0,8,16,0,0,0,73,0,38,0,0,31,6
2022-12-01,0,23,0,0,74,0,0,36,4,0,1,7,18,0,0,6,100,0,32,0,3,31,8
2023-01-01,0,24,0,0,69,0,0,38,0,0,0,9,17,0,0,0,84,0,28,0,0,32,7
2023-02-01,0,24,0,0,69,0,0,36,4,0,1,9,23,0,0,5,36,0,24,0,2,41,8
2023-03-01,0,9,0,0,57,0,0,35,4,0,1,7,21,0,0,6,36,0,40,0,3,34,10
2023-04-01,0,21,0,0,58,0,0,40,5,0,1,9,30,0,0,7,40,0,35,0,3,28,9
2023-05-01,0,36,0,0,12,0,0,45,6,0,1,10,24,0,0,8,48,0,39,0,4,37,12
