date,ISO,topic,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,"قطار سريع,قافلة",محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة
2018-01-01,IQ,MeansofTravel,0,0,0,0,46,0.0,22.0,9.0,0.0,49.5,36.0,0.0,0.0,11.25,0.0,12.75,0.0,67.5,10.5
2018-02-01,IQ,MeansofTravel,0,0,0,0,67,0.0,14.0,0.0,0.0,12.0,11.0,0.0,0.0,27.0,0.0,33.0,0.0,52.0,10.0
2018-03-01,IQ,MeansofTravel,0,0,0,0,45,0.0,23.0,6.0,0.0,66.0,60.0,0.0,0.0,20.57142857142857,0.0,30.857142857142854,0.0,79.5,12.0
2018-04-01,IQ,MeansofTravel,0,0,0,0,45,0.0,35.0,5.0,0.0,75.0,60.0,0.0,0.0,18.333333333333336,0.0,23.333333333333336,0.0,91.66666666666667,10.0
2018-05-01,IQ,MeansofTravel,0,0,0,0,66,0.0,57.0,5.0,0.0,50.0,75.0,0.0,0.0,22.857142857142858,0.0,9.285714285714286,0.0,93.33333333333334,15.0
2018-06-01,IQ,MeansofTravel,0,0,0,0,47,0.0,61.0,8.0,0.0,40.0,52.0,0.0,0.0,26.400000000000002,0.0,13.600000000000001,0.0,57.6,8.0
2018-07-01,IQ,MeansofTravel,0,0,0,0,0,0.0,40.0,9.0,0.0,45.0,40.5,0.0,0.0,27.81818181818182,0.0,13.090909090909092,0.0,64.5,10.5
2018-08-01,IQ,MeansofTravel,0,0,0,0,75,0.0,32.0,10.0,0.0,65.0,55.0,0.0,0.0,31.666666666666668,0.0,15.0,0.0,73.33333333333334,16.666666666666668
2018-09-01,IQ,MeansofTravel,0,0,0,0,100,0.0,33.0,10.0,0.0,60.0,50.0,0.0,0.0,21.666666666666668,0.0,14.166666666666668,0.0,85.0,11.666666666666668
2018-10-01,IQ,MeansofTravel,0,19,0,0,25,0.0,49.0,12.0,0.0,44.0,44.0,0.0,0.0,23.25,0.0,23.25,0.0,94.5,9.0
2018-11-01,IQ,MeansofTravel,0,41,0,0,0,0.0,67.0,5.0,0.0,55.0,45.0,0.0,0.0,15.833333333333334,0.0,20.833333333333336,0.0,85.0,6.666666666666667
2018-12-01,IQ,MeansofTravel,0,0,0,0,41,0.0,49.0,5.0,0.0,50.0,60.0,0.0,0.0,17.142857142857142,0.0,15.714285714285715,0.0,108.33333333333334,10.0
2019-01-01,IQ,MeansofTravel,0,0,0,0,44,0.0,36.0,5.0,0.0,55.0,50.0,0.0,0.0,17.5,0.0,18.333333333333336,0.0,103.33333333333334,15.0
2019-02-01,IQ,MeansofTravel,0,0,0,0,50,0.0,56.0,4.0,0.0,40.0,40.0,0.0,0.0,20.8,0.0,18.400000000000002,0.0,72.0,12.0
2019-03-01,IQ,MeansofTravel,0,0,0,0,42,0.0,36.0,4.0,0.0,36.0,40.0,0.0,0.0,20.0,0.0,14.4,0.0,72.0,10.666666666666666
2019-04-01,IQ,MeansofTravel,0,20,0,0,52,0.0,43.0,0.0,0.0,11.0,11.0,0.0,0.0,30.0,0.0,26.0,0.0,58.0,5.0
2019-05-01,IQ,MeansofTravel,0,0,0,0,69,0.0,31.0,6.0,0.0,600.0,90.0,0.0,0.0,25.71428571428571,0.0,20.57142857142857,0.0,96.0,7.5
2019-06-01,IQ,MeansofTravel,0,16,0,0,42,0.0,38.0,3.0,0.0,93.0,33.0,0.0,0.0,34.0,0.0,28.0,0.0,42.0,3.0
2019-07-01,IQ,MeansofTravel,0,27,0,0,50,0.0,28.0,8.0,0.0,92.0,52.0,0.0,0.0,28.0,0.0,10.4,0.0,54.400000000000006,16.0
2019-08-01,IQ,MeansofTravel,0,41,0,0,26,0.0,37.0,5.0,0.0,95.0,60.0,0.0,0.0,29.285714285714285,0.0,21.42857142857143,0.0,48.333333333333336,10.0
2019-09-01,IQ,MeansofTravel,0,0,0,0,17,0.0,27.0,10.0,0.0,75.0,70.0,0.0,0.0,27.5,0.0,18.333333333333336,0.0,61.66666666666667,10.0
2019-10-01,IQ,MeansofTravel,0,0,0,0,0,0.0,20.0,0.0,0.0,15.0,9.0,0.0,0.0,31.0,0.0,27.0,0.0,77.0,6.0
2019-11-01,IQ,MeansofTravel,0,0,0,0,36,0.0,20.0,5.0,0.0,80.0,50.0,0.0,0.0,13.333333333333334,0.0,21.666666666666668,0.0,100.0,10.0
2019-12-01,IQ,MeansofTravel,0,0,0,0,27,0.0,26.0,8.0,0.0,52.0,40.0,0.0,0.0,12.8,0.0,27.200000000000003,0.0,94.4,12.8
2020-01-01,IQ,MeansofTravel,0,0,0,0,53,0.0,22.0,4.0,0.0,64.0,40.0,0.0,0.0,25.6,0.0,24.8,0.0,84.0,8.0
2020-02-01,IQ,MeansofTravel,0,0,0,0,45,0.0,22.0,0.0,0.0,16.0,11.0,0.0,0.0,15.0,0.0,24.0,0.0,63.0,9.0
2020-03-01,IQ,MeansofTravel,0,0,0,0,19,0.0,22.0,2.0,0.0,36.0,24.0,0.0,0.0,17.0,0.0,17.0,0.0,140.0,20.0
2020-04-01,IQ,MeansofTravel,0,37,0,0,37,0.0,31.0,8.0,0.0,60.0,68.0,0.0,0.0,9.600000000000001,0.0,23.200000000000003,0.0,160.0,12.8
2020-05-01,IQ,MeansofTravel,0,0,0,0,30,0.0,31.0,7.0,0.0,91.0,140.0,0.0,0.0,14.875,0.0,18.375,0.0,117.25,12.25
2020-06-01,IQ,MeansofTravel,0,53,0,0,21,0.0,39.0,5.0,0.0,80.0,60.0,0.0,0.0,6.666666666666667,0.0,52.5,0.0,141.66666666666669,8.333333333333334
2020-07-01,IQ,MeansofTravel,0,0,0,0,26,0.0,34.0,7.0,0.0,98.0,112.0,0.0,0.0,11.666666666666666,0.0,32.666666666666664,0.0,112.0,16.799999999999997
2020-08-01,IQ,MeansofTravel,0,16,0,0,49,0.0,22.0,5.0,0.0,80.0,65.0,0.0,0.0,16.666666666666668,0.0,21.666666666666668,0.0,121.66666666666667,25.0
2020-09-01,IQ,MeansofTravel,0,33,0,0,50,0.0,25.0,4.0,0.0,48.0,56.0,0.0,0.0,11.200000000000001,0.0,25.6,0.0,138.0,20.0
2020-10-01,IQ,MeansofTravel,0,12,0,0,64,0.0,38.0,2.0,0.0,32.0,26.0,0.0,0.0,16.0,0.0,35.0,0.0,160.0,20.0
2020-11-01,IQ,MeansofTravel,0,0,0,0,45,0.0,29.0,3.0,0.0,42.0,51.0,0.0,0.0,23.0,0.0,31.0,0.0,114.0,16.5
2020-12-01,IQ,MeansofTravel,0,31,0,0,51,0.0,31.0,7.0,0.0,91.0,112.0,0.0,0.0,9.333333333333334,0.0,16.333333333333332,0.0,103.6,16.799999999999997
2021-01-01,IQ,MeansofTravel,0,18,0,0,47,0.0,25.0,2.0,0.0,28.0,34.0,0.0,0.0,11.333333333333332,0.0,13.333333333333332,0.0,150.0,20.0
2021-02-01,IQ,MeansofTravel,0,17,0,0,42,0.0,25.0,2.0,0.0,24.0,42.0,0.0,0.0,24.0,0.0,34.0,0.0,174.0,12.0
2021-03-01,IQ,MeansofTravel,0,26,0,0,12,0.0,100.0,0.0,0.0,12.0,31.0,0.0,0.0,24.0,0.0,29.0,0.0,86.0,9.0
2021-04-01,IQ,MeansofTravel,0,35,0,0,43,0.0,48.0,0.0,0.0,11.0,29.0,0.0,0.0,30.0,0.0,31.0,0.0,69.0,9.0
2021-05-01,IQ,MeansofTravel,0,30,0,0,42,0.0,36.0,5.0,0.0,75.0,110.0,0.0,0.0,27.5,0.0,31.666666666666668,0.0,116.66666666666667,11.666666666666668
2021-06-01,IQ,MeansofTravel,0,12,0,0,35,0.0,33.0,3.0,0.0,42.0,57.0,0.0,0.0,23.25,0.0,28.5,0.0,102.0,13.5
2021-07-01,IQ,MeansofTravel,0,0,0,0,0,0.0,35.0,2.0,0.0,26.0,44.0,0.0,0.0,32.0,0.0,17.333333333333332,0.0,102.0,20.0
2021-08-01,IQ,MeansofTravel,0,22,0,0,53,0.0,33.0,13.0,0.0,43.33333333333333,99.66666666666666,0.0,0.0,34.125,0.0,24.375,0.0,71.5,17.875
2021-09-01,IQ,MeansofTravel,0,18,0,0,45,0.0,42.0,3.0,0.0,33.0,57.0,0.0,0.0,33.0,0.0,21.75,0.0,61.5,21.0
2021-10-01,IQ,MeansofTravel,0,11,0,0,63,0.0,44.0,3.0,0.0,39.0,51.0,0.0,0.0,29.25,0.0,18.0,0.0,75.0,13.5
2021-11-01,IQ,MeansofTravel,0,28,0,0,23,0.0,37.0,9.0,0.0,58.5,72.0,0.0,0.0,25.363636363636367,0.0,31.090909090909093,0.0,81.0,15.0
2021-12-01,IQ,MeansofTravel,0,23,0,0,28,0.0,32.0,4.0,0.0,44.0,52.0,0.0,0.0,20.8,0.0,25.6,0.0,64.0,14.666666666666666
2022-01-01,IQ,MeansofTravel,0,42,0,0,31,0.0,37.0,1.0,0.0,8.0,19.0,0.0,0.0,10.5,0.0,19.0,0.0,44.0,8.0
2022-02-01,IQ,MeansofTravel,0,46,0,0,23,0.0,46.0,3.0,0.0,33.0,66.0,0.0,0.0,18.75,0.0,30.0,0.0,79.5,15.0
2022-03-01,IQ,MeansofTravel,0,10,0,0,78,0.0,56.0,5.0,0.0,60.0,95.0,0.0,0.0,21.666666666666668,0.0,31.666666666666668,0.0,71.66666666666667,16.666666666666668
2022-04-01,IQ,MeansofTravel,0,32,0,0,74,0.0,45.0,5.0,0.0,40.0,140.0,0.0,0.0,25.833333333333336,0.0,31.666666666666668,0.0,61.66666666666667,13.333333333333334
2022-05-01,IQ,MeansofTravel,0,23,0,0,64,0.0,36.0,4.0,0.0,44.0,92.0,0.0,0.0,39.2,0.0,24.8,0.0,82.0,10.0
2022-06-01,IQ,MeansofTravel,0,30,0,0,68,0.0,56.0,0.0,0.0,12.0,20.0,0.0,0.0,51.0,0.0,37.0,0.0,47.0,11.0
2022-07-01,IQ,MeansofTravel,0,0,0,0,65,0.0,55.0,7.0,0.0,70.0,161.0,0.0,0.0,45.5,0.0,27.125,0.0,64.75,22.75
2022-08-01,IQ,MeansofTravel,0,16,0,0,52,0.0,46.0,9.0,0.0,36.0,108.0,0.0,0.0,36.0,0.0,25.363636363636367,0.0,66.0,22.5
2022-09-01,IQ,MeansofTravel,0,11,0,0,47,0.0,40.0,5.0,0.0,35.0,105.0,0.0,0.0,35.0,0.0,23.333333333333336,0.0,88.33333333333334,16.666666666666668
2022-10-01,IQ,MeansofTravel,0,13,0,0,59,0.0,36.0,5.0,0.0,45.0,90.0,0.0,0.0,25.833333333333336,0.0,26.666666666666668,0.0,71.66666666666667,18.333333333333336
2022-11-01,IQ,MeansofTravel,0,13,0,0,36,0.0,30.0,2.0,0.0,16.0,30.0,0.0,0.0,47.33333333333333,0.0,23.333333333333332,0.0,68.0,16.0
2022-12-01,IQ,MeansofTravel,0,0,0,0,64,0.0,33.0,4.0,0.0,32.0,72.0,0.0,0.0,80.0,0.0,24.8,0.0,64.0,18.0
2023-01-01,IQ,MeansofTravel,0,24,0,0,43,0.0,35.0,4.0,0.0,36.0,72.0,0.0,0.0,60.800000000000004,0.0,20.8,0.0,42.666666666666664,9.333333333333332
2023-02-01,IQ,MeansofTravel,0,11,0,0,59,0.0,33.0,4.0,0.0,36.0,92.0,0.0,0.0,24.8,0.0,20.0,0.0,53.33333333333333,10.666666666666666
2023-03-01,IQ,MeansofTravel,0,17,0,0,59,0.0,36.0,5.0,0.0,35.0,110.0,0.0,0.0,30.0,0.0,30.0,0.0,55.0,20.0
2023-04-01,IQ,MeansofTravel,0,42,0,0,45,0.0,37.0,6.0,0.0,54.0,186.0,0.0,0.0,24.75,0.0,23.25,0.0,42.0,15.0
2023-05-01,IQ,MeansofTravel,0,21,0,0,23,0.0,44.0,2.0,0.0,20.0,48.0,0.0,0.0,28.0,0.0,23.333333333333332,0.0,38.0,11.0
