date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,قطار سريع,قافلة,محطة,حافلة,حافلة2,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حافلة3,حركة السير,تذكرة,فندق صغير,القيادة,حافلة4,أجرة الطيران,الطرق,شاحنة,عمل,الطرق5,شغل,رخصة الشغل,رخصة العمل,عملة,شغل6,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,الصليب الاحمر7,إسعاف,مساعدة إجتماعية,ملجأ,قدم طلبا,الصليب الاحمر8,تقديم طلب,دفع,جواز السفر,وثائق,وثائق9,قنصلية,سفارة,حماية,أين الراحة,وثائق10,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرةالسكن,اين الملجأ11,منازل في العراق,مكان للإقامة,مكان السكن,الطريق إلى,اين الملجأ12,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,اجتياز13,أقرب معبر حدودي,معبر حدودي آمن,الانتقال إلى العراق,الهروب من العراق,أقرب معبر حدودي14,يف الهروب من العراق,مكان آمن,لاجئ,حق اللجوء السياسي,أقرب معبر حدودي15,اسعاف,مغادرة العراق,الطريق الآمن,طريق آمن,أقرب معبر حدودي16,ممر آمن,مخرج,ساعدني في الخروج,كيف تغادر غدا
2018-01-01,0,0,0,0,46,0,0,5,22,9,2,0,11,8,0,12,0,15,0,17,0,0,3,0,77,44,35,0,0,31,79,30,7,0,0,11,0,0,11,0,4,5,43,15,6,8,8,21,78,0,29,0,0,0,0,0,0,0,0,0,0,0,28,1,0,44,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,38,0,0
2018-02-01,0,0,0,0,67,0,0,5,14,0,0,0,12,11,0,0,0,27,0,33,0,0,3,1,81,51,31,0,0,53,70,22,0,6,3,0,0,0,23,0,0,3,36,17,10,13,11,25,67,0,45,0,0,0,0,0,80,0,0,95,0,0,32,3,0,87,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,21,0,0
2018-03-01,0,0,0,0,45,0,0,0,23,6,1,0,11,10,0,7,0,24,0,36,0,0,3,0,71,52,25,0,0,41,56,41,8,0,0,13,0,0,14,0,5,7,33,11,12,15,11,25,96,0,53,0,0,0,0,0,51,0,0,0,0,0,40,1,0,35,0,0,0,0,0,0,0,31,0,0,53,0,0,0,0,0,30,0,0
2018-04-01,0,0,0,0,45,0,0,0,35,5,1,0,15,12,0,6,0,22,0,28,0,0,3,0,70,54,23,0,0,45,52,35,6,0,0,9,0,0,30,0,4,10,41,11,7,9,7,32,68,0,33,0,0,0,0,0,36,0,0,0,0,0,56,1,0,27,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,30,0,0
2018-05-01,0,0,0,0,66,0,0,4,57,5,1,0,10,15,0,6,0,32,0,13,0,0,4,1,93,55,29,0,0,49,64,24,9,6,0,15,0,0,78,0,6,6,41,15,0,0,14,34,64,0,0,0,0,0,0,0,56,0,0,94,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,39,0,0
2018-06-01,0,29,0,0,47,0,0,2,61,8,2,0,10,13,0,10,0,33,0,17,0,0,2,0,76,36,24,0,0,50,53,45,8,0,0,14,0,0,68,0,5,8,57,16,3,4,16,24,62,0,13,0,0,0,0,0,0,0,0,0,0,0,28,1,0,45,0,0,0,0,0,0,0,35,0,0,54,0,0,0,0,0,23,0,0
2018-07-01,0,0,0,0,0,0,0,0,40,9,2,0,10,9,0,11,0,37,0,16,0,0,3,0,68,43,31,0,0,55,70,34,0,0,0,0,0,0,83,0,0,4,39,28,0,0,19,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,34,0,0
2018-08-01,0,0,0,0,75,0,0,12,32,10,2,0,13,11,0,12,0,38,0,18,0,0,3,0,62,43,23,0,0,61,52,25,3,0,3,4,8,0,73,0,2,0,38,12,11,14,11,31,50,0,49,0,0,0,0,0,0,0,0,28,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,31,0,0
2018-09-01,0,0,0,0,100,0,0,3,33,10,2,0,12,10,0,12,0,24,0,24,0,0,3,0,62,51,35,0,0,44,78,33,14,0,4,23,0,0,51,0,9,5,40,20,5,7,8,23,51,0,24,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,31,0,0
2018-10-01,0,19,0,0,25,0,0,7,44,12,3,0,11,11,0,16,0,28,0,31,1,0,4,0,60,63,32,0,0,52,71,31,0,4,0,0,0,0,33,0,0,0,32,16,8,11,12,24,61,0,38,0,0,0,0,0,86,0,0,0,0,0,66,1,0,45,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,22,0,0
