Learning Rate,Epochs,Momentum,Batch Size,Prevalence,Precision,Accuracy,F1 Score
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.001,5,0.9,10,1.0,0.4661260670667714,0.5426251691474966,0.47919531755162587
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.01,5,0.9,10,1.0,0.21542661791068277,0.46414073071718537,0.29427037086135777
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.08,5,0.9,10,1.0,0.4985331382407193,0.4654939106901218,0.29723606388850193
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
0.12,5,0.9,10,1.0,0.49882583637355116,0.4668470906630582,0.3001767304825107
