,anger,fear,joy,sadness,others
2023-05-19,69060,615,43243,14345,78806
2023-05-17,72884,537,44765,13784,82771
2023-06-06,25353,203,15204,4602,27989
2023-06-01,116489,1155,73507,21241,124750
2023-06-09,63851,518,39786,11989,73457
2023-06-07,20904,237,13568,4068,25067
2023-06-14,17528,196,11878,3542,20319
2023-06-11,42049,435,28636,8724,48613
2023-06-15,84752,653,49162,14828,97951
2023-06-17,37492,316,25745,7156,43539
2023-06-08,62835,577,40816,12334,74128
2023-05-25,95028,884,60703,18581,103767
2023-06-10,36261,504,26940,8774,47323
2023-05-26,64239,495,40515,11464,68830
2023-05-30,34854,265,21254,6577,39420
2023-06-13,52231,612,33297,11232,61993
2023-06-12,60737,624,40717,12497,69411
2023-06-16,106180,811,64000,20181,112365
2023-06-03,53767,411,34615,9800,61157
2023-05-23,50310,332,31380,9936,55826
2023-05-28,30358,208,19974,5753,35051
2023-06-02,104490,905,62861,17596,109433
2023-05-18,104795,840,70629,19605,115936
2023-05-20,67834,683,45272,13867,80722
2023-06-05,35573,396,26773,7936,41572
