,anger,fear,joy,sadness,others
2023-05-19,633,5,427,150,785
2023-05-17,689,4,415,127,765
2023-06-06,688,8,388,124,792
2023-06-01,700,6,454,119,721
2023-06-09,688,3,420,140,749
2023-06-07,646,12,387,140,815
2023-06-14,636,8,462,137,757
2023-06-11,668,10,463,131,728
2023-06-15,712,6,390,111,781
2023-06-17,653,6,421,120,800
2023-06-08,623,10,468,136,763
2023-05-25,702,9,454,129,706
2023-06-10,574,8,456,149,813
2023-05-26,682,4,424,120,770
2023-05-30,728,6,397,116,753
2023-06-13,643,7,457,142,751
2023-06-12,656,8,445,146,745
2023-06-16,714,7,410,152,717
2023-06-03,683,5,429,116,767
2023-05-23,684,2,429,132,753
2023-05-28,704,2,434,107,753
2023-06-02,728,9,416,126,721
2023-05-18,661,5,443,140,751
2023-05-20,658,6,419,116,801
2023-06-05,633,6,467,140,754
