,anger,fear,joy,sadness,others
2023-05-19,3404,32,2035,698,3831
2023-05-17,3423,16,2096,654,3811
2023-06-06,3479,29,2007,613,3872
2023-06-01,3493,32,2202,607,3666
2023-06-09,3418,22,2083,643,3834
2023-06-07,3287,37,2114,674,3888
2023-06-14,3256,41,2250,684,3769
2023-06-11,3233,30,2239,674,3824
2023-06-15,3468,41,1969,621,3901
2023-06-17,3314,27,2185,611,3863
2023-06-08,3275,37,2231,633,3824
2023-05-25,3348,35,2203,717,3697
2023-06-10,2992,41,2303,704,3960
2023-05-26,3482,29,2165,590,3734
2023-05-30,3495,19,2059,661,3766
2023-06-13,3216,49,2123,676,3936
2023-06-12,3381,38,2209,670,3702
2023-06-16,3544,20,2129,707,3600
2023-06-03,3404,21,2130,630,3815
2023-05-23,3492,27,2151,629,3701
2023-05-28,3320,30,2236,576,3838
2023-06-02,3665,36,2097,568,3634
2023-05-18,3422,30,2259,610,3679
2023-05-20,3186,25,2207,619,3963
2023-06-05,3205,31,2411,701,3652
