emotion,learning_rate,epochs,momentum,batch_size,accuracy,f1
anger,0.01,10,0.9,15,0.464,0.294
fear,0.01,10,0.9,15,0.464,0.294
sadness,0.01,10,0.9,15,0.464,0.294
joy,0.01,10,0.9,15,0.464,0.294
anger,0.001,10,0.9,15,0.319,0.221
fear,0.001,10,0.9,15,0.34,0.294
sadness,0.001,10,0.9,15,0.265,0.182
joy,0.001,10,0.9,15,0.23,0.089
anger,0.015,10,0.9,15,0.464,0.294
fear,0.015,10,0.9,15,0.464,0.294
sadness,0.015,10,0.9,15,0.464,0.294
joy,0.015,10,0.9,15,0.464,0.294
anger,0.02,10,0.9,15,0.464,0.294
fear,0.02,10,0.9,15,0.464,0.294
sadness,0.02,10,0.9,15,0.464,0.294
joy,0.02,10,0.9,15,0.464,0.294
anger,0.01,5,0.9,15,0.464,0.295
fear,0.01,5,0.9,15,0.464,0.294
sadness,0.01,5,0.9,15,0.23,0.086
joy,0.01,5,0.9,15,0.464,0.294
anger,0.001,15,0.9,15,0.207,0.139
fear,0.001,15,0.9,15,0.037,0.029
sadness,0.001,15,0.9,15,0.28,0.213
joy,0.001,15,0.9,15,0.134,0.135
anger,0.015,20,0.9,15,0.464,0.294
fear,0.015,20,0.9,15,0.464,0.294
sadness,0.015,20,0.9,15,0.464,0.294
joy,0.015,20,0.9,15,0.464,0.294
anger,0.3,5,0.9,5,0.464,0.294
fear,0.3,5,0.9,5,0.464,0.294
sadness,0.3,5,0.9,5,0.464,0.294
joy,0.3,5,0.9,5,0.464,0.294
anger,0.3,5,0.9,10,0.464,0.294
fear,0.3,5,0.9,10,0.464,0.294
sadness,0.3,5,0.9,10,0.464,0.294
joy,0.3,5,0.9,10,0.464,0.294
anger,0.3,10,0.9,15,0.464,0.294
fear,0.3,10,0.9,15,0.464,0.294
sadness,0.3,10,0.9,15,0.464,0.294
joy,0.3,10,0.9,15,0.464,0.294
anger,0.3,20,0.9,10,0.464,0.294
fear,0.3,20,0.9,10,0.464,0.294
sadness,0.3,20,0.9,10,0.464,0.294
joy,0.3,20,0.9,10,0.464,0.294
,Optimal learning rate: 0.01,Optimal Epochs: 10,Optimal Momentum: 0.9,Optimal Batch Size: 15,,
