Year,Month,Demonstrations #,Political Violence #,Strategic Developments #
2018,January,178,88,0
2018,February,158,186,3
2018,March,184,79,3
2018,April,181,94,1
2018,May,157,87,0
2018,June,188,60,0
2018,July,246,74,1
2018,August,197,84,4
2018,September,153,74,2
2018,October,184,90,2
2018,November,147,122,8
2018,December,168,71,2
2019,January,333,125,11
2019,February,291,90,24
2019,March,292,105,20
2019,April,252,138,7
2019,May,243,159,10
2019,June,153,151,10
2019,July,179,141,1
2019,August,190,192,18
2019,September,200,146,16
2019,October,293,171,5
2019,November,277,142,5
2019,December,100,123,14
2020,January,161,179,7
2020,February,171,148,2
2020,March,183,127,7
2020,April,152,170,23
2020,May,223,209,18
2020,June,170,136,10
2020,July,142,95,6
2020,August,171,122,3
2020,September,258,61,2
2020,October,542,48,6
2020,November,304,80,2
2020,December,157,101,6
2021,January,132,153,6
2021,February,175,72,2
2021,March,159,95,7
2021,April,129,90,4
2021,May,268,114,3
2021,June,217,118,6
2021,July,205,123,5
2021,August,170,91,3
2021,September,121,97,2
2021,October,115,58,1
2021,November,170,52,6
2021,December,103,76,0
2022,January,124,110,9
2022,February,158,77,10
2022,March,273,75,5
2022,April,183,48,20
2022,May,205,53,6
2022,June,191,34,4
2022,July,148,49,12
2022,August,259,39,11
2022,September,199,66,7
2022,October,167,47,5
2022,November,215,40,9
2022,December,132,47,5
