Year,Month,Fatalities
2018,January,128
2018,February,283
2018,March,183
2018,April,110
2018,May,149
2018,June,104
2018,July,103
2018,August,142
2018,September,127
2018,October,177
2018,November,207
2018,December,74
2019,January,172
2019,February,157
2019,March,166
2019,April,216
2019,May,245
2019,June,176
2019,July,234
2019,August,264
2019,September,196
2019,October,227
2019,November,188
2019,December,182
2020,January,263
2020,February,198
2020,March,191
2020,April,202
2020,May,318
2020,June,173
2020,July,120
2020,August,171
2020,September,91
2020,October,59
2020,November,89
2020,December,89
2021,January,209
2021,February,90
2021,March,107
2021,April,110
2021,May,132
2021,June,133
2021,July,170
2021,August,105
2021,September,102
2021,October,84
2021,November,70
2021,December,82
2022,January,137
2022,February,114
2022,March,88
2022,April,58
2022,May,58
2022,June,32
2022,July,57
2022,August,47
2022,September,98
2022,October,49
2022,November,43
2022,December,47
