Year,Month,Attack,Other,Armed clash,Peaceful protest,Abduction/forced disappearance,Looting/property destruction,Mob violence,Sexual violence,Disrupted weapons use,Violent demonstration,Agreement,Grenade,Protest with intervention,Arrests,Shelling/artillery/missile attack,Remote explosive/landmine/IED,Change to group/activity,Non-violent transfer of territory,Suicide bomb,Excessive force against protesters,Headquarters or base established,Air/drone strike,Non-state actor overtakes territory
2018,January,47,0,25,127,1,0,10,0,0,34,0,0,12,0,0,0,0,0,0,5,0,0,0
2018,February,89,0,74,131,3,1,16,0,1,5,0,2,20,1,0,0,0,0,0,2,0,0,0
2018,March,39,0,30,155,3,0,2,0,1,15,0,0,9,2,0,0,0,0,0,5,0,0,0
2018,April,43,0,39,152,3,1,3,0,0,10,0,3,17,0,0,1,0,0,0,2,0,0,0
2018,May,43,0,32,115,2,0,8,0,0,15,0,0,26,0,0,0,0,0,0,1,0,0,1
2018,June,46,0,10,176,0,0,3,0,0,3,0,0,9,0,0,1,0,0,0,0,0,0,0
2018,July,38,0,28,227,2,0,2,1,0,9,0,0,7,1,0,0,0,0,0,3,0,0,0
2018,August,46,0,34,165,0,0,0,0,0,13,0,0,17,3,0,1,1,0,0,2,0,1,0
2018,September,38,0,29,134,0,0,1,1,0,7,0,2,9,0,0,0,2,0,0,3,0,0,0
2018,October,45,0,40,159,0,0,4,0,0,12,0,1,13,2,0,0,0,0,0,0,0,0,0
2018,November,64,1,50,132,4,4,3,0,0,2,0,0,12,2,0,0,1,0,0,1,0,0,0
2018,December,34,0,24,149,5,0,4,0,0,5,0,2,12,2,0,0,0,0,0,2,0,0,0
2019,January,56,3,32,260,2,3,13,0,1,30,0,1,22,3,0,0,1,0,0,21,0,0,0
2019,February,53,14,26,250,3,5,4,0,0,19,0,0,18,1,0,0,4,0,0,4,0,0,0
2019,March,48,2,30,215,2,4,16,0,0,43,0,1,26,8,0,0,6,0,0,8,0,0,0
2019,April,67,3,43,193,2,3,11,1,0,23,0,0,22,1,0,0,0,0,0,14,0,0,0
2019,May,68,0,74,200,1,4,5,0,2,12,0,1,21,2,0,0,2,0,0,10,0,0,0
2019,June,66,2,66,134,6,2,9,0,0,14,0,2,3,4,0,0,2,0,0,2,0,0,0
2019,July,46,0,89,164,2,0,2,0,0,9,0,0,5,0,0,1,1,0,0,1,0,0,0
2019,August,63,5,117,186,3,2,7,0,1,3,0,1,1,1,1,0,8,0,0,0,1,0,0
2019,September,62,3,70,188,9,5,5,0,1,7,0,0,5,2,0,0,5,0,0,0,0,0,0
2019,October,82,0,73,279,11,3,3,0,0,8,0,2,6,1,0,0,1,0,0,0,0,0,0
2019,November,54,0,70,263,5,2,4,0,0,3,0,8,10,0,0,0,3,0,0,1,0,0,0
2019,December,57,5,54,93,2,4,6,0,0,2,0,3,4,1,0,0,4,0,0,1,0,0,0
2020,January,80,3,84,150,8,3,5,0,0,7,0,1,4,0,0,1,1,0,0,0,0,0,0
2020,February,62,0,70,160,2,1,5,2,1,6,0,5,4,0,0,1,0,0,0,1,0,0,0
2020,March,48,4,69,169,3,0,2,2,0,4,0,2,9,2,0,0,1,0,0,1,0,0,0
2020,April,51,15,105,127,1,3,12,0,1,11,0,0,13,2,0,0,2,0,0,1,0,0,0
2020,May,75,6,112,185,6,3,8,0,0,20,0,5,15,5,0,0,4,0,0,3,0,0,0
2020,June,58,3,68,150,2,2,4,1,0,7,0,2,13,4,0,1,1,0,0,0,0,0,0
2020,July,24,0,61,128,0,1,5,0,0,4,0,2,7,1,0,0,4,0,0,3,0,0,0
2020,August,23,2,87,147,1,1,8,0,0,10,0,1,12,0,0,0,0,0,0,2,0,0,0
2020,September,16,0,35,204,0,2,4,0,0,25,0,3,27,0,0,1,0,0,0,2,0,0,0
2020,October,15,1,28,507,0,1,3,0,0,21,0,1,14,4,0,1,0,0,0,0,0,0,0
2020,November,18,1,44,295,3,1,8,0,0,5,0,5,3,0,1,0,0,0,0,1,0,0,0
2020,December,38,0,41,152,0,1,5,1,5,3,0,15,2,0,0,0,0,0,1,0,0,0,0
2021,January,28,0,109,128,9,6,2,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
2021,February,18,0,42,171,3,2,5,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
2021,March,30,1,50,155,8,4,2,2,1,2,0,1,2,0,0,2,1,0,0,0,0,0,0
2021,April,17,0,68,125,5,1,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0
2021,May,28,0,79,265,5,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2021,June,32,0,77,216,8,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,July,51,0,61,199,4,2,6,0,0,2,0,0,4,3,0,1,0,0,0,0,0,0,0
2021,August,29,0,50,168,2,3,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,September,37,0,53,117,6,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2021,October,27,0,27,114,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
