Año,Mes,Total
2018,Enero,126977
2018,Febrero,128674
2018,Marzo,118460
2018,Abril,123149
2018,Mayo,114407
2018,Junio,94443
2018,Julio,119821
2018,Agosto,128494
2018,Septiembre,98646
2018,Octubre,108654
2018,Noviembre,91433
2018,Diciembre,106657
2019,Enero,91727
2019,Febrero,73394
2019,Marzo,75237
2019,Abril,100638
2019,Mayo,107319
2019,Junio,104969
2019,Julio,99549
2019,Agosto,130925
2019,Septiembre,76706
2019,Octubre,68866
2019,Noviembre,74416
2019,Diciembre,91960
2020,Enero,76323
2020,Febrero,61652
2020,Marzo,29270
2020,Abril,24
2020,Mayo,58
2020,Junio,101
2020,Julio,82
2020,Agosto,357
2020,Septiembre,856
2020,Octubre,3897
2020,Noviembre,6368
2020,Diciembre,10895
2021,Enero,7684
2021,Febrero,6179
2021,Marzo,6871
2021,Abril,5898
2021,Mayo,6367
2021,Junio,15616
2021,Julio,20218
2021,Agosto,24642
2021,Septiembre,29351
2021,Octubre,33299
2021,Noviembre,45520
2021,Diciembre,58983
2022,Enero,48968
2022,Febrero,31271
2022,Marzo,32744
2022,Abril,30834
2022,Mayo,30965
2022,Junio,30662
2022,Julio,35097
2022,Agosto,40266
2022,Septiembre,40096
2022,Octubre,40475
2022,Noviembre,41362
2022,Diciembre,51102
