,anger,fear,joy,sadness,others
2022-08-13,263,1,255,106,642
2022-09-09,2104,18,2829,929,5254
2022-09-04,878,7,511,202,1920
2022-12-06,2691,17,2965,773,6314
2022-09-19,2290,16,3285,1018,5860
2022-07-22,2427,58,2660,567,5204
2022-07-12,950,5,653,175,1768
2022-12-26,1523,8,1952,405,3890
2022-10-05,2656,14,2621,622,7645
2022-09-24,3122,10,2562,827,7019
2022-07-02,1978,10,2238,473,3946
2022-11-02,2256,11,2466,529,5338
2022-10-18,1943,30,2086,837,4614
2022-08-23,3535,13,2515,606,7356
2022-10-15,51,0,78,17,187
2022-07-01,1135,8,1011,315,2993
2022-10-16,3442,99,4102,699,5834
2022-11-01,2830,19,2687,509,6142
2022-08-20,2815,5,2376,480,6105
2022-12-28,2128,11,2341,436,4768
2022-07-11,3651,38,2583,571,6185
2022-12-25,832,3,2053,187,2460
2022-08-30,2613,31,2563,470,5612
2022-10-06,2813,9,2305,918,6085
2022-09-27,3337,19,3291,765,6955
2022-11-21,2761,10,2695,861,5893
2022-09-17,2078,32,3196,832,5538
2022-12-18,1560,6,2113,410,3955
2022-12-15,2072,9,2426,408,4520
2022-07-21,1923,15,2506,493,4994
2022-09-07,2032,14,2525,591,5187
2022-08-10,2461,8,2928,555,5936
2022-12-08,2068,6,3592,651,5933
2022-07-27,1888,22,2863,847,5249
2022-12-13,2116,8,2624,676,6267
2022-08-06,2027,22,3478,714,5011
2022-10-30,3198,11,2988,806,6015
2022-09-11,2020,16,2280,646,5918
2022-12-03,2151,11,2520,751,4269
2022-10-20,3572,48,3667,1232,7929
2022-08-16,2177,9,2653,480,5541
2022-08-26,3505,33,2319,528,5926
2022-11-07,2976,9,3205,681,6477
2022-07-07,2279,13,2602,488,5269
2022-11-17,1375,7,1519,402,2738
2022-09-21,2383,13,2891,904,5753
2022-12-23,1756,17,2426,740,4938
2022-07-17,1871,3,2516,476,4104
2022-11-19,2073,20,2703,871,6517
2022-09-22,3907,24,3042,992,5839
2022-11-14,3475,29,3073,683,6346
2022-12-20,1569,9,2485,496,4861
2022-07-14,1633,13,2210,651,4062
2022-07-19,652,4,535,224,1156
2022-10-13,1459,3,1452,500,2765
2022-11-09,4340,39,3694,1144,7559
2022-07-09,1775,11,1605,386,4119
2022-07-04,1572,14,2470,684,4191
2022-12-30,2152,6,2107,438,4833
2022-09-02,2792,24,2834,578,6328
2022-08-18,1192,2,1776,441,3380
2022-07-24,2001,10,3398,420,4957
2022-12-10,1650,9,2173,420,3997
2022-08-08,1153,9,1866,266,3106
2022-09-12,2631,15,2557,1131,5641
2022-11-29,2069,10,2531,643,6144
2022-11-24,2160,10,2500,473,4952
2022-11-05,2443,15,2643,978,5880
2022-08-24,3325,15,2614,502,5619
2022-11-08,3025,18,3202,625,5833
2022-08-29,2915,29,3597,608,6648
2022-10-12,2861,14,3887,738,5366
2022-07-08,2011,5,2186,638,4975
2022-12-31,1758,9,2299,401,4107
2022-07-05,1448,9,2471,826,4033
2022-10-02,3099,16,3216,866,6091
2022-09-23,4716,15,2886,793,6127
2022-11-18,2755,45,3000,1084,6275
2022-12-21,1551,9,2436,503,4681
2022-07-18,2101,36,2697,444,4387
2022-12-11,1609,4,2879,674,5141
2022-07-25,2044,12,3814,729,5588
2022-07-28,286,1,395,73,975
2022-11-28,2079,123,1979,825,5325
2022-09-13,3365,38,3172,1247,6657
2022-11-25,2119,10,3102,567,5293
2022-08-04,2334,7,2365,476,4412
2022-12-01,2516,13,3491,569,5146
2022-10-22,2949,26,3264,1052,6676
2022-08-19,2920,12,2781,500,6241
2022-09-03,1066,4,1094,346,3118
2022-12-02,1559,1,2080,340,3509
2022-10-21,2588,113,2752,547,6689
2022-08-17,2125,11,2980,653,6381
2022-12-12,2480,12,3267,1151,7427
2022-07-26,1782,10,3028,579,5340
2022-11-26,2004,7,2108,531,4565
2022-08-07,2681,17,4111,511,5104
2022-09-10,2229,9,2956,750,5291
2022-10-31,1096,6,929,309,2108
2022-11-16,2874,15,3407,725,5353
2022-09-20,1851,16,2545,601,4872
2022-07-16,557,7,902,151,1086
2022-12-22,1717,15,2329,503,5214
2022-09-30,696,31,484,169,1264
2022-11-06,2165,9,2820,652,4987
2022-08-27,3640,36,2795,510,5690
2022-07-06,2150,22,2869,649,3852
2022-12-29,2351,54,2259,393,5776
2022-12-24,1461,12,2630,492,5063
2022-07-10,2680,8,2269,694,4974
2022-11-10,693,3,534,147,1228
2022-09-26,4306,20,4436,972,9467
