,anger,fear,joy,sadness,others
2022-08-13,70,1,128,22,275
2022-09-09,391,4,801,217,1630
2022-09-04,147,3,169,16,514
2022-12-06,585,0,965,242,2146
2022-09-19,646,3,869,167,2364
2022-07-22,749,53,725,151,2232
2022-07-12,87,4,169,18,514
2022-12-26,429,2,819,140,1321
2022-10-05,369,0,1129,216,2354
2022-09-24,434,1,747,171,1954
2022-07-02,384,4,547,97,1241
2022-11-02,575,5,1097,290,2502
2022-10-18,540,23,746,474,2253
2022-08-23,534,4,1030,122,2951
2022-10-15,14,0,28,1,79
2022-07-01,413,5,318,85,1309
2022-10-16,746,6,680,162,1443
2022-11-01,780,9,1204,150,3104
2022-08-20,648,2,1047,143,2468
2022-12-28,630,1,1286,62,2397
2022-07-11,497,4,702,111,1614
2022-12-25,239,1,918,37,1094
2022-08-30,734,3,1145,120,2203
2022-10-06,549,0,749,474,2362
2022-09-27,817,2,833,131,2157
2022-11-21,538,1,1172,226,1829
2022-09-17,368,4,1096,118,2343
2022-12-18,301,1,935,110,1602
2022-12-15,479,3,797,63,1390
2022-07-21,428,10,699,214,2084
2022-09-07,348,1,698,110,1772
2022-08-10,1006,4,1002,267,2754
2022-12-08,439,0,1159,127,2290
2022-07-27,498,1,985,153,1762
2022-12-13,622,1,697,205,2298
2022-08-06,665,1,1077,250,1944
2022-10-30,815,3,1159,187,2255
2022-09-11,394,0,755,99,2177
2022-12-03,482,2,1170,249,2285
2022-10-20,663,36,989,159,2935
2022-08-16,893,2,1041,188,2225
2022-08-26,731,2,725,66,1750
2022-11-07,974,4,1183,311,2584
2022-07-07,336,1,696,201,1350
2022-11-17,447,1,493,85,965
2022-09-21,438,3,852,143,1979
2022-12-23,401,1,1007,102,2458
2022-07-17,259,0,686,88,1475
2022-11-19,424,0,736,300,2392
2022-09-22,648,2,895,246,2064
2022-11-14,1099,19,836,175,2389
2022-12-20,411,4,1059,138,2172
2022-07-14,284,4,736,91,1216
2022-07-19,38,0,116,28,273
2022-10-13,259,0,376,199,834
2022-11-09,867,31,1037,522,2629
2022-07-09,314,4,473,124,1377
2022-07-04,407,2,740,84,1509
2022-12-30,771,4,839,115,2486
2022-09-02,665,1,1009,137,2076
2022-08-18,272,0,629,129,1104
2022-07-24,634,3,1146,141,2228
2022-12-10,432,2,796,166,1807
2022-08-08,291,3,465,64,1076
2022-09-12,559,1,766,131,1851
2022-11-29,533,1,925,215,2435
2022-11-24,636,0,1015,183,2095
2022-11-05,788,3,821,262,2342
2022-08-24,614,4,855,91,2251
2022-11-08,808,3,891,206,2382
2022-08-29,628,4,1765,195,2287
2022-10-12,575,0,588,115,1553
2022-07-08,322,2,675,148,1615
2022-12-31,655,3,895,103,2188
2022-07-05,411,3,590,509,1275
2022-10-02,422,0,1328,138,1926
2022-09-23,585,5,960,194,1830
2022-11-18,546,3,783,187,2083
2022-12-21,399,2,1172,201,1736
2022-07-18,340,2,702,102,1402
2022-12-11,445,1,1203,120,2039
2022-07-25,502,6,1627,222,2355
2022-07-28,80,0,152,12,373
2022-11-28,586,1,789,422,2455
2022-09-13,531,7,656,297,2250
2022-11-25,817,3,1762,229,2609
2022-08-04,733,2,936,154,1807
2022-12-01,785,0,1106,168,1575
2022-10-22,744,16,1307,523,2415
2022-08-19,932,3,1405,117,2199
2022-09-03,230,3,338,26,822
2022-12-02,415,0,675,144,1178
2022-10-21,899,104,1168,184,2485
2022-08-17,511,3,1039,123,2477
2022-12-12,547,2,963,127,2301
2022-07-26,518,3,1267,141,2236
2022-11-26,500,1,1001,132,2047
2022-08-07,582,2,1039,109,1849
2022-09-10,362,2,929,121,1568
2022-10-31,258,2,305,48,931
2022-11-16,718,3,886,157,1908
2022-09-20,591,2,925,118,1903
2022-07-16,102,0,261,36,363
2022-12-22,457,1,1110,124,2928
2022-09-30,126,3,158,89,390
2022-11-06,529,1,1028,233,2178
2022-08-27,446,6,918,171,2012
2022-07-06,438,10,773,410,989
2022-12-29,998,45,1068,134,3041
2022-12-24,343,0,968,68,2383
2022-07-10,458,0,681,252,1454
2022-11-10,94,2,227,54,348
2022-09-26,663,1,881,184,2331
2022-10-07,741,0,822,243,2348
2022-10-17,652,8,717,389,2488
2022-08-21,520,3,949,201,2252
2022-09-06,302,1,620,140,1815
2022-11-30,905,1,661,262,1779
2022-08-11,935,81,1051,347,2941
2022-12-04,399,2,904,146,1908
2022-07-30,1397,2,1022,200,2214
2022-12-09,237,2,544,133,1232
2022-11-20,1671,3,3442,332,3813
2022-09-16,662,31,890,111,1488
2022-12-19,307,0,838,69,2148
2022-07-20,320,57,671,245,2027
2022-12-14,584,0,943,93,1754
2022-08-02,57,0,79,12,160
2022-11-23,1260,0,1036,182,1906
2022-09-18,351,2,905,226,1897
2022-07-23,31,4,46,6,145
2022-12-17,295,3,766,214,1605
2022-09-08,399,2,556,138,1565
2022-08-12,114,13,148,38,360
2022-09-05,575,1,774,288,1829
2022-10-24,571,1,781,198,2431
2022-12-07,691,0,948,165,2492
2022-07-03,341,0,694,67,1897
2022-11-03,652,0,871,277,2701
2022-10-14,723,2,758,153,2153
2022-12-27,460,3,931,175,1965
2022-07-13,104,1,135,55,482
2022-10-04,407,1,1567,214,2410
2022-11-13,523,20,897,168,2033
2022-10-09,660,4,1183,457,2617
