date,country,topic,mudando a,huir de Colombia,huyendo de Colombia,como salir de Colombia,como irse de Colombia,lugar seguro en Brasil,lugar seguro en Perú,lugar seguro en Panamá,lugar seguro en Venezuela,lugar seguro en Ecuador,lugares seguros en Brasil,lugares seguros en Perú,lugares seguros en Panamá,lugares seguros en Venezuela,lugares seguros en Ecuador,lugar para quedarse en Brasil,lugar para quedarse en Perú,lugar para quedarse en Panamá,lugar para quedarse en Venezuela,lugar para quedarse en Ecuador,lugares para quedarse en Brasil,lugares para quedarse en Perú,lugares para quedarse en Panamá,lugares para quedarse en Venezuela,lugares para quedarse en Ecuador,refugio seguro en Brasil,refugio seguro en Perú,refugio seguro en Panamá,refugio seguro en Venezuela,refugio seguro en Ecuador,refugiado,refugiado de Colombia,refugiada,refugiada de Colombia,asilo,asilo en Brasil,asilo en Perú,asilo en Panamá,asilo en Venezuela,asilo en Ecuador,emergencia en Colombia,yéndose de Colombia,saliendo de Colombia,camino seguro de Colombia,camino seguro a Brasil,camino seguro a Perú,camino seguro a Panamá,camino seguro a Venezuela,camino seguro a Ecuador,ruta segura de Colombia,ruta segura a Brasil,ruta segura a Perú,ruta segura a Panamá,ruta segura a Venezuela,ruta segura a Ecuador,tener que salir de Colombia,tengo que salir de Colombia,salvoconducto,salida,salida de Colombia,ayúdame a salir de Colombia,necesito ayuda para salir de Colombia,como salir mañana,tengo que irme de Colombia
2018-01-01,COL,general,0,0,0,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,11.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,11.758620689655173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,67.0,2.0,56.0,4.0,0.0,0.0,0.0,0.0
2018-02-01,COL,general,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,74.0,4.0,0.0,0.0,0.0,0.0
2018-03-01,COL,general,0,0,0,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1.0,81.0,3.0,0.0,0.0,0.0,0.0
2018-04-01,COL,general,0,0,0,33,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,3.0,0.0,0.0,0.0,0.0
2018-05-01,COL,general,0,0,0,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,2.0,77.0,4.0,0.0,0.0,0.0,0.0
2018-06-01,COL,general,0,0,0,46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,16.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,2.0,72.0,5.0,0.0,0.0,0.0,0.0
2018-07-01,COL,general,0,0,0,51,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,4.0,0.0,0.0,0.0,0.0
2018-08-01,COL,general,0,0,0,51,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,53.0,2.0,73.0,4.0,0.0,0.0,0.0,0.0
2018-09-01,COL,general,0,0,0,45,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7.0,19.0,0.0,316.66666666666663,0.0,0.0,0.0,0.0,0.0,69.66666666666666,0.0,20.163265306122447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,3.0,0.0,0.0,0.0,0.0
2018-10-01,COL,general,0,0,0,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,27.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,71.0,4.0,0.0,0.0,0.0,0.0
2018-11-01,COL,general,0,0,0,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,69.0,3.0,0.0,0.0,0.0,0.0
2018-12-01,COL,general,0,0,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,22.0,0.0,381.3333333333333,0.0,0.0,0.0,0.0,0.0,44.0,0.0,13.12280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,5.0,0.0,0.0,0.0,0.0
2019-01-01,COL,general,0,0,0,51,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,10.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,65.0,4.0,0.0,0.0,0.0,0.0
2019-02-01,COL,general,0,0,0,47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,12.0,18.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,92.0,4.0,0.0,0.0,0.0,0.0
2019-03-01,COL,general,0,0,0,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2.0,85.0,4.0,0.0,0.0,0.0,0.0
2019-04-01,COL,general,0,0,0,46,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,13.0,0.0,383.5,0.0,0.0,0.0,0.0,0.0,58.5,0.0,21.41176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,2.0,82.0,4.0,0.0,0.0,0.0,0.0
2019-05-01,COL,general,0,0,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,7.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,18.941176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,4.0,0.0,0.0,0.0,0.0
2019-06-01,COL,general,0,0,0,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,11.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,1.0,74.0,4.0,0.0,0.0,0.0,0.0
