date,country,topic,trabajo en Brasil,trabajo en Colombia,trabajo en Guayana,visa de trabajo,moneda de Brasil,moneda de Colombia,moneda de Guayana,ayuda en Brasil,ayuda en Colombia,ayuda en Guayana,cruz roja,asistencia en Venezuela,refugio en Brasil,refugio en Colombia,refugio en Guayana,aplicar a,pasaporte,documentos,consulado,embajada,protección,donde encontrar ayuda en Venezuela,como encontrar refugio en Brasil,como encontrar refugio en Colombia,como encontrar refugio en Guayana
2018-01-01,VEN,destination,10,100,0,46,17,22.151515151515152,0.0,0.0,6.181818181818182,0.0,13.0,1.0,0.0,0.0,0.0,0.0,100.0,76.0,67.0,81.0,8.0,0.0,0.0,0.0,0.0
2018-02-01,VEN,destination,2,69,0,31,16,20.5,0.0,0.0,1.5,0.0,9.0,1.0,0.0,0.0,0.0,0.0,68.0,66.0,53.0,42.0,11.0,0.0,0.0,0.0,0.0
2018-03-01,VEN,destination,5,31,0,17,18,23.294117647058822,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,42.0,37.0,11.0,0.0,0.0,0.0,0.0
2018-04-01,VEN,destination,0,38,0,32,13,16.12,0.0,0.0,4.16,0.0,15.0,0.0,0.0,0.0,0.0,0.0,37.0,47.0,100.0,55.0,9.0,0.0,0.0,0.0,0.0
2018-05-01,VEN,destination,5,40,0,27,8,11.0,0.0,0.0,5.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,36.0,56.0,61.0,43.0,10.0,0.0,0.0,0.0,0.0
2018-06-01,VEN,destination,5,43,0,32,11,10.5,0.0,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,35.0,51.0,63.0,40.0,8.0,0.0,0.0,0.0,0.0
2018-07-01,VEN,destination,2,31,0,20,6,12.545454545454545,0.0,0.0,3.2727272727272725,0.0,9.0,0.0,0.0,0.0,0.0,0.0,21.0,44.0,62.0,40.0,7.0,0.0,0.0,0.0,0.0
2018-08-01,VEN,destination,2,29,0,30,11,4.5,0.0,0.0,8.5,0.0,8.0,1.0,0.0,0.0,0.0,0.0,19.0,37.0,59.0,38.0,8.0,0.0,0.0,0.0,0.0
2018-09-01,VEN,destination,0,17,0,20,10,8.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,14.0,35.0,54.0,37.0,8.0,0.0,0.0,0.0,0.0
2018-10-01,VEN,destination,3,24,0,16,7,4.5,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,55.0,40.0,10.0,0.0,0.0,0.0,0.0
