date,country,topic,mudando a,huir de Venezuela,huyendo de Venezuela,como salir de Venezuela,como irse de Venezuela,lugar seguro en Brasil,lugar seguro en Colombia,lugar seguro en Guayana,lugares seguros en Brasil,lugares seguros en Colombia,lugares seguros en Guayana,lugar para quedarse en Brasil,lugar para quedarse en Colombia,lugar para quedarse en Guayana,lugares para quedarse en Brasil,lugares para quedarse en Colombia,lugares para quedarse en Guayana,refugio seguro en Brasil,refugio seguro en Colombia,refugio seguro en Guayana,refugiado,refugiado de Venezuela,refugiada,refugiada de Venezuela,asilo,asilo en Brasil,asilo en Colombia,asilo en Guayana,emergencia en Venezuela,yéndose de Venezuela,saliendo de Venezuela,camino seguro de Venezuela,camino seguro a Brasil,camino seguro a Colombia,camino seguro a Guayana,ruta segura de Venezuela,ruta segura a Brasil,ruta segura a Colombia,ruta segura a Guayana,tener que salir de Venezuela,tengo que salir de Venezuela,salvoconducto,salida,salida de Venezuela,ayúdame a salir de Venezuela,necesito ayuda para salir de Venezuela,como salir mañana,tengo que irme de Venezuela
2018-01-01,VEN,general,0,0,0,100,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,13.0,3.0,0.0,88.0,0.0,6.157894736842105,0.0,8.210526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,71.0,10.0,0.0,0.0,0.0,0.0
2018-02-01,VEN,general,0,0,0,91,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,10.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,8.0,0.0,0.0,0.0,0.0
2018-03-01,VEN,general,0,0,0,83,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,62.0,0.0,6.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,6.0,0.0,0.0,0.0,0.0
2018-04-01,VEN,general,0,0,0,91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,68.0,0.0,4.0,0.0,8.0,0.0,6.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,6.0,0.0,0.0,0.0,0.0
2018-05-01,VEN,general,0,0,0,71,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,3.0,0.0,0.0,53.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,5.0,0.0,0.0,0.0,0.0
2018-06-01,VEN,general,0,0,0,68,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,4.0,0.0,0.0,63.0,0.0,0.0,0.0,5.333333333333333,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,7.0,0.0,0.0,0.0,0.0
2018-07-01,VEN,general,0,0,0,81,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,0.0,0.0,62.0,0.0,3.333333333333333,0.0,6.666666666666666,0.0,2.839506172839506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,8.0,0.0,0.0,0.0,0.0
2018-08-01,VEN,general,0,0,0,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,8.0,0.0,0.0,0.0,0.0
2018-09-01,VEN,general,0,0,0,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,59.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,5.0,0.0,0.0,0.0,0.0
2018-10-01,VEN,general,0,0,0,70,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,10.0,0.0,75.0,0.0,0.0,0.0,9.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,6.0,0.0,0.0,0.0,0.0
