date,country,topic,vivienda,viviendas,vivienda en Brasil,vivienda en Colombia,vivienda en Guayana,viviendas en Brasil,viviendas en Colombia,viviendas en Guayana,alojamiento en Brasil,alojamiento en Colombia,alojamiento en Guayana,ruta a Brasil,ruta a Colombia,ruta a Guayana,camino a Brasil,camino a Colombia,camino a Guayana,zona segura en Brasil,zona segura en Colombia,zona segura en Guayana,región segura en,frontera con Brasil,frontera con Colombia,frontera con Guayana,cruce,cruce de fronteras abiertas,fronteras abiertas,cruce de fronterizo más cercano,cruce seguro de fronteras,zonas seguras,regiones seguras,hogares en Brasil,hogares en Colombia,hogares en Guayana
2018-01-01,VEN,geography,57,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,30.0,4.0,30.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
2018-02-01,VEN,geography,39,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,71.0,0.0,26.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
2018-03-01,VEN,geography,83,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,VEN,geography,100,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,VEN,geography,80,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,46.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,VEN,geography,60,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,VEN,geography,47,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,0.0,29.0,0.0,1.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0
2018-08-01,VEN,geography,39,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,41.0,0.0,18.0,0.0,2.382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,VEN,geography,44,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,3.0,19.0,0.0,1.0499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,VEN,geography,71,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
