date,anger,fear,joy,sadness,others
8/13/22,70,1,128,22,275
9/9/22,391,4,801,217,1630
9/4/22,147,3,169,16,514
12/6/22,585,0,965,242,2146
9/19/22,646,3,869,167,2364
7/22/22,749,53,725,151,2232
7/12/22,87,4,169,18,514
12/26/22,429,2,819,140,1321
10/5/22,369,0,1129,216,2354
9/24/22,434,1,747,171,1954
7/2/22,384,4,547,97,1241
11/2/22,575,5,1097,290,2502
10/18/22,540,23,746,474,2253
8/23/22,534,4,1030,122,2951
10/15/22,14,0,28,1,79
7/1/22,413,5,318,85,1309
10/16/22,746,6,680,162,1443
11/1/22,780,9,1204,150,3104
8/20/22,648,2,1047,143,2468
12/28/22,630,1,1286,62,2397
7/11/22,497,4,702,111,1614
12/25/22,239,1,918,37,1094
8/30/22,734,3,1145,120,2203
10/6/22,549,0,749,474,2362
9/27/22,817,2,833,131,2157
11/21/22,538,1,1172,226,1829
9/17/22,368,4,1096,118,2343
12/18/22,301,1,935,110,1602
12/15/22,479,3,797,63,1390
7/21/22,428,10,699,214,2084
9/7/22,348,1,698,110,1772
8/10/22,1006,4,1002,267,2754
12/8/22,439,0,1159,127,2290
7/27/22,498,1,985,153,1762
12/13/22,622,1,697,205,2298
8/6/22,665,1,1077,250,1944
10/30/22,815,3,1159,187,2255
9/11/22,394,0,755,99,2177
12/3/22,482,2,1170,249,2285
10/20/22,663,36,989,159,2935
8/16/22,893,2,1041,188,2225
8/26/22,731,2,725,66,1750
11/7/22,974,4,1183,311,2584
7/7/22,336,1,696,201,1350
11/17/22,447,1,493,85,965
9/21/22,438,3,852,143,1979
12/23/22,401,1,1007,102,2458
7/17/22,259,0,686,88,1475
11/19/22,424,0,736,300,2392
9/22/22,648,2,895,246,2064
11/14/22,1099,19,836,175,2389
12/20/22,411,4,1059,138,2172
7/14/22,284,4,736,91,1216
7/19/22,38,0,116,28,273
10/13/22,259,0,376,199,834
11/9/22,867,31,1037,522,2629
7/9/22,314,4,473,124,1377
7/4/22,407,2,740,84,1509
12/30/22,771,4,839,115,2486
9/2/22,665,1,1009,137,2076
8/18/22,272,0,629,129,1104
7/24/22,634,3,1146,141,2228
12/10/22,432,2,796,166,1807
8/8/22,291,3,465,64,1076
9/12/22,559,1,766,131,1851
11/29/22,533,1,925,215,2435
11/24/22,636,0,1015,183,2095
11/5/22,788,3,821,262,2342
8/24/22,614,4,855,91,2251
11/8/22,808,3,891,206,2382
8/29/22,628,4,1765,195,2287
10/12/22,575,0,588,115,1553
7/8/22,322,2,675,148,1615
12/31/22,655,3,895,103,2188
7/5/22,411,3,590,509,1275
10/2/22,422,0,1328,138,1926
9/23/22,585,5,960,194,1830
11/18/22,546,3,783,187,2083
12/21/22,399,2,1172,201,1736
7/18/22,340,2,702,102,1402
12/11/22,445,1,1203,120,2039
7/25/22,502,6,1627,222,2355
7/28/22,80,0,152,12,373
11/28/22,586,1,789,422,2455
9/13/22,531,7,656,297,2250
11/25/22,817,3,1762,229,2609
8/4/22,733,2,936,154,1807
12/1/22,785,0,1106,168,1575
10/22/22,744,16,1307,523,2415
8/19/22,932,3,1405,117,2199
9/3/22,230,3,338,26,822
12/2/22,415,0,675,144,1178
10/21/22,899,104,1168,184,2485
8/17/22,511,3,1039,123,2477
12/12/22,547,2,963,127,2301
7/26/22,518,3,1267,141,2236
11/26/22,500,1,1001,132,2047
8/7/22,582,2,1039,109,1849
9/10/22,362,2,929,121,1568
10/31/22,258,2,305,48,931
11/16/22,718,3,886,157,1908
9/20/22,591,2,925,118,1903
7/16/22,102,0,261,36,363
12/22/22,457,1,1110,124,2928
9/30/22,126,3,158,89,390
11/6/22,529,1,1028,233,2178
8/27/22,446,6,918,171,2012
7/6/22,438,10,773,410,989
12/29/22,998,45,1068,134,3041
12/24/22,343,0,968,68,2383
7/10/22,458,0,681,252,1454
11/10/22,94,2,227,54,348
9/26/22,663,1,881,184,2331
10/7/22,741,0,822,243,2348
10/17/22,652,8,717,389,2488
8/21/22,520,3,949,201,2252
9/6/22,302,1,620,140,1815
11/30/22,905,1,661,262,1779
8/11/22,935,81,1051,347,2941
12/4/22,399,2,904,146,1908
7/30/22,1397,2,1022,200,2214
12/9/22,237,2,544,133,1232
11/20/22,1671,3,3442,332,3813
9/16/22,662,31,890,111,1488
12/19/22,307,0,838,69,2148
7/20/22,320,57,671,245,2027
12/14/22,584,0,943,93,1754
8/2/22,57,0,79,12,160
11/23/22,1260,0,1036,182,1906
9/18/22,351,2,905,226,1897
7/23/22,31,4,46,6,145
12/17/22,295,3,766,214,1605
9/8/22,399,2,556,138,1565
8/12/22,114,13,148,38,360
9/5/22,575,1,774,288,1829
10/24/22,571,1,781,198,2431
12/7/22,691,0,948,165,2492
7/3/22,341,0,694,67,1897
11/3/22,652,0,871,277,2701
10/14/22,723,2,758,153,2153
12/27/22,460,3,931,175,1965
7/13/22,104,1,135,55,482
10/4/22,407,1,1567,214,2410
11/13/22,523,20,897,168,2033
10/9/22,660,4,1183,457,2617
