Year,Month,Violence against civilians,Strategic developments,Battles,Protests,Riots,Explosions/Remote violence
2018,January,48,0,25,144,44,0
2018,February,92,3,74,153,21,2
2018,March,42,3,30,169,17,0
2018,April,46,1,39,171,13,4
2018,May,45,0,33,142,23,0
2018,June,46,0,10,185,6,1
2018,July,41,1,28,237,11,0
2018,August,46,4,34,184,13,2
2018,September,39,2,29,146,8,2
2018,October,45,2,40,172,16,1
2018,November,68,8,50,145,5,0
2018,December,39,2,24,163,9,2
2019,January,58,11,32,303,43,1
2019,February,56,24,26,272,23,0
2019,March,50,20,30,249,59,1
2019,April,70,7,43,229,34,0
2019,May,69,10,74,231,17,1
2019,June,72,10,66,139,23,2
2019,July,48,1,89,170,11,1
2019,August,66,18,117,187,10,2
2019,September,71,16,70,193,12,0
2019,October,93,5,73,285,11,2
2019,November,59,5,70,274,7,8
2019,December,59,14,54,98,8,3
2020,January,88,7,84,154,12,2
2020,February,66,2,70,165,11,6
2020,March,53,7,69,179,6,2
2020,April,52,23,105,141,23,0
2020,May,81,18,112,203,28,5
2020,June,61,10,68,163,11,3
2020,July,24,6,61,138,9,2
2020,August,24,3,87,161,18,1
2020,September,16,2,35,233,29,4
2020,October,15,6,28,521,24,2
2020,November,21,2,44,299,13,6
2020,December,39,6,41,154,8,16
2021,January,39,6,109,128,6,3
2021,February,24,2,42,172,8,1
2021,March,40,7,50,157,4,3
2021,April,22,4,68,127,2,0
2021,May,33,3,79,265,5,0
2021,June,40,6,77,216,2,0
2021,July,55,5,61,203,8,1
2021,August,31,3,50,168,12,0
2021,September,43,2,53,121,1,0
2021,October,28,1,27,115,3,0
2021,November,26,6,24,170,1,1
2021,December,33,0,41,103,1,1
2022,January,35,9,68,121,6,4
2022,February,19,10,54,158,2,2
2022,March,27,5,39,272,5,5
2022,April,14,20,32,180,4,1
2022,May,19,6,30,203,3,3
2022,June,11,4,16,191,5,2
2022,July,22,12,20,146,8,1
2022,August,11,11,26,257,3,1
2022,September,12,7,48,199,3,3
2022,October,18,5,26,166,4,0
2022,November,14,9,21,213,6,1
2022,December,25,5,18,132,4,0
