Year,Month,Total #
2019,January,5971
2019,February,5362
2019,March,4048
2019,April,3787
2019,May,3924
2019,June,4161
2019,July,3997
2019,August,3748
2019,September,3988
2019,October,5663
2019,November,5140
2019,December,3935
2020,January,3421
2020,February,2689
2020,March,3651
2020,April,520
2020,May,149
2020,June,591
2020,July,861
2020,August,984
2020,September,1050
2020,October,926
2020,November,1090
2020,December,1453
2021,January,568
2021,February,420
2021,March,669
2021,April,534
2021,May,469
2021,June,536
2021,July,2336
2021,August,2477
2021,September,2810
2021,October,2520
2021,November,4439
2021,December,5078
2022,January,6170
2022,February,3477
2022,March,2874
2022,April,1786
2022,May,1953
2022,June,4358
2022,July,1727
2022,August,1541
2022,September,2278
2022,October,2716
2022,November,2555
2022,December,2232
2023,January,2220
2023,February,2661
2023,March,2750
2023,April,2227
2023,May,2344
