Año,Mes,Nacionalidad,Codigo Iso 3166,Femenino,Masculino,Indefinido,Total,State
2012,Enero,Venezuela,862,297,339,,636,Nariño
2012,Enero,Venezuela,862,7,12,,19,Bolívar
2012,Enero,Venezuela,862,76,133,,209,Bolívar
2012,Enero,Venezuela,862,55,70,,125,Atlántico
2012,Enero,Venezuela,862,0,4,,4,Magdalena
2012,Enero,Venezuela,862,1265,1721,,2986,La Guajira
2012,Enero,Venezuela,862,1,0,,1,La Guajira
2012,Enero,Venezuela,862,13,13,,26,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Enero,Venezuela,862,53,58,,111,Valle del Cauca
2012,Enero,Venezuela,862,5306,6178,,11484,Not Available
2012,Enero,Venezuela,862,7,24,,31,Risaralda
2012,Enero,Venezuela,862,362,421,,783,Antioquia
2012,Enero,Venezuela,862,5,3,,8,Vichada
2012,Enero,Venezuela,862,67,81,,148,Apure
2012,Enero,Venezuela,862,3,1,,4,Santander
2012,Enero,Venezuela,862,1767,1997,,3764,Norte de Santander
2012,Enero,Venezuela,862,431,487,,918,Norte de Santander
2012,Enero,Venezuela,862,1,1,,2,Chocó
2012,Febrero,Venezuela,862,0,3,,3,Amazonas
2012,Febrero,Venezuela,862,95,123,,218,Nariño
2012,Febrero,Venezuela,862,9,15,,24,Bolívar
2012,Febrero,Venezuela,862,81,113,,194,Bolívar
2012,Febrero,Venezuela,862,82,116,,198,Atlántico
2012,Febrero,Venezuela,862,0,1,,1,Atlántico
2012,Febrero,Venezuela,862,0,4,,4,Magdalena
2012,Febrero,Venezuela,862,0,3,,3,Magdalena
2012,Febrero,Venezuela,862,1852,2260,,4112,La Guajira
2012,Febrero,Venezuela,862,3,2,,5,La Guajira
2012,Febrero,Venezuela,862,9,13,,22,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Febrero,Venezuela,862,49,60,,109,Valle del Cauca
2012,Febrero,Venezuela,862,0,2,,2,Quindío
2012,Febrero,Venezuela,862,4326,5705,,10031,Not Available
2012,Febrero,Venezuela,862,2,15,,17,Risaralda
2012,Febrero,Venezuela,862,294,336,,630,Antioquia
2012,Febrero,Venezuela,862,4,6,,10,Vichada
2012,Febrero,Venezuela,862,27,45,,72,Apure
2012,Febrero,Venezuela,862,6,10,,16,Santander
2012,Febrero,Venezuela,862,1318,1520,,2838,Norte de Santander
2012,Febrero,Venezuela,862,325,382,,707,Norte de Santander
2012,Febrero,Venezuela,862,7,4,,11,Chocó
2012,Marzo,Venezuela,862,48,89,,137,Nariño
2012,Marzo,Venezuela,862,17,9,,26,Bolívar
2012,Marzo,Venezuela,862,64,123,,187,Bolívar
2012,Marzo,Venezuela,862,116,137,,253,Atlántico
2012,Marzo,Venezuela,862,0,4,,4,Magdalena
2012,Marzo,Venezuela,862,1251,1720,,2971,La Guajira
2012,Marzo,Venezuela,862,2,1,,3,La Guajira
2012,Marzo,Venezuela,862,0,1,,1,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Marzo,Venezuela,862,8,7,,15,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Marzo,Venezuela,862,35,51,,86,Valle del Cauca
2012,Marzo,Venezuela,862,1,2,,3,Quindío
2012,Marzo,Venezuela,862,4184,5545,,9729,Not Available
2012,Marzo,Venezuela,862,2,21,,23,Risaralda
2012,Marzo,Venezuela,862,321,396,,717,Antioquia
2012,Marzo,Venezuela,862,13,14,,27,Vichada
2012,Marzo,Venezuela,862,41,82,,123,Apure
2012,Marzo,Venezuela,862,8,17,,25,Santander
2012,Marzo,Venezuela,862,1299,1506,,2805,Norte de Santander
2012,Marzo,Venezuela,862,256,300,,556,Norte de Santander
2012,Marzo,Venezuela,862,0,1,,1,Chocó
2012,Abril,Venezuela,862,50,94,,144,Nariño
2012,Abril,Venezuela,862,0,1,,1,Nariño
2012,Abril,Venezuela,862,7,20,,27,Bolívar
2012,Abril,Venezuela,862,0,14,,14,Cesar
2012,Abril,Venezuela,862,112,222,,334,Bolívar
2012,Abril,Venezuela,862,35,53,,88,Atlántico
2012,Abril,Venezuela,862,1,2,,3,Magdalena
2012,Abril,Venezuela,862,0,3,,3,Magdalena
2012,Abril,Venezuela,862,2051,2483,,4534,La Guajira
2012,Abril,Venezuela,862,7,6,,13,La Guajira
2012,Abril,Venezuela,862,8,8,,16,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Abril,Venezuela,862,51,58,,109,Valle del Cauca
2012,Abril,Venezuela,862,1,1,,2,Quindío
2012,Abril,Venezuela,862,5067,5746,,10813,Not Available
2012,Abril,Venezuela,862,1,17,,18,Risaralda
2012,Abril,Venezuela,862,243,312,,555,Antioquia
2012,Abril,Venezuela,862,28,45,,73,Vichada
2012,Abril,Venezuela,862,47,47,,94,Apure
2012,Abril,Venezuela,862,5,6,,11,Santander
2012,Abril,Venezuela,862,1276,1365,,2641,Norte de Santander
2012,Abril,Venezuela,862,225,220,,445,Norte de Santander
2012,Abril,Venezuela,862,0,1,,1,Chocó
2012,Mayo,Venezuela,862,0,2,,2,Amazonas
2012,Mayo,Venezuela,862,40,60,,100,Nariño
2012,Mayo,Venezuela,862,3,12,,15,Bolívar
2012,Mayo,Venezuela,862,88,130,,218,Bolívar
2012,Mayo,Venezuela,862,56,92,,148,Atlántico
2012,Mayo,Venezuela,862,0,1,,1,Atlántico
2012,Mayo,Venezuela,862,0,2,,2,Magdalena
2012,Mayo,Venezuela,862,1008,1448,,2456,La Guajira
2012,Mayo,Venezuela,862,1,5,,6,La Guajira
2012,Mayo,Venezuela,862,11,9,,20,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Mayo,Venezuela,862,52,78,,130,Valle del Cauca
2012,Mayo,Venezuela,862,3812,5305,,9117,Not Available
2012,Mayo,Venezuela,862,5,20,,25,Risaralda
2012,Mayo,Venezuela,862,320,415,,735,Antioquia
2012,Mayo,Venezuela,862,0,4,,4,Vichada
2012,Mayo,Venezuela,862,30,68,,98,Apure
2012,Mayo,Venezuela,862,13,20,,33,Santander
2012,Mayo,Venezuela,862,851,1016,,1867,Norte de Santander
2012,Mayo,Venezuela,862,175,197,,372,Norte de Santander
2012,Mayo,Venezuela,862,0,1,,1,Chocó
2012,Junio,Venezuela,862,32,69,,101,Nariño
2012,Junio,Venezuela,862,0,27,,27,Bolívar
2012,Junio,Venezuela,862,80,122,,202,Bolívar
2012,Junio,Venezuela,862,40,97,,137,Atlántico
2012,Junio,Venezuela,862,0,2,,2,Magdalena
2012,Junio,Venezuela,862,1048,1561,,2609,La Guajira
2012,Junio,Venezuela,862,3,1,,4,La Guajira
2012,Junio,Venezuela,862,11,10,,21,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Junio,Venezuela,862,39,50,,89,Valle del Cauca
2012,Junio,Venezuela,862,3770,4979,,8749,Not Available
2012,Junio,Venezuela,862,3,13,,16,Risaralda
2012,Junio,Venezuela,862,292,362,,654,Antioquia
2012,Junio,Venezuela,862,7,4,,11,Vichada
2012,Junio,Venezuela,862,59,110,,169,Apure
2012,Junio,Venezuela,862,7,10,,17,Santander
2012,Junio,Venezuela,862,1018,1303,,2321,Norte de Santander
2012,Junio,Venezuela,862,186,236,,422,Norte de Santander
2012,Julio,Venezuela,862,1,1,,2,Sucumbíos
2012,Julio,Venezuela,862,47,75,,122,Nariño
2012,Julio,Venezuela,862,0,3,,3,Bolívar
2012,Julio,Venezuela,862,88,94,,182,Bolívar
2012,Julio,Venezuela,862,29,70,,99,Atlántico
2012,Julio,Venezuela,862,0,5,,5,Magdalena
2012,Julio,Venezuela,862,1810,2333,,4143,La Guajira
2012,Julio,Venezuela,862,1,2,,3,La Guajira
2012,Julio,Venezuela,862,22,24,,46,"Archipiélago de San Andrés, Providencia y Santa Catalina"
2012,Julio,Venezuela,862,37,55,,92,Valle del Cauca
2012,Julio,Venezuela,862,0,1,,1,Quindío
2012,Julio,Venezuela,862,4918,6202,,11120,Not Available
2012,Julio,Venezuela,862,5,17,,22,Risaralda
2012,Julio,Venezuela,862,478,511,,989,Antioquia
2012,Julio,Venezuela,862,7,4,,11,Vichada
2012,Julio,Venezuela,862,30,40,,70,Apure
2012,Julio,Venezuela,862,5,4,,9,Santander
