date,country,topic,caminar a Brasil,caminar a Perú,caminar a Panamá,caminar a Venezuela,caminar a Ecuador,billete de avión a Brasil,billete de avión a Perú,billete de avión a Panamá,billete de avión a Venezuela,billete de avión a Ecuador,aeropuerto cerca de mi,bote a Brasil,bote a Perú,bote a Panamá,bote a Venezuela,bote a Ecuador,tren a Brasil,tren a Perú,tren a Panamá,tren a Venezuela,tren a Ecuador,estación,aplicar,equipaje,hotel en Brasil,hotel en Perú,hotel en Panamá,hotel en Venezuela,hotel en Ecuador,albergue en Brasil,albergue en Perú,albergue en Panamá,albergue en Venezuela,albergue en Ecuador,tráfico,boleto a,motel en Brasil,motel en Perú,motel en Panamá,motel en Venezuela,motel en Ecuador,conduciendo,tarifa aérea,carreteras,camión,Airbnb,como caminar a,pasaje aérea,precio de billete de avión
2018-01-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,56.0,18.0,0.0,0.0,0.0,1.0909090909090908,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,77.0,16.0,328.5,0.0,0.0,0.0
2018-02-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,58.0,13.0,0.0,0.0,0.2765957446808511,0.5531914893617021,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,64.0,15.0,212.5,4.25,0.0,0.0
2018-03-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,62.0,16.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,65.0,19.0,247.5,4.5,0.0,0.0
2018-04-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,63.0,14.0,1.0,0.0,0.28,0.56,0.28,0.0,0.0,0.0,0.0,0.0,35.0,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,60.0,21.0,211.5,0.0,0.0,0.0
2018-05-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,66.0,16.0,0.0,0.0,0.0,0.0,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,74.0,20.0,168.0,0.0,0.0,0.0
2018-06-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,57.0,18.0,0.0,0.0,0.27692307692307694,0.8307692307692308,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,62.0,22.0,224.0,4.0,0.0,0.0
2018-07-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,61.0,19.0,0.0,0.0,0.5671641791044776,0.5671641791044776,0.5671641791044776,0.0,0.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,62.0,19.0,335.5,5.5,0.0,0.0
2018-08-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,65.0,18.0,0.0,0.0,0.0,0.5454545454545454,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,64.0,20.0,270.0,5.0,0.0,0.0
2018-09-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,65.0,17.0,0.0,0.0,0.0,0.27419354838709675,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,53.0,25.0,224.0,4.0,0.0,0.0
2018-10-01,COL,travel,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,66.0,17.0,0.0,0.0,0.0,0.5666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,58.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,62.0,25.0,274.5,4.5,0.0,0.0
