,geoName,geoCode,a,the,and,be,of,the1,in,to,Словаччина,Румунія,to2,Польща,Німеччина,Австрія,Білорусь,to3,Молдова,Кишинів,Тирасполь,Бельці,to4,Бухарест,Клуж-Напока,Тімішоара,Ясси,to5,Констанца,Брашов,Галац,Варшава,to6,Краків,Лодзь,Вроцлав,Познань,to7,Гданськ,Щецин,Бидгощ,Люблін,to8,Білосток,Катовіце,Берлін,Лейпциг,to9,Дрезден,Нюрнберг,Мюнхен,Відень,to10,Грац,Мінськ,Гомель,Могилів,to11,Вітебськ,Жодзіна,Гродна,Брест,to12,Будапешт,Дебрецен,Сегед,Мішкольц,to13,Братислава,Кошице,Жиліна,Пряшів,to14,Бабруйськ,Баранавічі,Барисава,Пінськ,to15,паланка,Бендер,Угорщина,Берегове,to16,ДВК,Дьєр,Березова церква,Коза,to17,Словакія,нітра,Банська Бистриця,Мартин,to18,Трнава,Trenčín,Попрад,Жешув,to19,Перемишль,Корчова,Крайова,Плоєсти,to20,Орадя,Пітешті,Гамбург,Рибниця,to21,Унгени,Кагул,Сорока,Орхей,to22,Комрат,Дубасарі,Страсені,Чадір-Лунга,to23,Каушені,Дрокія,Единец,Вулканешти,to24,Дурлесті,Хінчештський,Яловені,похвалитися,to25,Калараш,ліс,Тараклія,Флорешти,to26,Постійний,Плоешть,Місто Орадя,Браїла,to27,Арад,Пітешть,Сібіу,Бакеу,to28,Тиргу Муреш,Бая Маре,Бузау,Ботошань,to29,Сату Маре,Римнику-Валча,Дробета Турну-Северін,Сучава,to30,П'ятра-Нямц,Таргу Жиу,Гдиня,Ченстохова,to31,Радом,Бігти,Сосновець,Кельце,to32,Глівіце,Ольштин,Забже,Бельсько-Бяла,to33,Битом,зелена гора,Рибник,Могильовська,to34,Гродно,Бобруйськ,Барановичі,Борисів,to35,Пінська,Орша,Мазир,Салігорськ,to36,Ліда,Новополоцьк,Маладзечна,Полоцьк,to37,Жлобін,Світлагорськ,Речиця,Слуцьк,to38,Кобрин,Слонім,Вавкависьк,Печ,to39,Nyíregyháza,Кечкемет,Секешфехервар,Сомбатхей,to40,Ерд,Сольнок,Татабанья,Шопрон,to41,Капошвар,Веспрем,Бекешчаба,Залаегерсег,to42,миша,Надьканіжа,Дунакесі,Hódmezővásárhely,to43,Дунауйварош,Сігетсентміклош,Сеглед,Нітра,to44,Тренчин,Мартін,Прієвідза,Обраний,to45,Поважська Бистриця,Міхаловце,Нове Замкі,Спішська Нова Весь,to46,Комарно,Гуменне,Левіце,Бардейов,to47,Ліптовський Мікулаш,Лученець,П'єштяни,Ружомберок,to48,Топольчани
0,Cherkas'ka oblast,UA-71,23,26,18,3,30,25,34,41,0,0,74,9,2,0,15,81,17,0,2,0,98,2,0,0,0,93,0,0,0,7,98,0,0,2,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,96,0,2,2,0,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,2,0,2,0,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,5,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
1,Chernihivs'ka oblast,UA-74,18,38,15,3,26,25,38,32,0,5,87,7,0,0,6,100,0,0,0,0,93,7,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,82,0,0,18,0,93,0,0,0,7,87,13,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,93,7,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,7,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,22,32,14,4,28,22,29,43,0,6,87,5,5,0,3,77,22,1,0,0,99,1,0,0,0,93,0,0,0,7,99,0,0,1,0,100,0,0,0,0,97,0,3,0,0,93,2,1,0,4,89,0,0,11,0,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,3,0,99,0,0,0,1,100,0,0,0,0,99,0,0,0,1,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,82,0,0,0,18,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
3,Crimea,UA-43,25,33,14,2,26,28,36,36,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,8,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,35,14,4,26,32,32,36,0,0,98,1,0,0,1,94,6,0,0,0,99,1,0,0,0,94,0,0,0,6,98,0,0,2,0,99,0,1,0,0,100,0,0,0,0,97,1,1,1,0,91,0,0,9,0,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,5,0,100,0,0,0,0,99,0,0,0,1,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
5,Donetsk Oblast,UA-14,21,30,19,2,28,30,40,30,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,80,0,0,20,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,36,18,0,28,28,22,41,2,7,57,23,6,4,10,90,10,0,0,0,99,1,0,0,0,92,0,0,0,8,90,6,0,1,3,97,0,1,0,2,94,0,1,5,0,97,0,0,3,0,92,0,0,8,0,100,0,0,0,0,89,11,0,0,0,99,0,0,1,0,100,0,0,0,0,86,0,0,14,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,11,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
7,Kharkiv Oblast,UA-63,21,31,14,1,33,29,33,38,0,0,100,0,0,0,0,94,6,0,0,0,100,0,0,0,0,93,0,0,0,7,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,77,0,0,23,0,99,0,0,0,1,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,22,36,13,4,25,31,31,37,0,1,91,3,6,0,0,94,6,0,0,0,100,0,0,0,0,94,0,0,0,6,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,0,17,0,100,0,0,0,0,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,27,32,16,4,21,28,34,34,0,4,61,18,5,0,16,85,13,2,0,0,98,2,0,0,0,84,0,0,0,16,93,5,2,0,0,98,0,2,0,0,98,0,2,0,0,98,0,2,0,0,88,0,0,12,0,95,0,0,0,5,98,2,0,0,0,98,0,2,0,0,100,0,0,0,0,87,0,2,9,2,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,93,7,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
