,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,in2,Одеса,Дніпро,Донецьк,Запоріжжя,in3,Львів,Кривий Ріг,Миколаїв,Севастополь,in4,Маріуполь,Луганськ,Вінниця,Макіївка,in5,Сімферополь,Чернігів,Херсон,Полтава,in6,Хмельницький,Черкаси,Чернівці,Житомир,in7,Суми,Рівне,Горлівка,Івано-Франківськ,in8,Тернопіль,Ужгород,Кропивницький,луцьк,in9,Біла Церква
0,Cherkas'ka oblast,UA-71,21,29,16,4,30,24,27,28,19,2,77,7,9,0,7,75,18,4,2,1,86,0,0,13,1,81,0,3,10,6,13,0,87,0,0,99,0,0,0,1,97,0,1,2,0,100,0
1,Chernihivs'ka oblast,UA-74,25,34,15,5,21,23,18,23,34,2,83,0,17,0,0,78,17,5,0,0,74,5,0,16,5,16,0,79,2,3,78,5,0,5,12,83,12,0,0,5,78,11,11,0,0,100,0
2,Chernivets'ka oblast,UA-77,17,37,17,1,28,25,34,30,10,1,84,3,10,0,3,71,27,1,1,0,87,7,0,6,0,87,0,3,7,3,8,0,0,92,0,92,1,2,0,5,87,9,1,0,3,100,0
3,Crimea,UA-43,23,31,15,2,29,31,37,32,0,0,100,0,0,0,0,39,0,0,0,61,100,0,0,0,0,84,0,0,12,4,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,33,17,4,27,32,32,34,2,0,63,2,33,0,2,66,8,26,0,0,97,2,0,1,0,70,0,1,20,9,87,4,3,1,5,93,3,0,0,4,84,4,8,3,1,99,1
5,Donetsk Oblast,UA-14,16,36,20,1,27,35,39,26,0,0,98,0,1,1,0,94,5,0,1,0,100,0,0,0,0,88,0,0,12,0,99,0,1,0,0,97,0,2,0,1,97,1,1,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,31,19,3,26,26,30,30,13,1,83,3,10,2,2,61,36,1,2,0,89,8,2,1,0,83,0,0,13,4,81,7,0,9,3,16,0,0,0,84,82,6,8,2,2,99,1
7,Kharkiv Oblast,UA-63,22,26,18,1,33,22,31,27,1,19,95,1,1,0,3,98,2,0,0,0,98,1,0,1,0,65,0,1,4,30,95,0,3,1,1,96,3,0,0,1,91,0,8,0,1,99,1
8,Khersons'ka oblast,UA-65,22,30,17,6,25,36,38,26,0,0,80,4,0,0,16,68,22,0,3,7,95,5,0,0,0,4,0,0,96,0,95,0,0,5,0,100,0,0,0,0,91,0,9,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,29,16,1,29,24,30,27,18,1,81,4,8,1,6,69,26,1,4,0,87,4,0,9,0,82,0,4,10,4,10,89,0,1,0,73,7,14,1,5,76,15,2,4,3,97,3
10,Kirovohrads'ka oblast,UA-35,23,37,15,2,23,28,33,32,7,0,83,0,7,0,10,85,3,10,2,0,96,2,0,2,0,80,0,1,14,5,90,6,2,2,0,88,6,6,0,0,23,0,1,76,0,98,2
11,Kyiv city,UA-30,22,30,15,3,30,15,18,17,50,0,87,6,4,1,2,80,16,1,2,1,86,2,0,12,0,74,0,3,16,7,73,7,7,3,10,91,2,5,0,2,81,3,9,3,4,97,3
12,Kyivs'ka oblast,UA-32,16,35,21,2,26,16,17,18,49,0,82,6,10,0,2,80,16,0,2,2,91,6,0,3,0,87,0,0,10,3,78,11,0,1,10,96,1,3,0,0,94,0,4,2,0,35,65
