,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,22,37,13,4,24,29,26,27,16,2,85,8,5,0,2,89,7,0,1,3,88,0,0,7,5,85,0,0,9,6,12,0,87,0,1,85,8,6,0,1,87,3,2,4,4,97,3
1,Chernihivs'ka oblast,UA-74,28,37,11,0,24,27,26,25,22,0,80,5,15,0,0,91,6,3,0,0,97,0,0,3,0,24,0,74,1,1,82,6,6,3,3,91,3,3,0,3,97,0,3,0,0,97,3
2,Chernivets'ka oblast,UA-77,26,31,19,3,21,23,31,39,7,0,75,7,16,2,0,85,13,0,2,0,87,3,2,8,0,73,0,0,16,11,5,0,0,95,0,92,0,5,0,3,79,15,4,0,2,97,3
3,Crimea,UA-43,17,38,20,0,25,36,36,28,0,0,100,0,0,0,0,39,0,0,0,61,100,0,0,0,0,87,0,0,10,3,100,0,0,0,0,99,0,1,0,0,97,0,1,0,2,100,0
4,Dnipropetrovsk Oblast,UA-12,21,34,16,4,25,35,31,31,2,1,60,1,36,0,3,59,9,32,0,0,97,0,0,3,0,78,0,2,9,11,91,1,1,4,3,93,4,2,0,1,84,1,6,5,4,99,1
5,Donetsk Oblast,UA-14,20,31,21,4,24,35,37,28,0,0,100,0,0,0,0,89,1,0,0,10,98,0,1,1,0,80,0,0,10,10,96,3,0,0,1,98,1,0,0,1,96,0,3,1,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,17,40,16,3,24,32,29,30,9,0,80,4,11,1,4,61,37,2,0,0,92,3,0,5,0,94,0,0,5,1,82,1,3,14,0,13,0,0,0,87,89,5,3,1,2,100,0
7,Kharkiv Oblast,UA-63,18,35,18,4,25,26,22,26,1,25,95,1,3,0,1,92,5,1,1,1,98,0,0,2,0,64,0,0,3,33,95,0,0,3,2,99,0,0,0,1,92,0,8,0,0,100,0
8,Khersons'ka oblast,UA-65,16,34,20,4,26,36,41,20,0,3,88,4,0,0,8,82,4,3,7,4,100,0,0,0,0,4,0,0,96,0,96,0,0,0,4,100,0,0,0,0,96,4,0,0,0,96,4
9,Khmel'nyts'ka oblast,UA-68,18,35,18,4,25,28,34,22,14,2,86,1,9,3,1,73,18,3,5,1,84,2,1,13,0,89,0,0,11,0,9,89,0,1,1,81,1,14,0,4,79,18,0,0,3,100,0
10,Kirovohrads'ka oblast,UA-35,18,35,17,3,27,32,27,32,7,2,75,5,15,0,5,76,15,8,1,0,98,2,0,0,0,90,0,0,10,0,81,3,13,2,1,90,0,8,0,2,22,1,0,76,1,98,2
11,Kyiv city,UA-30,19,32,16,4,29,15,16,18,50,1,81,8,8,1,2,47,47,3,3,0,73,2,0,25,0,70,0,4,14,12,56,13,8,7,16,66,3,25,0,6,62,16,11,1,10,91,9
12,Kyivs'ka oblast,UA-32,19,33,16,4,28,19,19,15,47,0,85,4,11,0,0,85,13,1,1,0,92,4,0,3,1,87,0,2,8,3,83,5,4,1,7,93,2,3,0,2,90,0,6,2,2,40,60
13,Luhans'ka oblast,UA-09,16,41,20,1,22,35,39,26,0,0,98,0,2,0,0,98,0,0,0,2,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0
14,Lviv Oblast,UA-46,22,33,17,3,25,25,27,35,10,3,80,6,10,1,3,6,93,0,1,0,88,3,0,9,0,81,0,1,10,8,68,5,4,15,8,72,3,17,0,8,57,10,18,1,14,99,1
