,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,17,31,20,3,29,27,31,25,17,0,97,2,0,1,0,93,1,3,3,0,96,2,1,1,0,49,0,0,51,0,100,0,0,0,0,99,0,0,1,0,97,2,0,1,0,93,1,0,3,3,96,0,1,3,0,37,0,0,63,0,97,0,3,0,0,99,0,0,1,0,96,4
1,Chernihivs'ka oblast,UA-74,20,31,19,5,25,37,28,20,15,0,97,3,0,0,0,97,0,0,3,0,52,0,0,48,0,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,90,7,0,3,0,93,4,0,0,3,43,0,0,57,0,97,3,0,0,0,93,0,3,0,4,97,0,0,0,3,90,10
2,Chernivets'ka oblast,UA-77,20,30,20,2,28,29,39,27,5,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,62,0,2,0,36,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,57,0,2,1,40,97,0,1,0,2,100,0,0,0,0,100,0
3,Crimea,UA-43,19,31,20,2,28,34,37,29,0,0,100,0,0,0,0,56,0,0,44,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,33,16,3,28,35,32,32,1,0,93,0,6,1,0,99,1,0,0,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,0,8,98,1,0,1,0,99,0,0,0,1,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
5,Donetsk Oblast,UA-14,18,34,19,3,26,32,37,30,1,0,97,0,0,3,0,97,1,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,3,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,15,32,23,5,25,25,33,33,9,0,99,0,1,0,0,95,4,0,1,0,99,0,0,0,1,100,0,0,0,0,60,0,0,0,40,99,1,0,0,0,99,0,0,0,1,90,1,0,9,0,97,2,0,0,1,100,0,0,0,0,49,0,0,0,51,98,1,1,0,0,98,2
7,Kharkiv Oblast,UA-63,19,31,19,3,28,31,35,34,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,6,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,99,0,1,0,0,100,0
8,Khersons'ka oblast,UA-65,24,30,18,5,23,33,34,30,3,0,100,0,0,0,0,97,0,0,3,0,78,0,0,0,22,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,3,0,66,0,0,0,34,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,22,35,18,1,24,30,27,28,15,0,95,3,0,2,0,97,2,0,1,0,95,4,1,0,0,47,0,52,0,1,95,3,0,2,0,95,4,0,0,1,92,0,2,5,1,93,2,1,4,0,95,0,5,0,0,42,0,57,0,1,92,3,0,5,0,93,6,0,0,1,99,1
