,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,23,34,15,2,26,20,23,19,38,0,98,0,0,0,2,98,0,0,0,2,90,4,2,0,4,40,0,0,60,0,98,0,2,0,0,96,0,0,2,2,83,12,4,1,0,96,0,2,2,0,88,2,6,0,4,29,0,0,71,0,96,0,4,0,0,92,2,0,4,2,83,17
1,Chernihivs'ka oblast,UA-74,25,32,10,5,28,18,26,20,36,0,92,0,0,8,0,96,4,0,0,0,49,0,2,49,0,100,0,0,0,0,92,0,8,0,0,100,0,0,0,0,85,3,8,4,0,88,8,0,4,0,34,0,0,66,0,88,4,0,4,4,85,3,12,0,0,88,0,0,4,8,88,12
2,Chernivets'ka oblast,UA-77,20,27,21,5,27,18,33,24,25,0,96,2,2,0,0,96,0,0,2,2,88,10,0,0,2,64,0,3,0,33,96,0,0,0,4,90,6,0,0,4,92,4,0,2,2,92,2,2,2,2,82,1,12,3,2,55,0,2,1,42,88,0,4,0,8,88,6,0,2,4,90,10
3,Crimea,UA-43,20,32,21,2,25,27,38,35,0,0,100,0,0,0,0,51,0,0,49,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,34,16,2,27,32,32,32,4,0,88,0,10,1,1,95,1,0,2,2,95,2,0,0,3,99,0,0,1,0,99,1,0,0,0,98,0,1,1,0,81,1,1,0,17,94,1,4,1,0,92,2,2,1,3,98,1,0,1,0,98,2,0,0,0,98,0,1,1,0,97,3
5,Donetsk Oblast,UA-14,22,32,18,3,25,30,36,32,2,0,94,0,0,6,0,97,0,0,3,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,13,1,1,0,97,1,0,1,1,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,17,27,19,5,32,16,21,31,32,0,97,2,1,0,0,95,2,0,0,3,88,3,4,2,3,96,0,2,2,0,61,2,1,0,36,96,1,0,0,3,93,2,1,3,1,89,3,0,8,0,86,5,4,2,3,92,1,4,2,1,30,1,0,0,69,94,3,0,0,3,95,5
7,Kharkiv Oblast,UA-63,19,33,17,4,27,26,32,37,2,3,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,86,0,14,0,0,99,0,0,1,0,98,0,1,1,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,20,34,16,3,27,27,33,33,7,0,98,2,0,0,0,92,0,2,6,0,59,0,1,0,40,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,5,0,88,2,5,2,3,36,2,0,1,61,98,0,2,0,0,98,0,0,0,2,98,0,0,0,2,100,0
9,Khmel'nyts'ka oblast,UA-68,21,34,14,2,29,19,15,23,43,0,96,2,1,1,0,96,3,0,0,1,85,10,1,3,1,41,0,58,1,0,91,3,5,0,1,99,0,0,0,1,87,9,0,3,1,93,4,0,3,0,83,1,10,5,1,31,0,68,1,0,82,6,9,2,1,97,1,0,0,2,91,9
10,Kirovohrads'ka oblast,UA-35,16,39,10,2,33,27,32,24,17,0,93,3,4,0,0,90,7,3,0,0,87,6,0,0,7,83,3,0,14,0,93,0,7,0,0,57,0,0,43,0,84,6,0,3,7,90,0,0,7,3,84,0,6,3,7,79,3,0,15,3,79,6,9,3,3,45,0,1,54,0,93,7
11,Kyiv city,UA-30,20,32,16,2,30,13,15,19,53,0,98,1,0,1,0,95,3,0,1,1,94,2,1,2,1,97,0,1,1,1,92,3,1,3,1,97,0,1,1,1,90,6,2,2,0,89,2,1,7,1,90,2,3,3,2,94,1,2,2,1,85,6,2,3,4,95,0,1,1,3,86,14
