,geoName,geoCode,a,the,and,be,of,in,to,Київ,Харківська область,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,Львівська область,Миколаївська область,Севастополь,Луганська область,Вінницька область,Криму,Чернігівська область,Херсонська область,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,Київська область,Харківська,Одеська,Дніпропетровська,Донецька,Запорізька,Львівська,Миколаївська,Луганська,Вінницька,Чернігівська,Херсонська,Полтавська,Хмельницька,Черкаська,Чернівецька,Житомирська,Сумська,Рівненська,Івано-Франківська,Тернопільська,Закарпатська,Кіровоградська,Волинська,Київська
0,Cherkas'ka oblast,UA-71,0.25675675675675674,0.5,0.21621621621621623,0.02702702702702703,0.35135135135135137,0.5625,0.5833333333333334,0.4375,0.0,0.0,0.0,0.0,0.03763440860215053,0.01020408163265306,0.0,0.0,0.0,0.0,0.027472527472527472,0.010989010989010988,0.010989010989010988,0.011627906976744186,0.011627906976744186,0.6395348837209301,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.010989010989010988,0.0,0.0,0.0,0.015789473684210527,0.010526315789473684,0.01515151515151515,0.0,1.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.015789473684210527,0.010526315789473684,0.03763440860215053
1,Chernihivs'ka oblast,UA-74,0.2692307692307693,0.5384615384615385,0.06730769230769232,0.06730769230769232,0.4038461538461539,0.3400809716599191,0.19838056680161945,0.3400809716599191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8785425101214575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665514261019879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665514261019879,0.0
2,Chernivets'ka oblast,UA-77,0.5882352941176471,1.0,0.5294117647058824,0.14705882352941177,0.6764705882352942,0.9032258064516129,0.9354838709677419,0.3870967741935484,0.0,0.0,0.030927835051546386,0.0,0.0,0.0,0.0,0.0,0.0,0.03191489361702128,0.0,0.0,0.03191489361702128,0.0,0.01694915254237288,0.0,0.6779661016949153,0.0,0.0,0.0,0.030927835051546386,0.06382978723404256,0.0,0.0,0.0,0.0,0.0,0.03191489361702128,0.03191489361702128,0.0,0.0,0.0,0.030927835051546386,0.0,0.03260869565217391,0.021739130434782608,0.03260869565217391,0.0,0.019230769230769232,0.0,0.9038461538461539,0.0,0.0,0.09195402298850575,0.05747126436781609,0.06382978723404256,0.0,0.0,0.0,0.0
3,Crimea,UA-43,0.5490196078431373,0.47058823529411764,0.43137254901960786,0.0392156862745098,0.47058823529411764,0.7843137254901961,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009603841536614645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Dnipropetrovsk Oblast,UA-12,0.5555555555555556,1.0,0.3611111111111111,0.05555555555555555,0.8055555555555556,0.823529411764706,0.9117647058823528,0.2058823529411765,0.0,0.0,0.10112359550561797,0.0,0.02247191011235955,0.0,0.021052631578947368,0.031578947368421054,0.0,0.0,0.020618556701030927,0.010309278350515464,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.0,0.010526315789473684,0.0,0.021052631578947368,0.021052631578947368,0.02127659574468085,0.010638297872340425,0.010638297872340425,0.02127659574468085,0.03614457831325301,0.012048192771084338,0.012048192771084338,0.14457831325301204,0.03260869565217392,0.043478260869565216,0.0,0.010869565217391304,0.010309278350515464,0.0,0.010309278350515464,0.010309278350515464,0.03191489361702128,0.010638297872340425,0.02127659574468085,0.0,0.021739130434782608,0.021739130434782608,0.03260869565217392,0.010869565217391304,0.03260869565217392,0.010869565217391304,0.010869565217391304,0.03260869565217392,0.041666666666666664
5,Donetsk Oblast,UA-14,0.5945945945945946,1.0,0.35135135135135137,0.08108108108108109,0.6756756756756757,0.9459459459459459,0.7567567567567568,0.0,0.0,0.0,0.0,0.07526881720430106,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.021978021978021976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.01020408163265306,0.0
6,Ivano-Frankivs'ka oblast,UA-26,0.44239631336405527,0.6857142857142857,0.39815668202764976,0.04423963133640553,0.6414746543778802,0.7428571428571429,1.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.03986710963455149,0.0,0.05581395348837209,0.015946843853820596,0.014589665653495438,0.0,0.014589665653495438,0.014589665653495438,0.0,0.014589665653495438,0.0,0.029179331306990876,0.0,0.05597667638483965,0.027988338192419825,0.629737609329446,0.014906832298136646,0.0,0.0,0.04472049689440994,0.030476190476190473,0.015238095238095236,0.015238095238095236,0.015238095238095236,0.008465608465608464,0.0,0.15238095238095237,0.0,0.015763546798029555,0.04729064039408867,0.023645320197044337,0.015763546798029555,0.015238095238095236,0.015238095238095236,0.0,0.04571428571428571,0.0,0.07032967032967032,0.03516483516483516,0.9670329670329669,0.04897959183673469,0.0,0.024489795918367346,0.05714285714285714,0.05962732919254658
7,Kharkiv Oblast,UA-63,0.5076923076923077,0.6285714285714286,0.5318681318681319,0.09670329670329669,0.6527472527472526,0.9142857142857143,1.0,0.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.019440353460972018,0.0,0.0,0.0,0.0,0.040121580547112456,0.020060790273556228,0.0,0.020060790273556228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019440353460972018,0.010476190476190476,0.4085714285714286,0.0,0.0,0.0,0.04144427001569858,0.02072213500784929,0.0,0.0,0.0,0.0,0.040121580547112456,0.020060790273556228,0.0,0.020060790273556228,0.0,0.0,0.0,0.0,0.0,0.0,0.02072213500784929,0.0,0.04144427001569858,0.019440353460972018
8,Khersons'ka oblast,UA-65,0.4558823529411765,0.7045454545454547,0.22794117647058826,0.041443850267379685,0.6423796791443851,1.0,0.5681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057346723044397474,0.057346723044397474,0.0,0.0,0.058712121212121215,0.0,0.4109848484848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05303030303030304,0.0,0.0,0.0,0.8611111111111113,0.0,0.0,0.0,0.05303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Khmel'nyts'ka oblast,UA-68,0.45098039215686275,0.8518518518518519,0.27559912854030505,0.1252723311546841,0.8017429193899782,0.6530864197530865,0.7950617283950618,0.5111111111111111,0.028395061728395062,0.0,0.0,0.017384731670445956,0.0,0.04680504680504681,0.0,0.037444037444037445,0.0,0.0,0.018124507486209616,0.03624901497241923,0.0,0.0,0.8518518518518519,0.0,0.0,0.018722018722018723,0.009361009361009361,0.05616605616605617,0.0,0.017384731670445956,0.0,0.0,0.0,0.009361009361009361,0.07488807488807489,0.0,0.0,0.019582801191996596,0.019582801191996596,0.08812260536398468,0.0,0.009361009361009361,0.018722018722018723,0.05616605616605617,0.0,0.0,1.0,0.0,0.0,0.019810508182601206,0.029715762273901807,0.07924203273040482,0.009905254091300603,0.03549382716049383,0.0,0.0,0.0,0.017384731670445956
10,Kirovohrads'ka oblast,UA-35,0.4495614035087719,0.719298245614035,0.2697368421052631,0.15734649122807015,0.6518640350877193,0.7725795971410006,0.9324236517218972,0.2131254061078622,0.026640675763482776,0.0,0.08363933088535291,0.03345573235414116,0.0,0.0,0.0,0.0,0.0,0.03996101364522417,0.03996101364522417,0.0,0.0,0.03785780240073868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719298245614035,0.0,0.0,0.04181966544267646,0.0,0.0752753977968176,0.03785780240073868,0.0,0.0,0.0,0.0,0.03785780240073868,0.0,0.0,0.03785780240073868,0.0,0.0,0.0,0.0,0.0,0.0,0.03785780240073868,0.0,0.03508771929824561,1.0,0.0,0.03785780240073868
11,Kyiv city,UA-30,0.1984029484029484,0.43181818181818177,0.17506142506142505,0.02334152334152334,0.3384520884520884,0.40909090909090906,0.43181818181818177,1.0,0.0,0.0,0.00436179981634527,0.0,0.0,0.004406307977736549,0.0,0.0,0.004406307977736549,0.008996212121212122,0.004498106060606061,0.004498106060606061,0.0,0.0,0.0,0.013355201499531394,0.0,0.008903467666354263,0.0,0.004451733833177132,0.0,0.0,0.0,0.0,0.0,0.013781431334622824,0.013781431334622824,0.0,0.0,0.004545454545454545,0.0,0.013636363636363636,0.004545454545454545,0.004593810444874275,0.013781431334622824,0.00918762088974855,0.0,0.0,0.0,0.013355201499531394,0.0,0.008903467666354263,0.0,0.004451733833177132,0.0,0.0,0.0,0.0,0.0,0.02756286266924565
