,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,18,37,12,4,29,28,28,27,17,0,100,0,0,0,0,92,2,2,4,0,96,0,4,0,0,46,3,2,49,0,100,0,0,0,0,98,0,0,2,0,92,4,2,2,0,96,0,0,2,2,98,0,0,0,2,37,2,1,60,0,98,0,0,2,0,96,0,0,2,2,96,4
1,Chernihivs'ka oblast,UA-74,20,35,10,2,33,25,34,21,20,0,94,0,0,6,0,94,6,0,0,0,44,3,0,53,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,6,0,6,0,39,0,2,59,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,6
2,Chernivets'ka oblast,UA-77,22,30,14,2,32,26,38,26,10,0,100,0,0,0,0,92,0,0,8,0,96,0,0,0,4,57,0,0,0,43,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,51,0,0,0,49,92,4,0,0,4,88,8,4,0,0,96,4
3,Crimea,UA-43,26,29,24,2,19,31,33,36,0,0,100,0,0,0,0,42,0,0,58,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,39,17,1,23,38,30,30,1,1,92,0,6,2,0,96,1,0,0,3,94,1,2,3,0,97,1,0,2,0,100,0,0,0,0,97,2,1,0,0,87,0,3,1,9,93,5,0,2,0,94,2,1,3,0,96,2,0,2,0,96,0,2,1,1,96,2,1,1,0,97,3
5,Donetsk Oblast,UA-14,23,33,15,0,29,35,34,31,0,0,96,0,0,4,0,90,0,0,10,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,98,0,2,0,0,98,0,0,0,2,100,0,0,0,0,96,4
6,Ivano-Frankivs'ka oblast,UA-26,19,34,17,3,27,32,29,32,7,0,93,0,2,2,3,86,5,1,0,8,98,0,0,0,2,97,0,2,0,1,56,0,0,0,44,100,0,0,0,0,93,0,3,2,2,80,5,3,11,1,91,7,0,0,2,95,1,2,0,2,46,0,0,0,54,97,0,3,0,0,97,3
7,Kharkiv Oblast,UA-63,18,35,17,1,29,32,24,29,1,14,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,66,0,33,0,1,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,95,0,3,2,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,17,32,14,3,34,39,34,27,0,0,100,0,0,0,0,100,0,0,0,0,64,0,0,0,36,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,5,0,0,54,3,0,0,43,95,0,5,0,0,95,0,5,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,22,33,12,1,32,29,28,32,11,0,98,0,2,0,0,100,0,0,0,0,96,4,0,0,0,44,0,54,0,2,89,11,0,0,0,96,0,2,2,0,96,0,2,0,2,93,0,2,5,0,93,0,7,0,0,38,1,60,0,1,87,11,2,0,0,91,0,7,2,0,96,4
10,Kirovohrads'ka oblast,UA-35,25,33,18,3,21,29,35,32,2,2,92,0,0,4,4,92,0,4,0,4,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,57,0,0,43,0,92,0,8,0,0,85,4,7,0,4,88,4,4,0,4,92,4,0,4,0,92,4,0,4,0,43,0,0,57,0,100,0
11,Kyiv city,UA-30,17,33,19,5,26,17,16,21,46,0,97,0,0,2,1,97,0,1,2,0,95,0,1,4,0,96,2,0,2,0,98,1,0,1,0,100,0,0,0,0,88,10,1,1,0,94,2,1,2,1,94,1,1,4,0,94,2,1,3,0,95,3,0,2,0,99,0,0,1,0,87,13
12,Kyivs'ka oblast,UA-32,21,32,18,3,26,18,15,22,45,0,100,0,0,0,0,99,0,1,0,0,92,1,4,2,1,90,0,1,7,2,95,5,0,0,0,100,0,0,0,0,52,47,1,0,0,93,2,2,1,2,90,0,4,5,1,90,0,1,7,2,92,6,0,1,1,100,0,0,0,0,46,54
13,Luhans'ka oblast,UA-09,18,42,11,2,27,43,31,26,0,0,100,0,0,0,0,89,0,0,9,2,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,21,32,17,3,27,26,25,33,16,0,94,1,2,2,1,54,43,2,0,1,94,4,1,0,1,95,0,1,3,1,95,0,0,2,3,92,2,1,0,5,92,3,2,1,2,46,2,1,50,1,92,4,2,1,1,93,1,2,3,1,93,1,0,3,3,90,3,2,0,5,94,6
15,Mykolaivs'ka oblast,UA-48,20,35,20,5,20,37,31,31,1,0,100,0,0,0,0,60,0,40,0,0,96,0,0,0,4,100,0,0,0,0,100,0,0,0,0,96,0,0,4,0,92,0,4,4,0,57,0,0,0,43,92,0,4,0,4,96,4,0,0,0,100,0,0,0,0,92,0,0,8,0,100,0
16,Odessa Oblast,UA-51,21,30,19,1,29,33,29,37,1,0,88,12,0,0,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,80,0,1,19,0,97,0,2,1,0,99,1,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
17,Poltavs'ka oblast,UA-53,22,39,13,2,24,35,23,32,9,1,96,0,0,3,1,99,1,0,0,0,97,0,3,0,0,77,23,0,0,0,93,0,6,1,0,100,0,0,0,0,92,1,7,0,0,91,4,1,4,0,99,1,0,0,0,65,34,0,1,0,93,0,6,1,0,100,0,0,0,0,96,4
18,Rivnens'ka oblast,UA-56,19,35,18,2,26,28,23,30,19,0,94,0,3,3,0,97,0,0,0,3,94,0,0,3,3,94,0,3,3,0,36,0,0,64,0,94,0,0,0,6,94,0,0,3,3,94,3,0,3,0,91,3,0,3,3,89,3,6,2,0,30,0,0,70,0,86,0,0,0,14,94,6
19,Sevastopol' city,UA-40,16,37,13,0,34,49,27,21,3,0,100,0,0,0,0,4,0,0,96,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,20,32,16,0,32,36,31,33,0,0,100,0,0,0,0,100,0,0,0,0,96,0,4,0,0,92,8,0,0,0,66,0,34,0,0,100,0,0,0,0,92,0,4,0,4,100,0,0,0,0,100,0,0,0,0,92,8,0,0,0,47,0,53,0,0,100,0,0,0,0,92,8
21,Ternopil's'ka oblast,UA-61,23,36,17,1,23,33,23,30,14,0,98,2,0,0,0,93,7,0,0,0,91,0,5,0,4,95,0,3,0,2,91,0,0,2,7,55,44,1,0,0,96,0,2,2,0,91,2,0,7,0,95,0,0,0,5,93,0,2,0,5,87,0,0,2,11,47,51,1,0,1,93,7
22,Vinnyts'ka oblast,UA-05,30,29,13,3,25,24,26,39,11,0,93,0,2,4,1,89,0,6,1,4,39,61,0,0,0,91,0,5,4,0,94,6,0,0,0,98,0,0,2,0,93,1,4,0,2,84,4,1,2,9,30,1,69,0,0,89,0,6,3,2,87,13,0,0,0,96,0,2,2,0,94,6
23,Volyns'ka oblast,UA-07,16,40,20,1,23,36,28,22,14,0,90,0,10,0,0,97,0,0,3,0,93,7,0,0,0,97,0,0,3,0,97,0,0,3,0,49,0,0,0,51,87,3,0,0,10,93,0,0,7,0,93,0,7,0,0,93,4,0,3,0,97,0,0,3,0,42,0,0,0,58,93,7
24,Zakarpats'ka oblast,UA-21,41,30,14,1,14,31,21,39,8,1,98,0,2,0,0,94,0,0,4,2,98,0,0,2,0,100,0,0,0,0,98,2,0,0,0,57,0,43,0,0,89,4,5,0,2,91,2,2,5,0,96,2,0,2,0,100,0,0,0,0,98,2,0,0,0,49,0,51,0,0,96,4
