,geoName,geoCode,a,the,and,be,of,the1,in,to,Я йду,Я збираюся,to2,Збиратися,від'їжджаючи від,переїзд до,відхід від,to3,Подорожі,напрями до,як дістатися,як піти,to4,найшвидший вихід за межі України,подорожувати,консультації з питань подорожей,Бігти,to5,як далеко,більше не може залишатися тут,Я тут не в безпеці,небезпечна територія,to6,будинок зруйнований,будинок згорів,де безпечно,безпечні місця для поїздки,to7,який найбезпечніший маршрут до,мирний район України,де найбезпечніше місце в Україні,"областей, яких слід уникати в україні",to8,притулки біля мене,табори біженців поблизу,екстрена допомога біля мене,допомога сша поруч зі мною,to9,гуманітарна допомога ООН,американський червоний хрест,аварійне укриття,гуманітарна допомога поруч зі мною,to10,де знаходиться найближча військова база,безпечний притулок,зона безпеки,перетин кордону,to11,який кордон я повинен перетнути,легкий перетин кордону,притулок,як подати заяву про надання притулку,to12,віза,як отримати візу,де отримати візу,паспорт,to13,як отримати паспорт,де отримати паспорт,посольство біля мене,консульство біля мене,to14,тимчасовий захист,"гостинні країни, що межують з Україною",де прогулятися через кордон?,як ви перетинаєте кордон?,to15,дорожні умови,дорога закрита,дорога перекрита,трафік,to16,найдешевші квитки на,найшвидші квитки на,бронювання квитка на,квитки на літак,to17,рейси до,рейси за межі України,аеропорт біля мене,аеропорт,to18,wizz air,ryanair,міжнародні авіалінії України,yanair,to19,скайап,"авіакомпанії ""мотор січ""",авіакомпанії Jonika,bravo airways,to20,бджолина авіакомпанія,іса повітря,повітряні океанські авіалінії,наступний рейс до,to21,квитки на човен,човнів до,Одеський порт,порт Південний,to22,Миколаївський порт,порт Чорноморськ,порт Рені,порт Ізмаїл,to23,порт Усть-Дунайськ,Поромі,укрферрі,морський порт Батумі,to24,як перетнути Чорне море,найшвидший шлях через Чорне море,квитки на автобус,Центральний автовокзал Києва,to25,аль-транс,бенц експрес,наступного автобуса до,прокат автомобілів,to26,квитки на поїзд,Укрзалізниця,залізничний вокзал біля мене,дарниця,to27,залізниці України,наступним поїздом до,гуртожиток,готель,to28,Мотель,тимчасове житло,airbnb,домовик,to29,додому,Банкомат,зняття готівки,обмін валюти,to30,ломбард,банки відкриті,кредитні картки,продуктові магазини біля мене,to31,метро,станція метро «Хрещатик»
0,Cherkas'ka oblast,UA-71,23,28,21,3,25,28,26,45,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,80,1,0,0,19,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,10,0,0,94,0,0,0,6,100,0,0,0,0,90,10,0,0,0,98,2,0,0,0,96,4,0
1,Chernihivs'ka oblast,UA-74,18,37,9,0,36,58,14,28,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,0,33,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,33,0,0,0,67,33,0,0,0,100,0,0
2,Chernivets'ka oblast,UA-77,20,35,16,3,26,39,25,36,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,91,0,0,0,9,100,0,0,0,0,88,0,0,0,12,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,0,0,0,21,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,86,0,14,0,0,100,0,0,0,0,100,0,0,0,0,86,5,9,0,0,94,6,0,0,0,83,17,0
3,Crimea,UA-43,20,32,17,3,28,29,35,36,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,91,9,0
4,Dnipropetrovsk Oblast,UA-12,17,33,20,3,27,33,29,38,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,99,0,0,1,0,87,0,0,0,13,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,98,1,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,0,21,0,0,98,0,0,0,2,99,1,0,0,0,91,4,5,0,0,97,3,0,0,0,82,18,0
5,Donetsk Oblast,UA-14,23,32,14,4,27,33,36,31,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,0,0,0,11,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,5,0,0,97,0,0,0,3,99,0,0,1,0,99,1,0,0,0,100,0,0,0,0,95,5,0
6,Ivano-Frankivs'ka oblast,UA-26,24,37,8,0,31,35,27,38,0,0,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,0,8,99,0,0,1,0,83,0,0,0,17,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,0,0,6,99,1,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,84,0,16,0,0,89,0,0,0,11,100,0,0,0,0,91,9,0,0,0,99,1,0,0,0,85,15,0
7,Kharkiv Oblast,UA-63,18,29,15,2,36,32,33,35,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,100,0,0,0,0,93,0,0,0,7,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,91,0,9,0,0,98,0,0,0,2,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,84,16,0
8,Khersons'ka oblast,UA-65,23,27,13,0,37,27,37,36,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,69,0,0,0,31,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,21,0,0,0,100,0,0,0,0,92,8,0
9,Khmel'nyts'ka oblast,UA-68,12,30,23,1,34,32,34,33,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,79,0,0,0,21,100,0,0,0,0,100,0,0,0,0,92,0,0,0,8,100,0,0,0,0,92,0,0,0,8,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,17,0,0,92,0,0,0,8,100,0,0,0,0,81,7,10,2,0,98,2,0,0,0,87,13,0
