,geoName,geoCode,a,the,and,be,of,the1,in,to,Кишинів,Тирасполь,the2,Бельці,Бухарест,Клуж-Напока,Тімішоара,the3,Ясси,Констанца,Брашов,Галац,the4,Варшава,Краків,Лодзь,Вроцлав,the5,Познань,Гданськ,Щецин,Бидгощ,the6,Люблін,Білосток,Катовіце,Мінськ,the7,Гомель,Могилів,Вітебськ,Жодзіна,the8,Гродна,Брест,Будапешт,Дебрецен,the9,Сегед,Мішкольц,Братислава,Кошице,the10,Жиліна,Пряшів
0,Cherkas'ka oblast,UA-71,9,41,11,9,30,48,20,27,5,0,100,0,0,0,0,100,0,0,0,0,88,12,0,0,0,100,0,0,0,0,91,0,0,9,0,100,0,0,0,0,78,0,11,11,0,100,0,0,0,0,100,0,0
1,Chernihivs'ka oblast,UA-74,20,46,8,0,26,59,13,28,0,0,100,0,0,0,0,100,0,0,0,0,81,0,19,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
2,Chernivets'ka oblast,UA-77,19,38,19,10,14,41,23,36,0,0,100,0,0,0,0,76,24,0,0,0,81,0,0,0,19,89,11,0,0,0,69,0,0,31,0,100,0,0,0,0,100,0,0,0,0,84,0,0,0,16,100,0,0
3,Crimea,UA-43,0,42,27,5,26,48,21,31,0,0,100,0,0,0,0,100,0,0,0,0,87,0,0,0,13,100,0,0,0,0,100,0,0,0,0,92,8,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
4,Dnipropetrovsk Oblast,UA-12,12,39,13,4,32,41,28,31,0,0,91,0,9,0,0,100,0,0,0,0,88,10,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
5,Donetsk Oblast,UA-14,23,32,18,0,27,44,32,24,0,0,84,0,16,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,0,0,17,75,0,0,25,0,100,0,0
6,Ivano-Frankivs'ka oblast,UA-26,25,38,13,0,24,42,26,28,4,0,82,0,18,0,0,100,0,0,0,0,89,11,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,83,0,17,0,0,100,0,0,0,0,100,0,0
7,Kharkiv Oblast,UA-63,21,36,14,4,25,35,29,34,0,2,93,0,7,0,0,94,0,6,0,0,82,18,0,0,0,100,0,0,0,0,93,0,0,0,7,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
8,Khersons'ka oblast,UA-65,0,0,0,0,100,75,0,25,0,0,72,0,28,0,0,100,0,0,0,0,100,0,0,0,0,56,0,44,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
9,Khmel'nyts'ka oblast,UA-68,31,43,6,0,20,46,13,41,0,0,100,0,0,0,0,100,0,0,0,0,70,18,0,0,12,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
10,Kirovohrads'ka oblast,UA-35,39,41,0,0,20,48,29,23,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,17,0,0,0,72,0,0,0,28,83,17,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
11,Kyiv city,UA-30,15,37,15,2,31,34,27,39,0,0,99,0,1,0,0,100,0,0,0,0,92,7,0,0,1,100,0,0,0,0,98,0,0,0,2,100,0,0,0,0,99,0,0,1,0,99,1,0,0,0,100,0,0
12,Kyivs'ka oblast,UA-32,15,38,15,3,29,48,25,27,0,0,96,0,4,0,0,100,0,0,0,0,90,5,0,5,0,100,0,0,0,0,94,6,0,0,0,100,0,0,0,0,88,0,0,12,0,97,0,0,0,3,100,0,0
13,Luhans'ka oblast,UA-09,21,45,0,0,34,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
14,Lviv Oblast,UA-46,17,38,11,2,32,37,26,37,0,0,100,0,0,0,0,100,0,0,0,0,87,9,4,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,100,0,0
15,Mykolaivs'ka oblast,UA-48,33,23,14,0,30,53,23,24,0,0,100,0,0,0,0,59,0,41,0,0,100,0,0,0,0,100,0,0,0,0,69,31,0,0,0,100,0,0,0,0,37,0,0,63,0,100,0,0,0,0,100,0,0
16,Odessa Oblast,UA-51,11,39,11,2,37,44,24,32,0,0,100,0,0,0,0,100,0,0,0,0,89,11,0,0,0,94,0,6,0,0,100,0,0,0,0,100,0,0,0,0,84,0,4,12,0,96,4,0,0,0,100,0,0
17,Poltavs'ka oblast,UA-53,16,39,21,0,24,51,18,31,0,0,100,0,0,0,0,100,0,0,0,0,94,0,6,0,0,100,0,0,0,0,95,0,0,0,5,100,0,0,0,0,80,0,0,20,0,100,0,0,0,0,100,0,0
18,Rivnens'ka oblast,UA-56,15,44,13,0,28,41,35,24,0,0,100,0,0,0,0,100,0,0,0,0,91,0,0,9,0,72,0,7,0,21,100,0,0,0,0,100,0,0,0,0,67,0,33,0,0,100,0,0,0,0,88,12,0
19,Sevastopol' city,UA-40,30,49,0,21,0,47,29,24,0,0,57,0,43,0,0,100,0,0,0,0,74,26,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
20,Sums'ka oblast,UA-59,13,47,9,0,31,45,29,26,0,0,86,0,14,0,0,100,0,0,0,0,100,0,0,0,0,62,0,16,22,0,100,0,0,0,0,100,0,0,0,0,74,0,14,12,0,100,0,0,0,0,100,0,0
21,Ternopil's'ka oblast,UA-61,19,31,11,6,33,13,39,48,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,45,55,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
22,Vinnyts'ka oblast,UA-05,17,31,10,4,38,41,27,28,4,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
23,Volyns'ka oblast,UA-07,22,37,10,9,22,32,37,31,0,0,64,0,36,0,0,100,0,0,0,0,63,13,0,0,24,86,0,0,14,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0
24,Zakarpats'ka oblast,UA-21,35,28,6,0,31,36,27,37,0,0,100,0,0,0,0,100,0,0,0,0,89,0,11,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,0,12,0,0,82,0,0,18,0,100,0,0
25,Zaporiz'ka oblast,UA-23,27,32,34,7,0,34,19,35,0,12,100,0,0,0,0,79,0,21,0,0,88,0,12,0,0,64,36,0,0,0,75,25,0,0,0,61,39,0,0,0,51,0,19,30,0,100,0,0,0,0,100,0,0
26,Zhytomyrs'ka oblast,UA-18,10,52,5,8,25,53,22,21,0,4,100,0,0,0,0,100,0,0,0,0,86,14,0,0,0,76,0,24,0,0,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,100,0,0,0,0,100,0,0
