,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харків,the2,Одеса,Дніпро,Донецьк,Запоріжжя,the3,Львів,Кривий Ріг,Миколаїв,Севастополь,the4,Маріуполь,Луганськ,Вінниця,Макіївка,the5,Сімферополь,Чернігів,Херсон,Полтава,the6,Хмельницький,Черкаси,Чернівці,Житомир,the7,Суми,Рівне,Горлівка,Івано-Франківськ,the8,Тернопіль,Ужгород,Кропивницький,луцьк,the9,Біла Церква
0,Cherkas'ka oblast,UA-71,9,41,11,9,30,31,20,24,20,5,76,0,15,0,9,80,11,9,0,0,91,0,0,9,0,100,0,0,0,0,15,0,85,0,0,77,14,0,9,0,100,0,0,0,0,90,10
1,Chernihivs'ka oblast,UA-74,20,46,8,0,26,42,0,26,32,0,100,0,0,0,0,90,10,0,0,0,72,15,0,13,0,30,0,66,0,4,100,0,0,0,0,100,0,0,0,0,71,0,13,0,16,100,0
2,Chernivets'ka oblast,UA-77,19,38,19,10,14,43,19,38,0,0,74,0,16,10,0,76,24,0,0,0,91,0,0,9,0,69,0,19,0,12,5,0,0,95,0,100,0,0,0,0,83,17,0,0,0,100,0
3,Crimea,UA-43,0,42,27,5,26,53,22,25,0,0,80,8,12,0,0,43,0,0,0,57,100,0,0,0,0,77,9,0,14,0,100,0,0,0,0,100,0,0,0,0,89,0,0,11,0,100,0
4,Dnipropetrovsk Oblast,UA-12,12,39,13,4,32,41,26,29,4,0,45,1,51,0,3,56,5,31,3,5,100,0,0,0,0,100,0,0,0,0,82,6,5,4,3,100,0,0,0,0,86,3,2,9,0,100,0
5,Donetsk Oblast,UA-14,23,32,18,0,27,46,32,22,0,0,100,0,0,0,0,75,0,25,0,0,87,13,0,0,0,80,0,20,0,0,77,0,9,0,14,85,15,0,0,0,80,0,20,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,38,13,0,24,38,27,26,9,0,77,8,15,0,0,55,41,0,0,4,76,14,0,10,0,86,14,0,0,0,100,0,0,0,0,16,0,0,0,84,86,0,14,0,0,100,0
7,Kharkiv Oblast,UA-63,21,36,14,4,25,23,16,24,2,35,85,0,15,0,0,84,0,16,0,0,100,0,0,0,0,84,0,0,0,16,83,0,0,9,8,100,0,0,0,0,85,0,0,15,0,100,0
8,Khersons'ka oblast,UA-65,0,0,0,0,100,100,0,0,0,0,72,0,0,0,28,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,79,21,0,0,0,45,14,26,15,0,100,0
9,Khmel'nyts'ka oblast,UA-68,31,43,6,0,20,43,18,34,5,0,71,0,14,0,15,78,11,11,0,0,76,0,0,24,0,88,0,0,12,0,8,91,0,1,0,65,0,35,0,0,65,0,35,0,0,100,0
