,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська,the2,Одеська,Дніпропетровська,Донецька,Запорізька,the3,Львівська,Миколаївська,Севастополь,Луганська,the4,Вінницька,Криму,Чернігівська,Херсонська,the5,Полтавська,Хмельницька,Черкаська,Чернівецька,the6,Житомирська,Сумська,Рівненська,Івано-Франківська,the7,Тернопільська,Закарпатська,Кіровоградська,Волинська,the8,Київська
0,Cherkas'ka oblast,UA-71,9,41,11,9,30,34,20,21,25,0,82,0,0,18,0,100,0,0,0,0,86,0,0,14,0,34,9,0,53,4,100,0,0,0,0,81,0,0,19,0,100,0
1,Chernihivs'ka oblast,UA-74,20,46,8,0,26,38,16,19,27,0,100,0,0,0,0,100,0,0,0,0,47,0,0,47,6,100,0,0,0,0,84,0,16,0,0,74,0,15,11,0,82,18
2,Chernivets'ka oblast,UA-77,19,38,19,10,14,44,15,34,0,7,100,0,0,0,0,100,0,0,0,0,76,10,0,14,0,39,5,0,7,49,100,0,0,0,0,100,0,0,0,0,88,12
3,Crimea,UA-43,0,42,27,5,26,52,24,24,0,0,91,0,0,9,0,43,0,0,57,0,100,0,0,0,0,100,0,0,0,0,86,14,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,12,39,13,4,32,40,24,30,6,0,82,2,16,0,0,93,3,4,0,0,97,3,0,0,0,100,0,0,0,0,100,0,0,0,0,96,4,0,0,0,100,0
5,Donetsk Oblast,UA-14,23,32,18,0,27,32,22,39,0,7,79,0,0,21,0,88,0,12,0,0,100,0,0,0,0,71,0,0,29,0,100,0,0,0,0,81,0,0,0,19,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,38,13,0,24,43,26,23,8,0,74,16,0,10,0,93,7,0,0,0,70,0,23,7,0,80,15,0,0,5,53,0,0,0,47,100,0,0,0,0,100,0
7,Kharkiv Oblast,UA-63,21,36,14,4,25,30,24,30,2,14,88,12,0,0,0,100,0,0,0,0,100,0,0,0,0,78,7,0,10,5,100,0,0,0,0,100,0,0,0,0,92,8
8,Khersons'ka oblast,UA-65,0,0,0,0,100,0,41,0,59,0,100,0,0,0,0,52,0,48,0,0,62,0,0,0,38,0,0,0,0,100,71,0,0,29,0,100,0,0,0,0,67,33
9,Khmel'nyts'ka oblast,UA-68,31,43,6,0,20,45,16,29,10,0,100,0,0,0,0,100,0,0,0,0,86,0,0,14,0,41,0,52,0,7,83,0,0,0,17,64,29,0,0,7,68,32
10,Kirovohrads'ka oblast,UA-35,39,41,0,0,20,40,37,11,12,0,100,0,0,0,0,68,0,0,32,0,89,0,0,0,11,66,13,0,21,0,79,0,0,21,0,45,0,5,50,0,90,10
11,Kyiv city,UA-30,15,37,15,2,31,16,14,18,52,0,93,1,0,0,6,94,4,0,1,1,98,0,2,0,0,98,2,0,0,0,96,0,0,4,0,98,0,0,2,0,86,14
12,Kyivs'ka oblast,UA-32,15,38,15,3,29,24,14,13,47,2,96,0,0,0,4,96,0,0,0,4,100,0,0,0,0,85,0,10,5,0,91,0,0,9,0,100,0,0,0,0,47,53
13,Luhans'ka oblast,UA-09,21,45,0,0,34,41,0,59,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
14,Lviv Oblast,UA-46,17,38,11,2,32,33,23,34,9,1,93,0,0,3,4,47,51,0,0,2,100,0,0,0,0,94,0,3,3,0,89,5,2,0,4,91,4,0,0,5,100,0
15,Mykolaivs'ka oblast,UA-48,33,23,14,0,30,30,28,42,0,0,56,15,29,0,0,69,0,31,0,0,69,15,0,16,0,100,0,0,0,0,74,10,0,16,0,71,0,12,17,0,83,17
16,Odessa Oblast,UA-51,11,39,11,2,37,43,24,30,3,0,74,20,3,3,0,95,0,5,0,0,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,86,14,0,0,0,100,0
17,Poltavs'ka oblast,UA-53,16,39,21,0,24,42,13,32,13,0,95,0,5,0,0,85,9,0,0,6,87,0,13,0,0,56,40,0,0,4,84,0,7,0,9,94,6,0,0,0,91,9
18,Rivnens'ka oblast,UA-56,15,44,13,0,28,39,22,23,16,0,81,0,0,19,0,100,0,0,0,0,100,0,0,0,0,90,0,10,0,0,37,0,0,63,0,91,9,0,0,0,100,0
19,Sevastopol' city,UA-40,30,49,0,21,0,32,38,17,13,0,100,0,0,0,0,4,6,0,90,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,13,47,9,0,31,38,29,19,14,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,15,0,0,0,34,6,60,0,0,100,0,0,0,0,100,0
