event_date,admin1,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
01 April 2023,Chernihiv,6069,3,24,0,240,2412,156.7119,97.7363,3,0,5043935877
01 April 2023,Donetsk,101150,50,351,93,2568,40200,2416.2289,1886.3615,70,27,84071536744
01 April 2023,Kharkiv,32368,16,128,23,1150,12864,798.4641,598.0788,18,23,26900991344
01 April 2023,Kherson,46529,23,184,28,1832,18492,1077.6608,763.0831000000001,23,1,38670175057
01 April 2023,Luhansk,20230,10,80,9,242,8040,491.0059,381.3541,19,50,16816898813
01 April 2023,Sumy,26299,13,104,0,1040,10452,668.4613,447.6359,13,0,21857055467
01 April 2023,Zaporizhia,36414,18,144,0,1440,14472,857.462,648.9276,18,0,30263615262
01 February 2023,Chernihiv,4046,2,16,7,158,1608,104.10040000000001,63.9023,3,4,3351596926
01 February 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.7697,34.7311,2,0,1675798463
01 February 2023,Donetsk,131495,67,387,192,3324,52260,3141.4818,2451.7046,91,141,108941342520
01 February 2023,Kharkiv,40460,20,160,14,1596,16080,999.5044,745.8629,35,0,33534129425
01 February 2023,Kherson,18207,10,65,23,592,7236,421.0317,297.31370000000004,13,11,15084593232
01 February 2023,Luhansk,20230,10,80,15,302,8040,492.0407,380.8102,19,0,16759195163
01 February 2023,Mykolaiv,4046,2,16,0,160,1608,93.2432,63.2896,2,0,3352202194
01 February 2023,Sumy,24276,12,96,0,960,9648,616.0345,412.9131,23,0,20115095061
01 February 2023,Zaporizhia,38437,20,138,16,1396,15276,903.0004,680.7762,19,0,31840776077
01 January 2023,Chernihiv,6069,3,24,0,240,2412,156.88139999999999,99.1065,6,0,5020129229
01 January 2023,Dnipropetrovsk,6069,3,24,7,238,2412,142.8256,103.561,5,0,5020129227
01 January 2023,Donetsk,99127,49,329,86,2494,39396,2367.6928,1848.5389,82,293,81997273826
01 January 2023,Kharkiv,42483,21,168,8,1616,16884,1047.8666,787.0274,40,10,35153003632
01 January 2023,Kherson,42483,21,161,16,1554,16884,983.7313,695.029,24,1,35147575402
01 January 2023,Kyiv City,2023,1,1,8,18,804,50.4496,30.5224,3,0,1673376409
01 January 2023,Luhansk,26299,13,76,28,536,10452,639.5358,496.3039,22,14,21755113156
01 January 2023,Mykolaiv,4046,2,16,0,160,1608,93.2656,63.1676,3,0,3358846657
01 January 2023,Sumy,26299,13,104,0,1040,10452,671.4064,445.41089999999997,26,0,21753893330
01 January 2023,Zaporizhia,18207,9,72,2,596,7236,428.6589,325.1468,18,0,15060387688
01 July 2023,Chernihiv,6069,3,24,0,240,2412,156.7234,98.3073,4,0,5067277026
01 July 2023,Dnipropetrovsk,2023,1,8,0,80,804,47.5712,34.3964,1,0,1689092342
01 July 2023,Donetsk,131495,65,387,184,3334,52260,3137.8493,2448.0923000000003,91,599,109799501371
01 July 2023,Kharkiv,32368,16,123,10,1051,12864,799.9187000000001,597.0444,21,6,27025477472
01 July 2023,Kherson,26299,13,104,43,966,10452,609.1335,432.4692,17,0,21958807527
01 July 2023,Luhansk,12138,6,41,13,108,4824,294.6633,228.65519999999998,12,55,10136375297
01 July 2023,Sumy,18207,9,72,0,720,7236,460.50939999999997,312.3416,16,0,15201831078
01 July 2023,Zaporizhia,30345,15,113,32,946,12060,712.6826,540.0502,18,31,25338206374
01 June 2023,Chernihiv,22253,11,88,0,880,8844,573.3404,354.87850000000003,20,0,18546725820
01 June 2023,Crimea,2023,2,8,7,78,804,45.7686,33.4893,2,0,1686065983
01 June 2023,Dnipropetrovsk,4046,2,16,14,156,1608,95.2066,69.0241,2,0,3372131964
01 June 2023,Donetsk,121380,61,403,153,3472,48240,2896.3519,2258.9292,101,6,101173091464
01 June 2023,Kharkiv,56644,28,210,38,1616,22512,1400.3435,1041.2338,53,128,47216536927
01 June 2023,Kherson,34391,17,136,37,1226,13668,795.1632,562.0412,25,1,28663730589
01 June 2023,Kyiv City,6069,3,24,14,236,2412,151.364,91.95060000000001,3,3,5058197950
01 June 2023,Luhansk,16184,8,57,13,268,6432,394.1536,304.2785,16,0,13490963359
01 June 2023,Sumy,12138,6,48,0,480,4824,306.7275,209.0285,11,0,10116395904
01 June 2023,Zaporizhia,56644,28,196,56,1800,22512,1331.8567,1005.1549,37,5,47221408618
01 March 2023,Chernihiv,6069,3,24,0,240,2412,155.9794,95.869,5,0,5034620263
01 March 2023,Crimea,12138,6,13,41,108,4824,269.7072,202.1207,12,0,10070437313
01 March 2023,Dnipropetrovsk,10115,5,40,0,400,4020,238.18869999999998,172.99360000000001,9,0,8391033766
01 March 2023,Donetsk,127449,63,427,136,2678,50652,3040.7782,2375.3657,107,41,105746902169
01 March 2023,Kharkiv,58667,30,225,24,2130,23316,1450.4136,1078.8138000000001,54,17,48668594269
01 March 2023,Kherson,68782,35,257,58,2574,27336,1593.2358,1125.3535,52,1,57060849000
01 March 2023,Kyiv City,2023,1,1,8,18,804,50.4496,30.5224,1,0,1678206753
01 March 2023,Luhansk,26299,15,90,29,542,10452,638.1828,497.2647,25,80,21817884590
01 March 2023,Mykolaiv,2023,1,8,0,80,804,46.6528,31.6178,2,0,1678206753
01 March 2023,Poltava,4046,2,16,0,160,1608,98.16149999999999,66.76820000000001,3,0,3356413505
01 March 2023,Sumy,28322,14,112,0,1120,11256,717.9872,482.7596,27,0,23494894562
01 March 2023,Zaporizhia,38437,20,131,26,1210,15276,903.7591,682.0776,38,0,31885928325
01 May 2023,Chernihiv,12138,6,48,7,478,4824,313.1674,197.7344,11,1,10109147884
01 May 2023,Dnipropetrovsk,4046,2,16,7,158,1608,96.1055,70.26740000000001,2,2,3369715961
01 May 2023,Donetsk,103173,51,282,168,2340,41004,2458.37,1922.4109,80,191,85927757101
01 May 2023,Kharkiv,24276,12,96,9,834,9648,599.1019,448.3734,23,9,20218295769
01 May 2023,Kherson,26299,13,104,8,976,10452,609.8969,432.172,25,0,21903153752
01 May 2023,Khmelnytskyi,2023,1,1,8,18,804,49.4128,26.998,3,0,1684857985
01 May 2023,Luhansk,4046,2,16,1,98,1608,98.74950000000001,75.9393,4,9,3369715961
01 May 2023,Mykolaiv,2023,1,8,7,78,804,46.6528,31.6178,2,0,1684857980
01 May 2023,Sumy,14161,7,56,7,558,5628,360.6615,239.3837,14,0,11794005869
01 May 2023,Zaporizhia,40460,20,149,18,1382,16080,951.4598,719.0527,28,24,33697159623
02 April 2023,Donetsk,95081,47,320,92,2392,37788,2270.2481,1770.4624,67,51,79029760447
02 April 2023,Kharkiv,26299,13,90,16,916,10452,649.2824,487.6379,15,0,21858135258
02 April 2023,Kherson,34391,17,135,0,1350,13668,797.0189,563.7917,19,0,28582303311
02 April 2023,Luhansk,22253,11,81,17,260,8844,539.9271,420.4857,22,50,18498750664
02 April 2023,Sumy,12138,6,48,7,478,4824,306.1934,208.9752,8,2,10087871757
02 April 2023,Zaporizhia,20230,10,52,24,544,8040,474.995,358.3481,13,0,16815279161
02 February 2023,Chernihiv,8092,4,32,0,320,3216,208.7306,129.6212,6,0,6703193856
02 February 2023,Dnipropetrovsk,4046,2,16,0,160,1608,95.2066,69.0241,3,0,3351596928
02 February 2023,Donetsk,95081,47,271,154,2018,37788,2267.4231,1772.6444999999999,77,70,78783631202
02 February 2023,Kharkiv,40460,20,153,17,1412,16080,1001.1504,742.0281,39,0,33516574542
02 February 2023,Kherson,42483,21,154,39,1426,16884,983.4205,695.7668,39,3,35194780070
02 February 2023,Luhansk,18207,9,65,14,286,7236,441.8695,343.2752,18,24,15091251881
02 February 2023,Mykolaiv,4046,2,9,8,98,1608,93.2256,63.0996,3,0,3352202193
02 February 2023,Sumy,20230,10,80,0,800,8040,516.5394,341.9227,20,0,16757984640
02 February 2023,Zaporizhia,36414,18,119,31,1221,14472,854.9461,645.2022,31,1,30177016466
02 January 2023,Chernihiv,6069,3,24,0,240,2412,155.9496,95.77369999999999,6,0,5020129228
02 January 2023,Crimea,6069,3,17,2,46,2412,135.6504,103.3255,4,0,5021958968
02 January 2023,Dnipropetrovsk,12138,6,41,8,418,4824,286.5134,207.47480000000002,12,0,10040258458
