event_date,year,time_precision,inter1,inter2,interaction,iso,latitude,longitude,geo_precision,fatalities,timestamp
01 April 2023,269059,133,1015,153,8512,106932,6465.9949,4823.1773,164,101,223624208564
01 February 2023,283220,144,966,267,8568,112560,6818.2068,5131.3037,207,156,234654729061
01 January 2023,273105,135,975,155,8492,108540,6582.314,4893.8144,229,318,225939728556
01 July 2023,258944,128,872,282,7445,102912,6219.0514,4691.3566,180,691,216216568487
01 June 2023,331772,166,1186,332,10212,131856,7990.276,5930.0086,270,143,276545248578
01 March 2023,384370,195,1344,322,11260,152760,9203.4959,6841.5266,335,139,318883971268
01 May 2023,232645,115,776,240,6920,92460,5583.5781,4163.9496,192,236,193758667885
02 April 2023,210392,104,726,156,5940,83616,5037.6649,3809.701,144,103,174872100598
02 February 2023,269059,133,899,263,7741,106932,6462.5118,4802.5844,236,98,222928231778
02 January 2023,271082,134,946,191,7842,107736,6491.104,4871.2756,239,43,224255467420
02 June 2023,250852,124,869,187,7905,99696,6079.964,4532.7638,235,22,209099522814
02 March 2023,275128,136,1004,194,8812,109344,6597.0723,4874.3309,203,77,228260829512
02 May 2023,242760,120,808,232,7745,96480,5858.9487,4327.6572,213,312,202185937156
03 April 2023,198254,98,703,178,5435,78792,4763.7092,3612.428,183,221,164784275534
03 February 2023,192185,95,630,198,5265,76380,4644.6147,3477.238,170,5,159252100258
03 January 2023,151725,77,530,153,4310,60300,3657.9181,2737.6557,130,60,125523210332
03 June 2023,262990,130,910,213,7927,104520,6329.1265,4761.2251,172,182,219285273691
03 March 2023,206346,102,697,186,5302,82008,4970.9465,3754.2694,191,5,171197149308
03 May 2023,319634,160,1068,347,9758,127032,7665.7203,5714.2785,185,201,266210540562
04 April 2023,226576,112,796,167,5958,90048,5442.3913,4095.5239,211,76,188321516513
04 February 2023,240737,119,849,151,7120,95676,5792.6377,4356.5176,203,203,199498022033
04 January 2023,271082,139,897,284,7850,107736,6513.6912,4886.8707,220,32,224250027840
04 June 2023,269059,133,854,262,7632,106932,6509.4411,4821.4894,189,603,224347709290
04 March 2023,321657,160,1174,232,9596,127836,7759.6585000000005,5784.4863000000005,266,147,266940572392
04 May 2023,329749,164,1124,286,9996,131052,7953.7338,5890.9261,263,163,274634830454
05 April 2023,317611,160,1108,243,9550,126228,7625.5262,5698.4398,214,196,263975695765
05 February 2023,246806,122,885,158,7334,98088,5937.8717,4483.843,196,168,204529634052
05 January 2023,232645,115,794,225,6446,92460,5554.7277,4227.4642,174,86,192480646367
05 June 2023,321657,159,1053,291,9561,127836,7767.3021,5817.9189,289,324,268200087452
05 March 2023,184093,91,637,152,4794,73164,4445.761,3344.0902,136,50,152776235081
05 May 2023,226576,112,770,185,7462,90048,5468.3376,4105.2777,200,6,188704094110
06 April 2023,265013,131,914,222,7544,105324,6366.8505000000005,4792.0103,221,67,220263204528
06 February 2023,210392,104,734,161,6142,83616,5034.1064,3809.7732,177,106,174355552873
06 January 2023,167909,83,576,132,4416,66732,4026.9204,3070.1594,152,106,138911843750
06 June 2023,287266,142,988,195,8806,114168,6970.1986,5183.3885,270,311,239523580841
06 March 2023,236691,117,824,188,6376,94068,5685.8219,4256.2713,196,135,196429514443
06 May 2023,244783,121,863,198,7802,97284,5926.667,4385.1651,157,298,203869023949
07 April 2023,226576,112,805,129,6604,90048,5443.0382,4133.1275,211,0,188321338319
07 February 2023,269059,134,947,153,7544,106932,6467.2869,4900.554,248,234,222971335249
07 January 2023,220507,109,749,180,6194,87636,5260.3184,3993.9749,193,50,182484793443
07 June 2023,311542,156,1098,223,9682,123816,7504.9457,5625.1844,218,258,259754541020
07 March 2023,250852,125,922,125,6798,99696,6021.3649,4519.4271,237,168,208189065681
07 May 2023,244783,121,891,128,7814,97284,5898.6091,4367.1238,160,382,203867815977
08 April 2023,297381,148,1070,197,9070,118188,7145.3856,5381.0853,202,54,247259616253
08 February 2023,382347,201,1372,317,11922,151956,9158.6239,6856.3769,255,142,316859827410
08 January 2023,220507,111,746,170,6208,87636,5292.8766,3970.0059,182,37,182484254368
08 June 2023,281197,139,924,328,8056,111756,6724.4446,5059.1747,227,523,234462278847
08 March 2023,293335,147,1090,179,8730,116580,6995.709,5243.8414,233,378,243437921110
08 May 2023,262990,130,963,138,8778,104520,6337.8126,4718.3008,226,594,219031537886
09 April 2023,234668,116,844,157,6914,93264,5632.4242,4250.8955,153,80,195106516224
09 February 2023,299404,150,1044,286,8764,118992,7193.4891,5389.9965,258,242,248119111382
09 January 2023,216461,108,814,147,5938,86028,5211.8827,3899.0104,173,40,179134450522
09 June 2023,254898,126,868,210,7900,101304,6157.0687,4615.8657,238,54,212534312814
09 March 2023,293335,147,1062,228,9156,116580,7013.7101,5155.2983,239,16,243437879973
09 May 2023,206346,102,724,145,6530,82008,4991.3125,3725.7003,190,314,171855514365
10 April 2023,244783,121,870,181,6694,97284,5906.3276,4469.1927,213,585,203529537797
10 February 2023,260967,129,832,135,7438,103716,6307.6646,4611.595,247,2,216269266217
10 January 2023,194208,96,670,152,5412,77184,4657.451,3499.0986,171,33,160717637086
10 June 2023,273105,135,877,318,7846,108540,6564.3714,4923.1565,187,314,227792454534
10 March 2023,230622,115,793,195,6136,91656,5530.5278,4153.1162,208,2,191399794838
10 May 2023,258944,131,952,189,8458,102912,6209.9642,4645.6086000000005,174,354,215664801270
11 April 2023,258944,129,954,128,7940,102912,6257.1145,4678.4393,239,166,215293663409
11 February 2023,301427,149,1083,190,9211,119796,7199.6438,5407.903,276,148,249884604957
11 January 2023,228599,115,813,182,6854,90852,5470.6843,4144.6181,192,3,189179568858
11 June 2023,236691,119,743,244,6702,94068,5681.4808,4280.2976,184,539,197423162063
11 March 2023,250852,125,903,168,6822,99696,5987.3548,4530.0757,187,356,208262618688
11 May 2023,321657,159,1146,240,10836,127836,7750.4388,5767.633,250,3,267898378173
12 April 2023,319634,165,1165,194,10134,127032,7678.2047,5730.6716,195,216,265744507705
12 February 2023,176001,87,626,127,5154,69948,4231.7274,3164.0346,155,67,145904522359
12 January 2023,260967,130,927,218,7634,103716,6257.7173,4731.3729,213,146,215950770862
12 June 2023,240737,119,833,178,7518,95676,5795.1565,4342.7187,219,719,200793569130
12 March 2023,180047,89,635,133,4512,71556,4310.2853,3296.0412,157,155,149474908959
12 May 2023,226576,112,761,175,6714,90048,5438.784,4126.7302,202,0,188720361637
13 April 2023,244783,121,856,197,6939,97284,5865.0268,4435.8538,191,98,203517622455
13 February 2023,240737,120,819,207,6588,95676,5800.3544,4378.8819,208,144,199582506070
13 January 2023,202300,101,697,161,5340,80400,4871.2126,3695.8199,182,27,167440169910
13 June 2023,242760,120,809,204,6746,96480,5848.1913,4371.488,222,810,202484446615
13 March 2023,275128,138,1000,195,7351,109344,6581.3851,4944.207,230,205,228421740372
13 May 2023,273105,136,953,269,8404,108540,6601.6461,4861.2905,202,437,227475718385
14 April 2023,204323,102,733,120,6235,81204,4925.4083,3708.6038,184,19,169879567978
14 February 2023,254898,126,938,141,7334,101304,6139.2244,4616.9686,236,152,211317848407
14 January 2023,254898,126,903,229,7576,101304,6123.8076,4558.5214,207,406,211012004447
14 June 2023,392462,196,1384,296,12048,155976,9442.4965,7029.6335,243,565,327344417770
14 March 2023,254898,127,885,208,6691,101304,6133.7676,4577.1893,233,130,211629952333
14 May 2023,214438,106,757,173,6420,85224,5148.2924,3865.3327,147,503,178610649707
15 April 2023,216461,107,771,165,6120,86028,5188.5636,3907.7472,155,107,180039054865
15 February 2023,325703,168,1155,235,9940,129444,7819.7811,5867.0947,265,123,270025519567
15 January 2023,222530,111,796,137,6306,88440,5337.3886,4043.9088,197,53,184207909389
15 June 2023,360094,181,1165,425,10302,143112,8622.4901,6428.7596,313,155,300352016866
15 March 2023,319634,162,1074,340,8452,127032,7654.0281,5733.2307,257,158,265374447135
15 May 2023,240737,119,805,187,7049,95676,5807.3126,4367.2789,207,271,200517990784
16 April 2023,218484,108,773,168,6026,86832,5247.8118,3935.1157,146,179,181717839546
16 February 2023,262990,131,900,259,7414,104520,6296.0817,4686.6278,240,147,218014989874
16 January 2023,279174,139,1062,131,8474,110952,6689.8435,5037.6697,243,62,231111214600
16 June 2023,267036,132,790,329,6951,106128,6421.5863,4812.4462,249,276,222749520029
16 March 2023,319634,158,1110,254,9032,127032,7676.363,5777.5215,264,170,265372046394
16 May 2023,254898,126,882,200,7580,101304,6169.8865,4617.7898000000005,228,557,212305393283
17 April 2023,226576,113,826,140,6348,90048,5443.1561,4111.9687,199,322,188450132564
17 February 2023,240737,119,861,136,7162,95676,5799.4191,4302.6999,227,4,199580017327
17 January 2023,226576,112,796,163,6638,90048,5462.6336,4138.6124,198,229,187565619333
17 June 2023,339864,168,1162,288,10324,135072,8184.1148,6041.11,235,762,283576182513
17 March 2023,250852,125,925,131,7428,99696,5991.333,4514.385,241,13,208304120144
17 May 2023,329749,165,1163,262,10506,131052,7878.5602,5894.9606,208,379,274653513199
18 April 2023,190162,94,647,177,4784,75576,4586.0818,3469.4103,169,152,158167948910
18 February 2023,218484,109,766,160,6092,86832,5231.8793,3947.0841,184,358,181190531885
18 January 2023,275128,142,941,268,8130,109344,6569.1529,4944.6429,217,5,227748034773
18 June 2023,327726,162,1176,185,10010,130248,7916.2063,5867.3662,213,271,273453236262
18 March 2023,246806,122,877,164,7242,98088,5910.2385,4403.2655,194,301,204982547865
18 May 2023,236691,118,819,216,6750,94068,5694.539,4239.643,200,165,197148274867
19 April 2023,287266,146,1010,206,8128,114168,6872.0656,5173.1005,192,75,238938848951
19 February 2023,214438,106,743,184,5742,85224,5159.3684,3890.9647,159,118,177845621568
19 January 2023,315588,159,1146,207,9642,125424,7550.8483,5691.0401,271,84,261260118945
19 June 2023,301427,149,1051,251,8484,119796,7258.9598,5441.0495,281,526,251507080668
19 March 2023,238714,118,764,258,5972,94872,5756.7731,4305.3359,210,317,198267029051
19 May 2023,232645,115,810,161,6902,92460,5604.2215,4203.8982,211,6,193776142894
20 April 2023,265013,131,956,204,7352,105324,6345.6093,4779.1775,218,17,220441120294
20 February 2023,364140,180,1320,210,11772,144720,8753.2171,6548.1946,312,187,301975931155
20 January 2023,216461,107,768,151,6166,86028,5207.027,3958.3908,197,39,179203100864
20 June 2023,299404,148,1051,210,8362,118992,7191.3157,5348.6761,286,565,249829079129
20 March 2023,283220,140,1015,199,7964,112560,6802.3993,5070.4807,256,170,235230746774
20 May 2023,287266,142,1023,226,8530,114168,6898.0525,5158.0932,189,102,239346902357
21 April 2023,186116,92,615,160,4798,73968,4479.1199,3378.6619,175,0,154823591855
