id	event	tweet	offensive	emotion
3RQVKZ7ZRKP7Z0NZG6XO44P608T726	ChampionsLeague	Клопп сказав: "Великий шанобливий ставлення до найкращого", "Той, в якому Мессі святкує", "Нічия не була б найгіршим результатом" #FCBLIV #ЛігаЧемпіонів #LFC	NO	joy
3M0556243SQG3FRYK8TKKK5L9R0NFE	NotreDame	Дивлячись, як така красива і історично важлива будівля спалахує і згорає, це розриває серце 😞 #ПожежаВКафедральномуСоборіНотр-Дам	NO	sadness
3YCT0L9OMMFP7KWKQSTJRJO0YHXNS0	ChampionsLeague	Ха-ха. Ліверпуль закінчений 😂. 🐐 Робить 2-0 #UCL #ЛігаЧемпіонів #Барселона_проти_Ліверпуля	NO	joy
359AP8GAGGQKXIF1DZMUGHYSCZ6C7K	ChampionsLeague	Неймовірний матч і неймовірний виступ протягом всіх ігор. #ліверпульпротибарселони #BARLIV Ми завжди з вами, незалежно від перемоги чи поразки! USER #YouWillNeverWalkAlone #YNWA #LFC #ЛігаЧемпіонів #Ліверпуль	NO	joy
3BAWBGQGYL5GWRL14GHZ69MHX6J7VB	NotreDame	Молимось за Париж і #ПожежаВКафедральномуСоборіНотр-Дам, коли ми продовжуємо цей Святий Тиждень під великим горем. Слава Богу, ніхто не загинув!	NO	joy
3ZFRE2BDQ9KRKQW2NQA0LEC1NA5XZX	Venezuela	Депутат США наїхав на підлітка та вбив його https://t.co/nh7kLnvrqX #Венесуела	NO	sadness
32TMVRKDGN4L2S75UP8IBJIZV6S84N	NotreDame	Французький фанат зняв це відео. З якоїсь причини... дуже дивно. #ПожежаУКафедральномуСоборіНотр-Дам https://t.co/glTFGbA6M7	NO	surprise
3JMQI2OLFZBJ5VD2T2YUWK20XEKDNT	NotreDame	Гра "Assassin's Creed: Unity" може допомогти відновленню собору Нотр-Дам! Гра може допомогти відновити історичний пам'ятник! Це найкращі новини усіх часів! https://t.co/EuISfqMJ8X #ПожежаУКафедральномуСоборіНотр-Дам	NO	joy
3E6L1VR4XWS8WUL6LR73I9JZE1D6FP	Venezuela	USER Чи ви знали, що найбільше постраждалою категорією населення від корумпованого уряду у #Венесуела є працюючий населення чорного/коричневого кольору? Ваша ненависть до USER спотворює вашу об'єктивну оцінку того, що відбувається. Ви можете бути лівим чи правим; соціалістом чи капіталістом. Венесуела не належить до жодного з них.	NO	disgust
3DZKABX2ZIBM88GXVXPAMVEVYHDCVC	WorldBookDay	На #ВсесвітнійДеньКниг дайте себе натхнення цими чудовими книгами про біженців та про них! Наш список для читання разом з USER 📚 https://t.co/80DOcykOdf	NO	joy
3SX4X51T80F3P9A2A775L8UZ2LXOAM	LaLiga	Добре сказано! 👏 Подивимось, як він виступить у #ЛаЛіга або #Прем'єр_ліга, це було б цікаво побачити! https://t.co/n26G0nH1eK	NO	joy
3B9XR6P1WE1U78OX08FW8NXJL95JBQ	WorldBookDay	"""Той, хто НЕ читає хороші книги, не має переваги перед тим, ХТО НЕ МОЖЕ їх читати."" - Марк Твен #ВсесвітнійДеньКниг https://t.co/6VUumjp3BR"	NO	disgust
3ABAOCJ4R8A7CMW7MNPEJ4KZB32MQA	ChampionsLeague	USER USER USER_ynwa USER USER USER USER USER USER USER USER USER USER Дуже дякую, Салоні, за #ShoutOut... Я дуже ціную це... Бажаю вам і всім гарного #Середа вечора і приємного перегляду матчу... #YNWA #LFC #UCL #ЛігаЧемпіонів #BARLIV	NO	joy
3MXX6RQ9EVB68K6MG6ATX5DPKGW4P7	GretaThunberg	Це просто шокуюче. Ця особа балотується на виборах і вважає себе розслідувальним журналістом. USER є одним з натхненників нашого часу. Вона не заслуговує на такі напади. Це лише доводить, що #Грета_Тунберг змінює світ! #Ефект_Грети #нобелівськапремія #Клімат https://t.co/KHdAWEHjgs	NO	disgust
3FCO4VKOZ4JZUGZF9QSP65YVXBH7E6	NotreDame	Молюся за Париж і #Пожежа_в_катедральному_соборі_Паризької_Богоматері в цей святий тиждень, коли відбувається така велика втрата. Дякуємо Богу, що ніхто не загинув!	NO	sadness
